,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=582,773",,"N=81,951",,"N=6,421",,"N=1,738",
0-4,16289,3%,1683,2%,46,1%,<5,--
5-9,20462,4%,2013,2%,16,<1%,0,0%
10-14,21026,4%,2696,3%,26,<1%,<5,--
15-18,28350,5%,3651,4%,42,1%,0,0%
19-24,67038,12%,9011,11%,153,2%,<5,--
25-29,51206,9%,7416,9%,187,3%,<5,--
30-39,89739,15%,13022,16%,401,6%,9,1%
40-49,72161,12%,11399,14%,583,9%,25,1%
50-59,84864,15%,12506,15%,929,14%,74,4%
60-69,69672,12%,8808,11%,1258,20%,201,12%
70-79,36984,6%,4687,6%,1301,20%,389,22%
80-89,16904,3%,3151,4%,1029,16%,559,32%
90+,7389,1%,1902,2%,449,7%,474,27%
Pending further information,689,--,6,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,42914,18%,23188,35%,1473,31%,158,11%
American Indian or Alaska Native*,4516,2%,182,<1%,11,<1%,<5,--
Asian*,5917,2%,1397,2%,104,2%,23,2%
Black or African American*,14709,6%,5555,8%,473,10%,88,6%
Native Hawaiian or Other Pacific Islander*,470,<1%,0,0%,0,0%,0,0%
White*,158459,65%,34469,52%,2618,55%,1234,82%
Other race*,16588,7%,1230,2%,91,2%,0,0%
Multiple race*,228,<1%,661,1%,23,<1%,<5,--
Declined,4990,--,1248,--,43,--,0,--
Unknown or pending further information,333982,--,14021,--,1585,--,232,--
Sex Assigned at Birth,,,,,,,,
Female,295812,54%,42834,54%,3090,49%,889,51%
Male,246890,45%,37108,46%,3208,51%,848,49%
Other,105,<1%,82,<1%,13,<1%,<5,--
Pending further information,39966,--,1927,--,110,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,1655,4%,51,3%,--,--
No,--,--,36797,96%,1885,97%,--,--
Unknown or pending,--,--,43499,--,4485,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,23986,54%,3166,49%,--,--
Cisgender man,--,--,20069,45%,3249,51%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,263,1%,0,0%,--,--
Other,--,--,136,<1%,<5,--,--,--
Declined,--,--,10424,--,0,--,--,--
Unknown or pending,--,--,27073,--,<5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,18,<1%,<5,--,--,--
Bisexual,--,--,352,1%,<5,--,--,--
Lesbian or gay,--,--,613,2%,18,1%,--,--
Queer,--,--,65,<1%,<5,--,--,--
Straight,--,--,38033,96%,1954,99%,--,--
Other,--,--,340,1%,11,1%,--,--
Declined,--,--,13684,--,819,--,--,--
Unknown or pending,--,--,28846,--,3613,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,12/30/2020,,,,,,,
