Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,35122,52.1%,1233,52.4%,1583,50.0%,307,51.8%,31445,52.3%,852,54.7%,220,60.8%,1
Female,32207,47.8%,1118,47.6%,1585,50.0%,286,48.2%,28703,47.7%,706,45.3%,142,39.2%,2
Unknown Sex,28,0.0%,0,0.0%,0,0.0%,0,0.0%,28,0.0%,0,0.0%,0,0.0%,3
<10 Years,4982,7.4%,80,3.4%,312,9.8%,24,4.0%,4515,7.5%,16,1.0%,0,0.0%,4
10-19 Years,8835,13.1%,245,10.4%,452,14.3%,79,13.3%,7947,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13817,20.5%,583,24.8%,664,21.0%,97,16.4%,12258,20.4%,67,4.3%,6,1.7%,6
30-39 Years,12693,18.8%,413,17.6%,511,16.1%,104,17.5%,11497,19.1%,126,8.1%,8,2.2%,7
40-49 Years,9131,13.6%,318,13.5%,361,11.4%,88,14.8%,8222,13.7%,162,10.4%,16,4.4%,8
50-59 Years,8509,12.6%,288,12.3%,384,12.1%,84,14.2%,7625,12.7%,271,17.4%,27,7.5%,9
60-69 Years,5843,8.7%,244,10.4%,234,7.4%,76,12.8%,5144,8.5%,349,22.4%,72,19.9%,10
70-79 Years,2518,3.7%,114,4.8%,144,4.5%,36,6.1%,2154,3.6%,328,21.1%,111,30.7%,11
80+ Years,1029,1.5%,66,2.8%,106,3.3%,5,0.8%,814,1.4%,224,14.4%,122,33.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3419,5.1%,150,6.4%,229,7.2%,58,9.8%,2941,4.9%,82,5.3%,18,5.0%,14
Non-Hispanic,35339,52.5%,1878,79.9%,2502,79.0%,450,75.9%,30062,50.0%,1162,74.6%,336,92.8%,15
UI Ethnicity,27173,40.3%,0,0.0%,0,0.0%,0,0.0%,27173,45.2%,289,18.5%,4,1.1%,16
Unknown Ethnicity,1426,2.1%,323,13.7%,437,13.8%,85,14.3%,0,0.0%,25,1.6%,4,1.1%,17
White,22347,33.2%,990,42.1%,1267,40.0%,343,57.8%,19446,32.3%,576,37.0%,165,45.6%,18
Black,1636,2.4%,114,4.8%,136,4.3%,23,3.9%,1343,2.2%,57,3.7%,10,2.8%,19
AI/AN,13977,20.8%,772,32.8%,964,30.4%,84,14.2%,11924,19.8%,394,25.3%,121,33.4%,20
Asian,2593,3.8%,105,4.5%,187,5.9%,30,5.1%,2237,3.7%,127,8.2%,35,9.7%,21
NHOPI,1740,2.6%,85,3.6%,167,5.3%,10,1.7%,1469,2.4%,141,9.1%,21,5.8%,22
Multiple,5060,7.5%,100,4.3%,144,4.5%,24,4.0%,4750,7.9%,84,5.4%,7,1.9%,23
Other,7728,11.5%,62,2.6%,80,2.5%,23,3.9%,7420,12.3%,73,4.7%,1,0.3%,24
UI Race,11587,17.2%,0,0.0%,0,0.0%,0,0.0%,11587,19.3%,95,6.1%,1,0.3%,25
Unknown Race,689,1.0%,123,5.2%,223,7.0%,56,9.4%,0,0.0%,11,0.7%,1,0.3%,26
