Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27321,51.9%,873,51.9%,1079,51.4%,224,52.7%,24761,51.9%,651,55.2%,158,60.8%,1
Female,25271,48.0%,808,48.1%,1020,48.6%,201,47.3%,22901,48.0%,528,44.8%,102,39.2%,2
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.0%,0,0.0%,0,0.0%,3
<10 Years,3459,6.6%,38,2.3%,150,7.1%,14,3.3%,3232,6.8%,10,0.8%,0,0.0%,4
10-19 Years,6293,12.0%,145,8.6%,256,12.2%,62,14.6%,5755,12.1%,9,0.8%,0,0.0%,5
20-29 Years,10916,20.8%,440,26.2%,507,24.2%,70,16.5%,9752,20.5%,52,4.4%,3,1.2%,6
30-39 Years,10007,19.0%,290,17.3%,363,17.3%,81,19.1%,9140,19.2%,92,7.8%,6,2.3%,7
40-49 Years,7252,13.8%,247,14.7%,256,12.2%,68,16.0%,6594,13.8%,107,9.1%,10,3.8%,8
50-59 Years,6801,12.9%,210,12.5%,262,12.5%,59,13.9%,6185,13.0%,193,16.4%,18,6.9%,9
60-69 Years,4842,9.2%,179,10.6%,152,7.2%,48,11.3%,4365,9.2%,262,22.2%,52,20.0%,10
70-79 Years,2127,4.0%,86,5.1%,91,4.3%,21,4.9%,1879,3.9%,264,22.4%,83,31.9%,11
80+ Years,901,1.7%,46,2.7%,62,3.0%,2,0.5%,766,1.6%,190,16.1%,88,33.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2789,5.3%,126,7.5%,187,8.9%,44,10.4%,2405,5.0%,62,5.3%,11,4.2%,14
Non-Hispanic,27291,51.9%,1330,79.1%,1618,77.1%,327,76.9%,23751,49.8%,888,75.3%,242,93.1%,15
UI Ethnicity,21512,40.9%,0,0.0%,0,0.0%,0,0.0%,21512,45.1%,210,17.8%,7,2.7%,16
Unknown Ethnicity,1006,1.9%,225,13.4%,294,14.0%,54,12.7%,0,0.0%,19,1.6%,0,0.0%,17
White,16254,30.9%,741,44.1%,878,41.8%,261,61.4%,14179,29.7%,390,33.1%,105,40.4%,18
Black,1320,2.5%,94,5.6%,116,5.5%,21,4.9%,1074,2.3%,46,3.9%,9,3.5%,19
AI/AN,11429,21.7%,473,28.1%,542,25.8%,51,12.0%,10247,21.5%,319,27.1%,99,38.1%,20
Asian,2086,4.0%,81,4.8%,103,4.9%,19,4.5%,1859,3.9%,111,9.4%,27,10.4%,21
NHOPI,1417,2.7%,78,4.6%,140,6.7%,4,0.9%,1189,2.5%,120,10.2%,16,6.2%,22
Multiple,4100,7.8%,77,4.6%,95,4.5%,14,3.3%,3883,8.1%,68,5.8%,3,1.2%,23
Other,6497,12.4%,44,2.6%,57,2.7%,16,3.8%,6251,13.1%,50,4.2%,0,0.0%,24
UI Race,8986,17.1%,0,0.0%,0,0.0%,0,0.0%,8986,18.9%,67,5.7%,1,0.4%,25
Unknown Race,509,1.0%,93,5.5%,168,8.0%,39,9.2%,0,0.0%,8,0.7%,0,0.0%,26
