,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=741,080",,"N=120,820",,"N=8,959",,"N=2,517",,"N=187,008",,"N=75,222",,"N=262,310",
0-4,23225,3%,2750,2%,74,1%,<5,--,0,0%,0,0%,0,0%
5-9,30475,4%,3407,3%,22,<1%,0,0%,0,0%,0,0%,0,0%
10-14,31703,4%,4377,4%,33,<1%,<5,--,0,0%,0,0%,0,0%
15-18,37822,5%,5854,5%,54,1%,0,0%,577,<1%,301,<1%,878,<1%
19-24,80842,11%,13894,12%,219,2%,<5,--,6835,4%,4355,6%,11190,4%
25-29,62481,8%,10775,9%,279,3%,<5,--,8330,4%,5545,7%,13875,5%
30-39,110942,15%,18962,16%,553,6%,11,<1%,17489,9%,11545,15%,29034,11%
40-49,90657,12%,16258,13%,760,8%,32,1%,17859,10%,11604,15%,29463,11%
50-59,106071,14%,18041,15%,1270,14%,107,4%,23464,13%,15099,20%,38563,15%
60-69,88493,12%,12966,11%,1728,19%,300,12%,38771,21%,12599,17%,51370,20%
70-79,47676,6%,6817,6%,1843,21%,566,23%,43107,23%,6422,9%,49529,19%
80-89,21003,3%,4285,4%,1458,16%,801,32%,23236,12%,5054,7%,28290,11%
90+,8616,1%,2427,2%,661,7%,690,28%,7420,4%,2698,4%,10118,4%
Pending further information,1074,--,7,--,5,--,0,--,0,--,0,--,0,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,54284,16%,31023,30%,1886,26%,207,10%,11802,8%,5226,9%,17028,8%
American Indian or Alaska Native*,4717,1%,309,<1%,20,<1%,<5,--,370,<1%,135,<1%,505,<1%
Asian*,8702,3%,2342,2%,167,2%,37,2%,2746,2%,1194,2%,3940,2%
Black or African American*,18349,6%,7780,7%,593,8%,104,5%,5455,4%,2360,4%,7815,4%
Native Hawaiian or Other Pacific Islander*,521,<1%,0,0%,0,0%,0,0%,238,<1%,79,<1%,317,<1%
White*,219702,67%,59389,57%,4280,60%,1816,84%,126582,81%,44728,78%,171310,80%
Other race*,20203,6%,2332,2%,203,3%,<5,--,8459,5%,3953,7%,12412,6%
Multiple race*,3660,1%,1200,1%,39,1%,<5,--,--,--,--,--,--,--
Declined,9150,--,2470,--,95,--,0,--,0,--,0,--,0,--
Unknown or pending further information,401792,--,13975,--,1676,--,345,--,31436,--,17547,--,48983,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,350439,54%,61670,53%,4283,50%,1306,52%,114735,61%,49297,66%,164032,63%
Male,296503,46%,54324,47%,4306,50%,1208,48%,72200,39%,25845,34%,98045,37%
Other,189,<1%,162,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,93949,--,4664,--,356,--,0,--,153,--,80,--,233,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2881,5%,85,3%,--,--,--,--,--,--,--,--
No,--,--,59978,95%,3093,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,57961,--,5781,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,38786,53%,4462,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,33776,46%,4480,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,488,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,218,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,21728,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,25824,--,15,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,38,<1%,<5,--,--,--,--,--,--,--,--,--
Bisexual,--,--,600,1%,6,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1072,2%,36,1%,--,--,--,--,--,--,--,--
Queer,--,--,124,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,63152,96%,3260,98%,--,--,--,--,--,--,--,--
Other,--,--,583,1%,12,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26771,--,1990,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,28480,--,3651,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,3/3/2021,,,,,,,,,,,,,
