ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,335,49.6%,83,48.5%,131,47.0%,65,58.0%,56,49.1%,30,55.6%,6,50.0%
2,Female,341,50.4%,88,51.5%,148,53.0%,47,42.0%,58,50.9%,24,44.4%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,20,3.0%,2,1.2%,13,4.7%,2,1.8%,3,2.6%,0,0.0%,0,0.0%
5,10-19 Years,48,7.1%,15,8.8%,23,8.2%,3,2.7%,7,6.1%,1,1.9%,0,0.0%
6,20-29 Years,123,18.2%,24,14.0%,62,22.2%,15,13.4%,22,19.3%,3,5.6%,0,0.0%
7,30-39 Years,133,19.7%,38,22.2%,50,17.9%,21,18.8%,24,21.1%,6,11.1%,2,16.7%
8,40-49 Years,101,14.9%,27,15.8%,33,11.8%,21,18.8%,20,17.5%,3,5.6%,0,0.0%
9,50-59 Years,116,17.2%,30,17.5%,56,20.1%,19,17.0%,11,9.6%,9,16.7%,1,8.3%
10,60-69 Years,77,11.4%,20,11.7%,27,9.7%,18,16.1%,12,10.5%,9,16.7%,1,8.3%
11,70-79 Years,42,6.2%,11,6.4%,12,4.3%,12,10.7%,7,6.1%,18,33.3%,6,50.0%
12,80+ Years,16,2.4%,4,2.3%,3,1.1%,1,0.9%,8,7.0%,5,9.3%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,48,7.1%,10,5.8%,27,9.7%,9,8.0%,2,1.8%,5,9.3%,0,0.0%
15,Non-Hispanic,526,77.8%,152,88.9%,241,86.4%,95,84.8%,38,33.3%,46,85.2%,12,100.0%
16,Unknown Ethnicity,102,15.1%,9,5.3%,11,3.9%,8,7.1%,74,64.9%,3,5.6%,0,0.0%
17,White,388,57.4%,105,61.4%,173,62.0%,90,80.4%,20,17.5%,30,55.6%,7,58.3%
18,Black,17,2.5%,7,4.1%,2,0.7%,5,4.5%,3,2.6%,0,0.0%,0,0.0%
19,AI/AN,76,11.2%,27,15.8%,29,10.4%,1,0.9%,19,16.7%,7,13.0%,2,16.7%
20,Asian,58,8.6%,12,7.0%,39,14.0%,4,3.6%,3,2.6%,7,13.0%,2,16.7%
21,NHOPI,17,2.5%,4,2.3%,10,3.6%,1,0.9%,2,1.8%,5,9.3%,1,8.3%
22,Multiple,23,3.4%,9,5.3%,9,3.2%,3,2.7%,2,1.8%,0,0.0%,0,0.0%
23,Other,16,2.4%,2,1.2%,8,2.9%,3,2.7%,3,2.6%,4,7.4%,0,0.0%
24,Unknown Race,81,12.0%,5,2.9%,9,3.2%,5,4.5%,62,54.4%,1,1.9%,0,0.0%
25,Grand Total,676,100.0%,171,100.0%,279,100.0%,112,100.0%,114,100.0%,54,100.0%,12,100.0%
