Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,12704,50.1%,740,52.4%,932,51.0%,195,52.8%,10757,49.8%,323,54.4%,62,62.0%,1
Female,12642,49.8%,672,47.6%,897,49.0%,174,47.2%,10822,50.1%,271,45.6%,38,38.0%,2
Unknown Sex,23,0.1%,0,0.0%,0,0.0%,0,0.0%,23,0.1%,0,0.0%,0,0.0%,3
<10 Years,1459,5.8%,30,2.1%,121,6.6%,9,2.4%,1295,6.0%,5,0.8%,0,0.0%,4
10-19 Years,3003,11.8%,121,8.6%,211,11.5%,54,14.6%,2597,12.0%,4,0.7%,0,0.0%,5
20-29 Years,5381,21.2%,401,28.4%,474,25.9%,62,16.8%,4405,20.4%,29,4.9%,2,2.0%,6
30-39 Years,4867,19.2%,258,18.3%,328,17.9%,76,20.6%,4171,19.3%,52,8.8%,3,3.0%,7
40-49 Years,3604,14.2%,214,15.2%,231,12.6%,58,15.7%,3078,14.2%,65,10.9%,7,7.0%,8
50-59 Years,3233,12.7%,175,12.4%,239,13.1%,48,13.0%,2763,12.8%,97,16.3%,7,7.0%,9
60-69 Years,2343,9.2%,144,10.2%,131,7.2%,39,10.6%,2014,9.3%,137,23.1%,18,18.0%,10
70-79 Years,1040,4.1%,52,3.7%,61,3.3%,22,6.0%,896,4.1%,119,20.0%,28,28.0%,11
80+ Years,439,1.7%,17,1.2%,33,1.8%,1,0.3%,383,1.8%,86,14.5%,35,35.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1579,6.2%,112,7.9%,174,9.5%,39,10.6%,1244,5.8%,33,5.6%,1,1.0%,14
Non-Hispanic,14209,56.0%,1102,78.0%,1390,76.0%,286,77.5%,11349,52.5%,451,75.9%,85,85.0%,15
UI Ethnicity,9009,35.5%,0,0.0%,0,0.0%,0,0.0%,9009,41.7%,95,16.0%,11,11.0%,16
Unknown Ethnicity,572,2.3%,198,14.0%,265,14.5%,44,11.9%,0,0.0%,15,2.5%,3,3.0%,17
White,8500,33.5%,637,45.1%,781,42.7%,223,60.4%,6823,31.6%,182,30.6%,36,36.0%,18
Black,823,3.2%,91,6.4%,114,6.2%,21,5.7%,590,2.7%,30,5.1%,4,4.0%,19
AI/AN,5713,22.5%,348,24.6%,409,22.4%,43,11.7%,4864,22.5%,171,28.8%,31,31.0%,20
Asian,1071,4.2%,71,5.0%,95,5.2%,18,4.9%,884,4.1%,38,6.4%,8,8.0%,21
NHOPI,913,3.6%,73,5.2%,133,7.3%,4,1.1%,701,3.2%,73,12.3%,9,9.0%,22
Multiple,1545,6.1%,71,5.0%,89,4.9%,13,3.5%,1365,6.3%,38,6.4%,4,4.0%,23
Other,1816,7.2%,34,2.4%,49,2.7%,15,4.1%,1717,7.9%,23,3.9%,2,2.0%,24
UI Race,4658,18.4%,0,0.0%,0,0.0%,0,0.0%,4658,21.6%,32,5.4%,6,6.0%,25
Unknown Race,330,1.3%,87,6.2%,159,8.7%,32,8.7%,0,0.0%,7,1.2%,0,0.0%,26
