ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,522,51.3%,118,51.1%,179,47.6%,78,58.6%,147,53.1%,60.3%,50.0%,41,7,271,50.7%
2,Female,495,48.7%,113,48.9%,197,52.4%,55,41.4%,130,46.9%,39.7%,50.0%,27,7,264,49.3%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,35,3.4%,4,1.7%,19,5.1%,2,1.5%,10,3.6%,0.0%,0.0%,0,0,15,2.8%
5,10-19 Years,81,8.0%,17,7.4%,32,8.5%,9,6.8%,23,8.3%,1.5%,0.0%,1,0,41,7.7%
6,20-29 Years,204,20.1%,40,17.3%,81,21.5%,17,12.8%,66,23.8%,7.4%,0.0%,5,0,102,19.1%
7,30-39 Years,198,19.5%,49,21.2%,65,17.3%,26,19.5%,58,20.9%,8.8%,14.3%,6,2,105,19.6%
8,40-49 Years,155,15.2%,39,16.9%,50,13.3%,26,19.5%,40,14.4%,5.9%,0.0%,4,0,82,15.3%
9,50-59 Years,163,16.0%,37,16.0%,70,18.6%,19,14.3%,37,13.4%,16.2%,7.1%,11,1,94,17.6%
10,60-69 Years,103,10.1%,24,10.4%,35,9.3%,20,15.0%,24,8.7%,17.6%,14.3%,12,2,63,11.8%
11,70-79 Years,57,5.6%,16,6.9%,15,4.0%,13,9.8%,13,4.7%,32.4%,50.0%,22,7,26,4.9%
12,80+ Years,21,2.1%,5,2.2%,9,2.4%,1,0.8%,6,2.2%,10.3%,14.3%,7,2,7,1.3%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,61,6.0%,13,5.6%,31,8.2%,14,10.5%,3,1.1%,7.4%,0.0%,5,0,45,8.4%
15,Non-Hispanic,697,68.5%,200,86.6%,319,84.8%,111,83.5%,67,24.2%,88.2%,100.0%,60,14,462,86.4%
16,Unknown Ethnicity,259,25.5%,18,7.8%,26,6.9%,8,6.0%,207,74.7%,4.4%,0.0%,3,0,28,5.2%
17,White,522,51.3%,143,61.9%,228,60.6%,105,78.9%,46,16.6%,60.3%,64.3%,41,9,351,65.6%
18,Black,24,2.4%,10,4.3%,7,1.9%,6,4.5%,1,0.4%,0.0%,0.0%,0,0,16,3.0%
19,AI/AN,116,11.4%,39,16.9%,42,11.2%,3,2.3%,32,11.6%,13.2%,14.3%,9,2,52,9.7%
20,Asian,60,5.9%,13,5.6%,41,10.9%,5,3.8%,1,0.4%,11.8%,14.3%,8,2,53,9.9%
21,NHOPI,27,2.7%,6,2.6%,15,4.0%,1,0.8%,5,1.8%,7.4%,7.1%,5,1,13,2.4%
22,Multiple,33,3.2%,10,4.3%,14,3.7%,5,3.8%,4,1.4%,0.0%,0.0%,0,0,23,4.3%
23,Other,20,2.0%,2,0.9%,8,2.1%,4,3.0%,6,2.2%,5.9%,0.0%,4,0,12,2.2%
24,Unknown Race,215,21.1%,8,3.5%,21,5.6%,4,3.0%,182,65.7%,1.5%,0.0%,1,0,15,2.8%
