Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25274,52.0%,815,52.2%,1015,51.4%,217,53.3%,22877,52.0%,594,55.0%,136,61.0%,1
Female,23312,47.9%,746,47.8%,959,48.6%,190,46.7%,21107,47.9%,485,44.9%,87,39.0%,2
Unknown Sex,38,0.1%,0,0.0%,0,0.0%,0,0.0%,35,0.1%,1,0.1%,0,0.0%,3
<10 Years,3104,6.4%,34,2.2%,135,6.8%,13,3.2%,2898,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5748,11.8%,134,8.6%,233,11.8%,60,14.7%,5251,11.9%,8,0.7%,0,0.0%,5
20-29 Years,10069,20.7%,420,26.9%,492,24.9%,67,16.5%,8951,20.3%,49,4.5%,3,1.3%,6
30-39 Years,9344,19.2%,282,18.1%,345,17.5%,81,19.9%,8511,19.3%,88,8.1%,6,2.7%,7
40-49 Years,6766,13.9%,230,14.7%,248,12.6%,63,15.5%,6142,14.0%,100,9.3%,8,3.6%,8
50-59 Years,6287,12.9%,192,12.3%,253,12.8%,53,13.0%,5714,13.0%,175,16.2%,18,8.1%,9
60-69 Years,4491,9.2%,163,10.4%,140,7.1%,45,11.1%,4053,9.2%,238,22.0%,41,18.4%,10
70-79 Years,1976,4.1%,69,4.4%,81,4.1%,23,5.7%,1765,4.0%,241,22.3%,68,30.5%,11
80+ Years,839,1.7%,37,2.4%,47,2.4%,2,0.5%,734,1.7%,170,15.7%,79,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2694,5.5%,121,7.8%,181,9.2%,43,10.6%,2324,5.3%,55,5.1%,9,4.0%,14
Non-Hispanic,25808,53.1%,1232,78.9%,1527,77.4%,313,76.9%,22513,51.1%,818,75.7%,208,93.3%,15
UI Ethnicity,19182,39.4%,0,0.0%,0,0.0%,0,0.0%,19182,43.6%,189,17.5%,4,1.8%,16
Unknown Ethnicity,940,1.9%,208,13.3%,266,13.5%,51,12.5%,0,0.0%,18,1.7%,2,0.9%,17
White,15371,31.6%,700,44.8%,839,42.5%,250,61.4%,13414,30.5%,352,32.6%,83,37.2%,18
Black,1260,2.6%,92,5.9%,116,5.9%,21,5.2%,1017,2.3%,41,3.8%,9,4.0%,19
AI/AN,10208,21.0%,412,26.4%,474,24.0%,49,12.0%,9174,20.8%,289,26.8%,83,37.2%,20
Asian,1962,4.0%,75,4.8%,100,5.1%,19,4.7%,1747,4.0%,102,9.4%,20,9.0%,21
NHOPI,1380,2.8%,74,4.7%,138,7.0%,4,1.0%,1159,2.6%,118,10.9%,15,6.7%,22
Multiple,3887,8.0%,74,4.7%,91,4.6%,13,3.2%,3679,8.4%,68,6.3%,7,3.1%,23
Other,6197,12.7%,41,2.6%,56,2.8%,16,3.9%,5959,13.5%,47,4.4%,4,1.8%,24
UI Race,7870,16.2%,0,0.0%,0,0.0%,0,0.0%,7870,17.9%,54,5.0%,1,0.4%,25
Unknown Race,489,1.0%,93,6.0%,160,8.1%,35,8.6%,0,0.0%,9,0.8%,1,0.4%,26
