Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,23673,52.1%,785,52.2%,978,51.1%,213,53.5%,21391,52.1%,550,54.8%,127,62.0%,1
Female,21761,47.9%,720,47.8%,935,48.9%,185,46.5%,19657,47.9%,452,45.1%,78,38.0%,2
Unknown Sex,27,0.1%,0,0.0%,0,0.0%,0,0.0%,27,0.1%,1,0.1%,0,0.0%,3
<10 Years,2815,6.2%,32,2.1%,131,6.8%,13,3.3%,2624,6.4%,10,1.0%,0,0.0%,4
10-19 Years,5326,11.7%,131,8.7%,219,11.4%,59,14.8%,4850,11.8%,8,0.8%,0,0.0%,5
20-29 Years,9362,20.6%,411,27.3%,480,25.1%,64,16.1%,8286,20.2%,46,4.6%,3,1.5%,6
30-39 Years,8764,19.3%,270,17.9%,336,17.6%,80,20.1%,7969,19.4%,85,8.5%,5,2.4%,7
40-49 Years,6391,14.1%,224,14.9%,243,12.7%,63,15.8%,5789,14.1%,91,9.1%,8,3.9%,8
50-59 Years,5901,13.0%,190,12.6%,250,13.1%,50,12.6%,5348,13.0%,159,15.9%,14,6.8%,9
60-69 Years,4238,9.3%,157,10.4%,138,7.2%,44,11.1%,3823,9.3%,223,22.2%,40,19.5%,10
70-79 Years,1870,4.1%,60,4.0%,74,3.9%,23,5.8%,1680,4.1%,226,22.5%,65,31.7%,11
80+ Years,794,1.7%,30,2.0%,42,2.2%,2,0.5%,706,1.7%,155,15.5%,70,34.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2451,5.4%,119,7.9%,178,9.3%,42,10.6%,2088,5.1%,49,4.9%,6,2.9%,14
Non-Hispanic,23212,51.1%,1174,78.0%,1462,76.4%,304,76.4%,20101,48.9%,738,73.6%,169,82.4%,15
UI Ethnicity,18886,41.5%,0,0.0%,0,0.0%,0,0.0%,18886,46.0%,196,19.5%,17,8.3%,16
Unknown Ethnicity,912,2.0%,212,14.1%,273,14.3%,52,13.1%,0,0.0%,20,2.0%,13,6.3%,17
White,14039,30.9%,677,45.0%,823,43.0%,243,61.1%,12167,29.6%,323,32.2%,75,36.6%,18
Black,1183,2.6%,91,6.0%,116,6.1%,21,5.3%,943,2.3%,36,3.6%,8,3.9%,19
AI/AN,9263,20.4%,386,25.6%,435,22.7%,44,11.1%,8321,20.3%,260,25.9%,73,35.6%,20
Asian,1826,4.0%,75,5.0%,97,5.1%,19,4.8%,1619,3.9%,96,9.6%,20,9.8%,21
NHOPI,1298,2.9%,73,4.9%,137,7.2%,4,1.0%,1080,2.6%,111,11.1%,12,5.9%,22
Multiple,3615,8.0%,73,4.9%,90,4.7%,13,3.3%,3409,8.3%,66,6.6%,6,2.9%,23
Other,5844,12.9%,38,2.5%,53,2.8%,16,4.0%,5614,13.7%,45,4.5%,3,1.5%,24
UI Race,7922,17.4%,0,0.0%,0,0.0%,0,0.0%,7922,19.3%,58,5.8%,6,2.9%,25
Unknown Race,471,1.0%,92,6.1%,162,8.5%,38,9.5%,0,0.0%,8,0.8%,2,1.0%,26
