Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,25771,52.0%,825,52.0%,1026,51.4%,219,53.4%,23346,52.0%,629,55.9%,139,61.2%,1
Female,23757,48.0%,763,48.0%,970,48.6%,191,46.6%,21520,48.0%,497,44.1%,88,38.8%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3165,6.4%,34,2.1%,138,6.9%,14,3.4%,2955,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5874,11.9%,136,8.6%,238,11.9%,60,14.6%,5370,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10284,20.8%,427,26.9%,493,24.7%,67,16.3%,9157,20.4%,52,4.6%,3,1.3%,6
30-39 Years,9500,19.2%,285,17.9%,350,17.5%,81,19.8%,8659,19.3%,89,7.9%,6,2.6%,7
40-49 Years,6875,13.9%,235,14.8%,250,12.5%,63,15.4%,6244,13.9%,104,9.2%,8,3.5%,8
50-59 Years,6403,12.9%,197,12.4%,255,12.8%,53,12.9%,5821,13.0%,189,16.8%,18,7.9%,9
60-69 Years,4569,9.2%,165,10.4%,140,7.0%,47,11.5%,4126,9.2%,250,22.2%,41,18.1%,10
70-79 Years,2012,4.1%,73,4.6%,84,4.2%,23,5.6%,1793,4.0%,246,21.8%,71,31.3%,11
80+ Years,853,1.7%,36,2.3%,48,2.4%,2,0.5%,748,1.7%,177,15.7%,80,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2712,5.5%,121,7.6%,181,9.1%,44,10.7%,2341,5.2%,58,5.2%,10,4.4%,14
Non-Hispanic,26146,52.8%,1252,78.8%,1546,77.5%,314,76.6%,22809,50.8%,846,75.1%,212,93.4%,15
UI Ethnicity,19723,39.8%,0,0.0%,0,0.0%,0,0.0%,19723,44.0%,203,18.0%,4,1.8%,16
Unknown Ethnicity,954,1.9%,215,13.5%,269,13.5%,52,12.7%,0,0.0%,19,1.7%,1,0.4%,17
White,15577,31.4%,707,44.5%,844,42.3%,250,61.0%,13607,30.3%,366,32.5%,86,37.9%,18
Black,1272,2.6%,92,5.8%,116,5.8%,21,5.1%,1029,2.3%,45,4.0%,9,4.0%,19
AI/AN,10477,21.2%,427,26.9%,488,24.4%,51,12.4%,9410,21.0%,301,26.7%,89,39.2%,20
Asian,1986,4.0%,76,4.8%,101,5.1%,19,4.6%,1768,3.9%,106,9.4%,22,9.7%,21
NHOPI,1387,2.8%,76,4.8%,139,7.0%,4,1.0%,1163,2.6%,120,10.7%,15,6.6%,22
Multiple,3932,7.9%,74,4.7%,92,4.6%,13,3.2%,3723,8.3%,70,6.2%,4,1.8%,23
Other,6259,12.6%,42,2.6%,55,2.8%,16,3.9%,6023,13.4%,47,4.2%,1,0.4%,24
UI Race,8150,16.5%,0,0.0%,0,0.0%,0,0.0%,8150,18.2%,62,5.5%,0,0.0%,25
Unknown Race,495,1.0%,94,5.9%,161,8.1%,36,8.8%,0,0.0%,9,0.8%,1,0.4%,26
