ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,633,49.8%,140,50.2%,199,47.0%,81,57.0%,213,49.9%,58.8%,52.9%,47,9,291,51.0%
2,Female,639,50.2%,139,49.8%,224,53.0%,61,43.0%,214,50.1%,41.3%,47.1%,33,8,280,49.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,47,3.7%,4,1.4%,21,5.0%,2,1.4%,20,4.7%,0.0%,0.0%,0,0,15,2.6%
5,10-19 Years,103,8.1%,18,6.5%,35,8.3%,11,7.7%,39,9.1%,1.3%,0.0%,1,0,43,7.5%
6,20-29 Years,276,21.7%,55,19.7%,89,21.0%,20,14.1%,112,26.2%,8.8%,0.0%,7,0,108,18.9%
7,30-39 Years,246,19.3%,57,20.4%,75,17.7%,26,18.3%,87,20.4%,8.8%,11.8%,7,2,113,19.8%
8,40-49 Years,194,15.3%,53,19.0%,59,13.9%,27,19.0%,55,12.9%,5.0%,0.0%,4,0,91,15.9%
9,50-59 Years,191,15.0%,42,15.1%,76,18.0%,21,14.8%,52,12.2%,20.0%,5.9%,16,1,97,17.0%
10,60-69 Years,126,9.9%,27,9.7%,43,10.2%,21,14.8%,35,8.2%,17.5%,11.8%,14,2,68,11.9%
11,70-79 Years,67,5.3%,18,6.5%,16,3.8%,13,9.2%,20,4.7%,30.0%,52.9%,24,9,29,5.1%
12,80+ Years,22,1.7%,5,1.8%,9,2.1%,1,0.7%,7,1.6%,8.8%,17.6%,7,3,7,1.2%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,72,5.7%,17,6.1%,33,7.8%,15,10.6%,7,1.6%,6.3%,0.0%,5,0,48,8.4%
15,Non-Hispanic,792,62.3%,239,85.7%,356,84.2%,118,83.1%,78,18.3%,82.5%,100.0%,66,17,491,86.0%
16,Unknown Ethnicity,408,32.1%,23,8.2%,34,8.0%,9,6.3%,342,80.1%,11.3%,0.0%,9,0,32,5.6%
17,White,592,46.5%,173,62.0%,255,60.3%,112,78.9%,51,11.9%,55.0%,64.7%,44,11,376,65.8%
18,Black,30,2.4%,13,4.7%,8,1.9%,6,4.2%,3,0.7%,1.3%,0.0%,1,0,17,3.0%
19,AI/AN,148,11.6%,47,16.8%,54,12.8%,2,1.4%,45,10.5%,16.3%,17.6%,13,3,57,10.0%
20,Asian,61,4.8%,13,4.7%,41,9.7%,5,3.5%,2,0.5%,10.0%,11.8%,8,2,54,9.5%
21,NHOPI,31,2.4%,8,2.9%,16,3.8%,1,0.7%,6,1.4%,7.5%,5.9%,6,1,14,2.5%
22,Multiple,41,3.2%,12,4.3%,16,3.8%,7,4.9%,6,1.4%,0.0%,0.0%,0,0,23,4.0%
23,Other,24,1.9%,3,1.1%,9,2.1%,5,3.5%,7,1.6%,5.0%,0.0%,4,0,13,2.3%
24,Unknown Race,345,27.1%,10,3.6%,24,5.7%,4,2.8%,307,71.9%,5.0%,0.0%,4,0,17,3.0%
