Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,24993,52.0%,805,52.2%,1002,51.1%,218,53.7%,22622,52.0%,591,55.0%,135,60.8%,1
Female,23033,47.9%,736,47.8%,957,48.9%,188,46.3%,20844,47.9%,482,44.9%,87,39.2%,2
Unknown Sex,37,0.1%,0,0.0%,0,0.0%,0,0.0%,34,0.1%,1,0.1%,0,0.0%,3
<10 Years,3051,6.3%,32,2.1%,135,6.9%,13,3.2%,2847,6.5%,11,1.0%,0,0.0%,4
10-19 Years,5665,11.8%,133,8.6%,230,11.7%,60,14.8%,5172,11.9%,8,0.7%,0,0.0%,5
20-29 Years,9946,20.7%,419,27.2%,488,24.9%,65,16.0%,8835,20.3%,49,4.6%,3,1.4%,6
30-39 Years,9244,19.2%,274,17.8%,340,17.4%,81,20.0%,8425,19.4%,88,8.2%,5,2.3%,7
40-49 Years,6700,13.9%,228,14.8%,246,12.6%,64,15.8%,6080,14.0%,99,9.2%,8,3.6%,8
50-59 Years,6219,12.9%,192,12.5%,253,12.9%,53,13.1%,5647,13.0%,173,16.1%,18,8.1%,9
60-69 Years,4448,9.3%,161,10.4%,140,7.1%,45,11.1%,4015,9.2%,237,22.1%,41,18.5%,10
70-79 Years,1956,4.1%,65,4.2%,80,4.1%,23,5.7%,1750,4.0%,240,22.3%,68,30.6%,11
80+ Years,834,1.7%,37,2.4%,47,2.4%,2,0.5%,729,1.7%,169,15.7%,79,35.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2682,5.6%,120,7.8%,180,9.2%,43,10.6%,2314,5.3%,54,5.0%,9,4.1%,14
Non-Hispanic,25662,53.4%,1215,78.8%,1514,77.3%,312,76.8%,22400,51.5%,813,75.7%,208,93.7%,15
UI Ethnicity,18786,39.1%,0,0.0%,0,0.0%,0,0.0%,18786,43.2%,189,17.6%,3,1.4%,16
Unknown Ethnicity,933,1.9%,206,13.4%,265,13.5%,51,12.6%,0,0.0%,18,1.7%,2,0.9%,17
White,15226,31.7%,692,44.9%,833,42.5%,250,61.6%,13285,30.5%,349,32.5%,83,37.4%,18
Black,1250,2.6%,92,6.0%,116,5.9%,21,5.2%,1007,2.3%,41,3.8%,9,4.1%,19
AI/AN,10070,21.0%,402,26.1%,466,23.8%,48,11.8%,9057,20.8%,285,26.5%,83,37.4%,20
Asian,1943,4.0%,75,4.9%,100,5.1%,19,4.7%,1728,4.0%,102,9.5%,20,9.0%,21
NHOPI,1366,2.8%,74,4.8%,138,7.0%,4,1.0%,1145,2.6%,118,11.0%,15,6.8%,22
Multiple,3894,8.1%,75,4.9%,91,4.6%,13,3.2%,3685,8.5%,69,6.4%,7,3.2%,23
Other,6154,12.8%,40,2.6%,55,2.8%,16,3.9%,5918,13.6%,47,4.4%,4,1.8%,24
UI Race,7675,16.0%,0,0.0%,0,0.0%,0,0.0%,7675,17.6%,54,5.0%,0,0.0%,25
Unknown Race,485,1.0%,91,5.9%,160,8.2%,35,8.6%,0,0.0%,9,0.8%,1,0.5%,26
