,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=879,512",,"N=143,232",,"N=10,519",,"N=2,728",,"N=627,356",,"N=577,735",,"N=116,1658",
0-4,32387,4%,3682,3%,86,1%,<5,--,0,0%,0,0%,0,0%
5-9,41714,5%,4751,3%,29,<1%,0,0%,0,0%,0,0%,0,0%
10-14,43581,5%,6020,4%,41,<1%,<5,--,14990,2%,11669,2%,26658,2%
15-18,46818,5%,7866,5%,83,1%,0,0%,27907,4%,23978,4%,51365,4%
19-24,92035,10%,17972,13%,289,3%,<5,--,46569,7%,40328,7%,83385,7%
25-29,72069,8%,12774,9%,360,3%,5,<1%,37276,6%,33221,6%,67683,6%
30-39,130147,15%,22468,16%,703,7%,14,<1%,80695,13%,72944,13%,147323,13%
40-49,105914,12%,18788,13%,948,9%,36,1%,81909,13%,75247,13%,150345,13%
50-59,122342,14%,20480,14%,1573,15%,138,5%,109573,17%,102411,18%,199810,17%
60-69,101863,12%,14294,10%,2026,19%,335,12%,116198,19%,110847,19%,218896,19%
70-79,55160,6%,7253,5%,2071,20%,620,23%,72694,12%,69749,12%,140254,12%
80-89,24308,3%,4431,3%,1586,15%,848,31%,30362,5%,28820,5%,58548,5%
90+,9796,1%,2448,2%,721,7%,726,27%,9183,1%,8521,1%,17391,1%
Pending further information,1378,--,5,--,<5,--,0,--,0,--,0,--,0,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,68571,17%,36762,29%,2225,26%,227,10%,77160,13%,66210,12%,136858,12%
American Indian or Alaska Native*,5067,1%,413,<1%,30,<1%,<5,--,2221,<1%,1962,<1%,4049,<1%
Asian*,11361,3%,2875,2%,204,2%,49,2%,21776,4%,19843,4%,40299,4%
Black or African American*,22778,6%,9195,7%,742,9%,119,5%,26898,5%,23618,4%,48492,4%
Native Hawaiian or Other Pacific Islander*,600,<1%,72,<1%,10,0%,0,0%,984,<1%,901,<1%,1832,<1%
White*,269714,66%,71670,57%,5157,60%,1955,83%,434560,73%,409453,75%,814888,74%
Other race*,23700,6%,2332,2%,143,2%,7,<1%,28212,5%,24731,5%,50941,5%
Multiple race*,7367,2%,2010,2%,124,1%,<5,--,--,--,--,--,--,--
Declined,12736,--,3061,--,113,--,0,--,0,--,0,--,0,--
Unknown or pending further information,457618,--,14842,--,1771,--,365,--,35545,--,31017,--,64299,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,387632,54%,70658,53%,4809,51%,1401,51%,340906,54%,315508,55%,634773,55%
Male,332088,46%,63001,47%,4658,49%,1324,49%,285677,46%,261561,45%,525546,45%
Other,209,<1%,203,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,159583,--,9370,--,1038,--,<5,--,773,--,666,--,1339,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,3590,5%,125,3%,--,--,--,--,--,--,--,--
No,--,--,71402,95%,3864,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,68240,--,6530,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,46320,52%,5298,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,41030,46%,5204,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,628,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,274,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,27844,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27136,--,14,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,45,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,780,1%,13,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1322,2%,52,1%,--,--,--,--,--,--,--,--
Queer,--,--,159,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,75840,96%,4108,98%,--,--,--,--,--,--,--,--
Other,--,--,700,1%,20,<1%,--,--,--,--,--,--,--,--
Declined,--,--,33981,--,2569,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,30405,--,3751,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,6/30/2021,,,,,,,,,,,,,
