Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29040,52.0%,940,52.3%,1144,51.2%,236,53.5%,26307,51.9%,682,55.3%,173,60.3%,1
Female,26839,48.0%,859,47.7%,1089,48.8%,205,46.5%,24328,48.0%,551,44.7%,114,39.7%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3783,6.8%,41,2.3%,160,7.2%,14,3.2%,3538,7.0%,11,0.9%,0,0.0%,4
10-19 Years,6845,12.2%,150,8.3%,264,11.8%,64,14.5%,6282,12.4%,9,0.7%,0,0.0%,5
20-29 Years,11470,20.5%,469,26.1%,539,24.1%,77,17.5%,10232,20.2%,49,4.0%,3,1.0%,6
30-39 Years,10609,19.0%,309,17.2%,382,17.1%,84,19.0%,9699,19.2%,98,7.9%,6,2.1%,7
40-49 Years,7679,13.7%,267,14.8%,270,12.1%,68,15.4%,6980,13.8%,116,9.4%,11,3.8%,8
50-59 Years,7205,12.9%,229,12.7%,283,12.7%,61,13.8%,6540,12.9%,200,16.2%,20,7.0%,9
60-69 Years,5110,9.1%,190,10.6%,166,7.4%,49,11.1%,4599,9.1%,271,22.0%,58,20.2%,10
70-79 Years,2241,4.0%,93,5.2%,97,4.3%,22,5.0%,1978,3.9%,275,22.3%,87,30.3%,11
80+ Years,944,1.7%,51,2.8%,72,3.2%,2,0.5%,794,1.6%,204,16.5%,102,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2851,5.1%,135,7.5%,197,8.8%,47,10.7%,2445,4.8%,65,5.3%,12,4.2%,14
Non-Hispanic,28296,50.6%,1419,78.9%,1725,77.3%,338,76.6%,24526,48.4%,925,75.0%,268,93.4%,15
UI Ethnicity,23671,42.4%,0,0.0%,0,0.0%,0,0.0%,23671,46.7%,224,18.2%,5,1.7%,16
Unknown Ethnicity,1068,1.9%,245,13.6%,311,13.9%,56,12.7%,0,0.0%,19,1.5%,2,0.7%,17
White,17122,30.6%,802,44.6%,934,41.8%,273,61.9%,14907,29.4%,413,33.5%,122,42.5%,18
Black,1366,2.4%,96,5.3%,120,5.4%,21,4.8%,1112,2.2%,45,3.6%,9,3.1%,19
AI/AN,12062,21.6%,500,27.8%,561,25.1%,52,11.8%,10826,21.4%,331,26.8%,104,36.2%,20
Asian,2209,4.0%,89,4.9%,133,6.0%,19,4.3%,1941,3.8%,117,9.5%,29,10.1%,21
NHOPI,1468,2.6%,79,4.4%,149,6.7%,4,0.9%,1228,2.4%,123,10.0%,16,5.6%,22
Multiple,4301,7.7%,83,4.6%,98,4.4%,15,3.4%,4073,8.0%,67,5.4%,4,1.4%,23
Other,6784,12.1%,52,2.9%,63,2.8%,17,3.9%,6515,12.9%,52,4.2%,1,0.3%,24
UI Race,10040,18.0%,0,0.0%,0,0.0%,0,0.0%,10040,19.8%,76,6.2%,1,0.3%,25
Unknown Race,534,1.0%,98,5.4%,175,7.8%,40,9.1%,0,0.0%,9,0.7%,1,0.3%,26
