Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,Under 1 year,5,5052,45,1,13,62,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,1-4 years,3,973,37,2,38,76,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,5-14 years,11,1436,47,2,44,100,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,15-24 years,93,8826,185,30,50,294,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,25-34 years,542,18849,676,237,140,1108,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,35-44 years,1403,27095,1556,586,224,2572,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,45-54 years,3893,52008,4091,1673,548,6758,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,55-64 years,9776,123876,11645,4406,1168,17977,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,65-74 years,16981,190985,20111,7719,1376,30525,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,75-84 years,21822,238651,26174,9910,1393,39291,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes,85 years and over,26843,304128,30530,11036,1307,47486,
05/28/2020,02/01/2020,05/23/2020,United States,All Sexes Total,All Ages,81372,971879,95097,35602,6301,146249,
05/28/2020,02/01/2020,05/23/2020,United States,Male,Under 1 year,3,2799,32,1,7,41,
05/28/2020,02/01/2020,05/23/2020,United States,Male,1-4 years,1,551,20,1,22,42,
05/28/2020,02/01/2020,05/23/2020,United States,Male,5-14 years,9,853,23,2,18,48,
05/28/2020,02/01/2020,05/23/2020,United States,Male,15-24 years,61,6517,114,20,26,178,
05/28/2020,02/01/2020,05/23/2020,United States,Male,25-34 years,372,13117,421,167,70,687,
05/28/2020,02/01/2020,05/23/2020,United States,Male,35-44 years,1010,17749,1015,424,118,1700,
05/28/2020,02/01/2020,05/23/2020,United States,Male,45-54 years,2767,32447,2562,1200,323,4383,
05/28/2020,02/01/2020,05/23/2020,United States,Male,55-64 years,6448,76022,7089,2869,666,11193,
05/28/2020,02/01/2020,05/23/2020,United States,Male,65-74 years,10632,110823,12020,4835,765,18438,
05/28/2020,02/01/2020,05/23/2020,United States,Male,75-84 years,12045,124042,14483,5543,686,21564,
05/28/2020,02/01/2020,05/23/2020,United States,Male,85 years and over,10729,117637,13362,4731,530,19815,
05/28/2020,02/01/2020,05/23/2020,United States,Male Total,"Male, all ages",44077,502557,51141,19793,3231,78089,
05/28/2020,02/01/2020,05/23/2020,United States,Female,Under 1 year,2,2247,13,0,6,21,
05/28/2020,02/01/2020,05/23/2020,United States,Female,1-4 years,2,422,17,1,16,34,
05/28/2020,02/01/2020,05/23/2020,United States,Female,5-14 years,2,583,24,0,26,52,
05/28/2020,02/01/2020,05/23/2020,United States,Female,15-24 years,32,2308,71,10,24,116,
05/28/2020,02/01/2020,05/23/2020,United States,Female,25-34 years,170,5731,255,70,70,421,
05/28/2020,02/01/2020,05/23/2020,United States,Female,35-44 years,393,9343,541,162,106,872,
05/28/2020,02/01/2020,05/23/2020,United States,Female,45-54 years,1126,19559,1529,473,225,2375,
05/28/2020,02/01/2020,05/23/2020,United States,Female,55-64 years,3328,47853,4556,1537,502,6784,
05/28/2020,02/01/2020,05/23/2020,United States,Female,65-74 years,6349,80157,8091,2884,611,12087,
05/28/2020,02/01/2020,05/23/2020,United States,Female,75-84 years,9777,114605,11691,4367,707,17727,
05/28/2020,02/01/2020,05/23/2020,United States,Female,85 years and over,16113,186476,17167,6304,777,27670,
05/28/2020,02/01/2020,05/23/2020,United States,Female Total,"Female, all ages",37294,469284,43955,15808,3070,68159,
05/28/2020,02/01/2020,05/23/2020,United States,Unknown,All ages,1,38,1,1,0,1,
05/28/2020,02/01/2020,05/23/2020,United States Total,All sexes,All Ages,81372,971879,95097,35602,6301,146249,
