Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2645,49.9%,349,48.9%,494,49.8%,132,52.2%,1642,49.8%,127,57.7%,25,64.1%,1,978,47.7%
Female,2652,50.1%,364,51.1%,498,50.2%,121,47.8%,1651,50.1%,93,42.3%,14,35.9%,2,1073,52.3%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,251,4.7%,13,1.8%,65,6.6%,8,3.2%,165,5.0%,1,0.5%,0,0.0%,4,96,4.7%
10-19 Years,562,10.6%,52,7.3%,92,9.3%,36,14.2%,371,11.3%,1,0.5%,0,0.0%,5,223,10.9%
20-29 Years,1261,23.8%,186,26.1%,255,25.7%,44,17.4%,765,23.2%,14,6.4%,0,0.0%,6,520,25.4%
30-39 Years,979,18.5%,142,19.9%,180,18.1%,48,19.0%,601,18.2%,20,9.1%,2,5.1%,7,402,19.6%
40-49 Years,737,13.9%,118,16.5%,114,11.5%,40,15.8%,455,13.8%,27,12.3%,2,5.1%,8,275,13.4%
50-59 Years,695,13.1%,86,12.1%,138,13.9%,35,13.8%,435,13.2%,40,18.2%,4,10.3%,9,256,12.5%
60-69 Years,488,9.2%,71,10.0%,85,8.6%,26,10.3%,303,9.2%,42,19.1%,5,12.8%,10,180,8.8%
70-79 Years,232,4.4%,35,4.9%,37,3.7%,15,5.9%,145,4.4%,48,21.8%,16,41.0%,11,76,3.7%
80+ Years,93,1.8%,10,1.4%,26,2.6%,1,0.4%,54,1.6%,27,12.3%,10,25.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,267,5.0%,55,7.7%,92,9.3%,26,10.3%,91,2.8%,13,5.9%,0,0.0%,14,151,7.4%
Non-Hispanic,1951,36.8%,527,73.9%,650,65.5%,176,69.6%,579,17.6%,169,76.8%,37,94.9%,15,1174,57.2%
UI Ethnicity,2624,49.5%,0,0.0%,0,0.0%,0,0.0%,2624,79.7%,27,12.3%,1,2.6%,16,455,22.2%
Unknown Ethnicity,456,8.6%,131,18.4%,250,25.2%,51,20.2%,0,0.0%,11,5.0%,1,2.6%,17,271,13.2%
White,1223,23.1%,310,43.5%,406,40.9%,164,64.8%,337,10.2%,70,31.8%,16,41.0%,18,775,37.8%
Black,175,3.3%,42,5.9%,50,5.0%,15,5.9%,65,2.0%,6,2.7%,0,0.0%,19,85,4.1%
AI/AN,829,15.6%,157,22.0%,165,16.6%,12,4.7%,484,14.7%,55,25.0%,14,35.9%,20,294,14.3%
Asian,127,2.4%,26,3.6%,50,5.0%,8,3.2%,42,1.3%,12,5.5%,3,7.7%,21,80,3.9%
NHOPI,216,4.1%,49,6.9%,68,6.9%,2,0.8%,96,2.9%,42,19.1%,5,12.8%,22,106,5.2%
Multiple,168,3.2%,28,3.9%,35,3.5%,10,4.0%,93,2.8%,4,1.8%,0,0.0%,23,68,3.3%
Other,147,2.8%,15,2.1%,29,2.9%,10,4.0%,92,2.8%,7,3.2%,0,0.0%,24,56,2.7%
UI Race,2085,39.4%,0,0.0%,0,0.0%,0,0.0%,2085,63.3%,16,7.3%,0,0.0%,25,389,19.0%
Unknown Race,328,6.2%,86,12.1%,189,19.1%,32,12.6%,0,0.0%,8,3.6%,1,2.6%,26,198,9.7%
