Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26484,52.0%,847,52.1%,1047,51.5%,224,53.2%,24002,52.0%,640,55.5%,154,61.1%,1
Female,24451,48.0%,780,47.9%,986,48.5%,197,46.8%,22162,48.0%,513,44.5%,98,38.9%,2
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.0%,0,0.0%,0,0.0%,3
<10 Years,3304,6.5%,35,2.2%,141,6.9%,14,3.3%,3090,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6059,11.9%,136,8.4%,247,12.1%,61,14.5%,5544,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10584,20.8%,430,26.4%,498,24.5%,69,16.4%,9446,20.5%,53,4.6%,3,1.2%,6
30-39 Years,9723,19.1%,286,17.6%,356,17.5%,81,19.2%,8871,19.2%,91,7.9%,6,2.4%,7
40-49 Years,7051,13.8%,238,14.6%,251,12.3%,67,15.9%,6412,13.9%,105,9.1%,9,3.6%,8
50-59 Years,6582,12.9%,202,12.4%,259,12.7%,57,13.5%,5984,13.0%,191,16.6%,18,7.1%,9
60-69 Years,4698,9.2%,174,10.7%,143,7.0%,47,11.2%,4239,9.2%,254,22.0%,49,19.4%,10
70-79 Years,2064,4.1%,82,5.0%,86,4.2%,23,5.5%,1830,4.0%,259,22.5%,81,32.1%,11
80+ Years,876,1.7%,44,2.7%,52,2.6%,2,0.5%,754,1.6%,182,15.8%,86,34.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2749,5.4%,123,7.6%,181,8.9%,44,10.5%,2375,5.1%,59,5.1%,11,4.4%,14
Non-Hispanic,26656,52.3%,1288,79.2%,1575,77.5%,325,77.2%,23227,50.3%,870,75.5%,234,92.9%,15
UI Ethnicity,20568,40.4%,0,0.0%,0,0.0%,0,0.0%,20568,44.5%,205,17.8%,7,2.8%,16
Unknown Ethnicity,968,1.9%,216,13.3%,277,13.6%,52,12.4%,0,0.0%,19,1.6%,0,0.0%,17
White,15885,31.2%,727,44.7%,864,42.5%,259,61.5%,13859,30.0%,379,32.9%,101,40.1%,18
Black,1292,2.5%,93,5.7%,116,5.7%,21,5.0%,1048,2.3%,46,4.0%,9,3.6%,19
AI/AN,10903,21.4%,440,27.0%,503,24.7%,52,12.4%,9797,21.2%,310,26.9%,95,37.7%,20
Asian,2032,4.0%,80,4.9%,101,5.0%,19,4.5%,1810,3.9%,112,9.7%,27,10.7%,21
NHOPI,1402,2.8%,77,4.7%,139,6.8%,4,1.0%,1177,2.5%,120,10.4%,16,6.3%,22
Multiple,4001,7.9%,74,4.5%,93,4.6%,14,3.3%,3790,8.2%,69,6.0%,2,0.8%,23
Other,6392,12.5%,42,2.6%,55,2.7%,16,3.8%,6155,13.3%,46,4.0%,0,0.0%,24
UI Race,8534,16.8%,0,0.0%,0,0.0%,0,0.0%,8534,18.5%,63,5.5%,2,0.8%,25
Unknown Race,500,1.0%,94,5.8%,162,8.0%,36,8.6%,0,0.0%,8,0.7%,0,0.0%,26
