Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/29/2020,02/01/2020,07/25/2020,United States,All,Under 1 year,14,8459,77,2,14,103,
07/29/2020,02/01/2020,07/25/2020,United States,All,1-4 years,9,1620,54,2,41,102,
07/29/2020,02/01/2020,07/25/2020,United States,All,5-14 years,19,2498,84,6,50,147,
07/29/2020,02/01/2020,07/25/2020,United States,All,15-24 years,202,15609,312,65,52,497,
07/29/2020,02/01/2020,07/25/2020,United States,All,25-34 years,992,32454,1173,438,150,1863,
07/29/2020,02/01/2020,07/25/2020,United States,All,35-44 years,2554,45974,2569,1077,242,4259,
07/29/2020,02/01/2020,07/25/2020,United States,All,45-54 years,6927,85744,6749,3088,572,11056,
07/29/2020,02/01/2020,07/25/2020,United States,All,55-64 years,16648,198216,18267,7696,1217,28220,
07/29/2020,02/01/2020,07/25/2020,United States,All,65-74 years,28353,301375,31292,13102,1424,47736,
07/29/2020,02/01/2020,07/25/2020,United States,All,75-84 years,35806,370715,39448,16079,1451,60428,
07/29/2020,02/01/2020,07/25/2020,United States,All,85 years and over,44055,466957,44256,17194,1359,72307,
07/29/2020,02/01/2020,07/25/2020,United States,All,All Ages,135579,1529621,144281,58749,6572,226718,
07/29/2020,02/01/2020,07/25/2020,United States,Male,Under 1 year,8,4715,51,2,8,65,
07/29/2020,02/01/2020,07/25/2020,United States,Male,1-4 years,4,947,27,1,25,55,
07/29/2020,02/01/2020,07/25/2020,United States,Male,5-14 years,15,1486,43,6,22,74,
07/29/2020,02/01/2020,07/25/2020,United States,Male,15-24 years,129,11532,191,38,27,306,
07/29/2020,02/01/2020,07/25/2020,United States,Male,25-34 years,675,22822,741,304,76,1179,
07/29/2020,02/01/2020,07/25/2020,United States,Male,35-44 years,1791,30236,1645,750,129,2792,
07/29/2020,02/01/2020,07/25/2020,United States,Male,45-54 years,4814,53948,4240,2155,339,7166,
07/29/2020,02/01/2020,07/25/2020,United States,Male,55-64 years,10961,122224,11156,5014,691,17647,
07/29/2020,02/01/2020,07/25/2020,United States,Male,65-74 years,17576,174968,18805,8165,791,28856,
07/29/2020,02/01/2020,07/25/2020,United States,Male,75-84 years,19530,192627,21996,9007,723,33129,
07/29/2020,02/01/2020,07/25/2020,United States,Male,85 years and over,17181,180012,19517,7372,555,29798,
07/29/2020,02/01/2020,07/25/2020,United States,Male,All ages,72684,795517,78412,32814,3386,121067,
07/29/2020,02/01/2020,07/25/2020,United States,Female,Under 1 year,6,3730,26,0,6,38,
07/29/2020,02/01/2020,07/25/2020,United States,Female,1-4 years,5,673,27,1,16,47,
07/29/2020,02/01/2020,07/25/2020,United States,Female,5-14 years,4,1012,41,0,28,73,
07/29/2020,02/01/2020,07/25/2020,United States,Female,15-24 years,73,4076,121,27,25,191,
07/29/2020,02/01/2020,07/25/2020,United States,Female,25-34 years,317,9630,432,134,74,684,
07/29/2020,02/01/2020,07/25/2020,United States,Female,35-44 years,763,15734,924,327,113,1467,
07/29/2020,02/01/2020,07/25/2020,United States,Female,45-54 years,2113,31794,2509,933,233,3890,
07/29/2020,02/01/2020,07/25/2020,United States,Female,55-64 years,5687,75987,7110,2682,525,10571,
07/29/2020,02/01/2020,07/25/2020,United States,Female,65-74 years,10776,126395,12486,4936,633,18879,
07/29/2020,02/01/2020,07/25/2020,United States,Female,75-84 years,16275,178076,17451,7071,728,27298,
07/29/2020,02/01/2020,07/25/2020,United States,Female,85 years and over,26871,286920,24737,9820,804,42506,
07/29/2020,02/01/2020,07/25/2020,United States,Female,All ages,62890,734027,65864,25931,3185,105644,
07/29/2020,02/01/2020,07/25/2020,United States,Unknown,All ages,5,77,5,4,1,7,
07/29/2020,02/01/2020,07/25/2020,United States Total,All,All Ages,135579,1529621,144281,58749,6572,226718,
07/29/2020,02/01/2020,07/25/2020,Alabama,Male,Under 1 year,0,90,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/29/2020,02/01/2020,07/25/2020,Alabama,Male,1-4 years,0,19,0,0,0,0,
07/29/2020,02/01/2020,07/25/2020,Alabama,Male,5-14 years,0,36,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/29/2020,02/01/2020,07/25/2020,Alabama,Male,15-24 years,0,234,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/29/2020,02/01/2020,07/25/2020,Alabama,Male,25-34 years,,409,10,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/29/2020,02/01/2020,07/25/2020,Alabama,Male,35-44 years,14,589,31,,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
