ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1353,48.4%,229,49.1%,322,48.7%,103,54.8%,685,47.0%,60.0%,54.5%,75,12,427,50.0%
2,Female,1444,51.6%,237,50.9%,339,51.3%,85,45.2%,771,53.0%,40.0%,45.5%,50,10,427,50.0%
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,129,4.6%,8,1.7%,43,6.5%,3,1.6%,75,5.2%,0.0%,0.0%,0,0,36,4.2%
5,10-19 Years,270,9.7%,39,8.4%,51,7.7%,19,10.1%,154,10.6%,0.8%,0.0%,1,0,73,8.5%
6,20-29 Years,690,24.7%,117,25.1%,159,24.1%,29,15.4%,378,26.0%,7.2%,0.0%,9,0,189,22.1%
7,30-39 Years,534,19.1%,93,20.0%,125,18.9%,37,19.7%,274,18.8%,12.0%,9.1%,15,2,174,20.4%
8,40-49 Years,382,13.7%,74,15.9%,82,12.4%,35,18.6%,188,12.9%,8.0%,4.5%,10,1,127,14.9%
9,50-59 Years,362,12.9%,60,12.9%,106,16.0%,26,13.8%,169,11.6%,19.2%,9.1%,24,2,120,14.1%
10,60-69 Years,269,9.6%,44,9.4%,62,9.4%,24,12.8%,137,9.4%,20.0%,13.6%,25,3,91,10.7%
11,70-79 Years,120,4.3%,24,5.2%,23,3.5%,14,7.4%,59,4.1%,23.2%,45.5%,29,10,37,4.3%
12,80+ Years,41,1.5%,7,1.5%,10,1.5%,1,0.5%,22,1.5%,9.6%,18.2%,12,4,7,0.8%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,150,5.4%,37,7.9%,60,9.1%,23,12.2%,29,2.0%,5.6%,0.0%,7,0,86,10.1%
15,Non-Hispanic,1215,43.4%,381,81.8%,486,73.5%,143,76.1%,192,13.2%,80.8%,100.0%,101,22,705,82.6%
16,UI Ethnicity,1235,44.2%,0,0.0%,0,0.0%,0,0.0%,1235,84.8%,10.4%,0.0%,13,0,0,0.0%
17,Unknown Ethnicity,197,7.0%,48,10.3%,115,17.4%,22,11.7%,0,0.0%,3.2%,0.0%,4,0,63,7.4%
18,White,852,30.5%,235,50.4%,331,50.1%,133,70.7%,149,10.2%,38.4%,50.0%,48,11,501,58.7%
19,Black,81,2.9%,27,5.8%,17,2.6%,12,6.4%,24,1.6%,2.4%,0.0%,3,0,30,3.5%
20,AI/AN,366,13.1%,101,21.7%,107,16.2%,8,4.3%,144,9.9%,24.0%,36.4%,30,8,122,14.3%
21,Asian,83,3.0%,20,4.3%,46,7.0%,6,3.2%,10,0.7%,8.0%,9.1%,10,2,60,7.0%
22,NHOPI,103,3.7%,22,4.7%,35,5.3%,1,0.5%,45,3.1%,14.4%,4.5%,18,1,31,3.6%
23,Multiple,68,2.4%,17,3.6%,27,4.1%,8,4.3%,15,1.0%,0.0%,0.0%,0,0,36,4.2%
24,Other,48,1.7%,8,1.7%,16,2.4%,8,4.3%,15,1.0%,3.2%,0.0%,4,0,22,2.6%
25,UI Race,1054,37.7%,0,0.0%,0,0.0%,0,0.0%,1054,72.4%,6.4%,0.0%,8,0,2,0.2%
26,Unknown Race,142,5.1%,36,7.7%,82,12.4%,12,6.4%,0,0.0%,3.2%,0.0%,4,0,50,5.9%
