Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,30523,52.0%,987,51.7%,1233,50.8%,244,52.9%,27622,52.1%,722,55.0%,182,59.5%,1
Female,28103,47.9%,921,48.3%,1196,49.2%,217,47.1%,25374,47.9%,591,45.0%,124,40.5%,2
Unknown Sex,19,0.0%,0,0.0%,0,0.0%,0,0.0%,19,0.0%,0,0.0%,0,0.0%,3
<10 Years,4042,6.9%,44,2.3%,185,7.6%,15,3.3%,3767,7.1%,14,1.1%,0,0.0%,4
10-19 Years,7318,12.5%,165,8.6%,288,11.9%,65,14.1%,6705,12.6%,10,0.8%,0,0.0%,5
20-29 Years,11972,20.4%,491,25.7%,559,23.0%,80,17.4%,10675,20.1%,52,4.0%,3,1.0%,6
30-39 Years,11125,19.0%,328,17.2%,407,16.8%,86,18.7%,10163,19.2%,105,8.0%,6,2.0%,7
40-49 Years,8065,13.8%,282,14.8%,296,12.2%,72,15.6%,7313,13.8%,125,9.5%,12,3.9%,8
50-59 Years,7561,12.9%,238,12.5%,317,13.1%,61,13.2%,6848,12.9%,219,16.7%,20,6.5%,9
60-69 Years,5304,9.0%,205,10.7%,175,7.2%,55,11.9%,4759,9.0%,296,22.5%,60,19.6%,10
70-79 Years,2295,3.9%,99,5.2%,115,4.7%,25,5.4%,2000,3.8%,283,21.6%,93,30.4%,11
80+ Years,963,1.6%,56,2.9%,87,3.6%,2,0.4%,785,1.5%,209,15.9%,112,36.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3154,5.4%,138,7.2%,209,8.6%,50,10.8%,2728,5.1%,68,5.2%,13,4.2%,14
Non-Hispanic,32019,54.6%,1520,79.7%,1876,77.2%,352,76.4%,27945,52.7%,1010,76.9%,287,93.8%,15
UI Ethnicity,22342,38.1%,0,0.0%,0,0.0%,0,0.0%,22342,42.1%,215,16.4%,4,1.3%,16
Unknown Ethnicity,1130,1.9%,250,13.1%,344,14.2%,59,12.8%,0,0.0%,20,1.5%,2,0.7%,17
White,19412,33.1%,834,43.7%,1006,41.4%,283,61.4%,17066,32.2%,461,35.1%,129,42.2%,18
Black,1466,2.5%,96,5.0%,123,5.1%,21,4.6%,1209,2.3%,48,3.7%,9,2.9%,19
AI/AN,12595,21.5%,565,29.6%,639,26.3%,57,12.4%,11181,21.1%,359,27.3%,113,36.9%,20
Asian,2381,4.1%,89,4.7%,152,6.3%,20,4.3%,2093,3.9%,117,8.9%,30,9.8%,21
NHOPI,1571,2.7%,80,4.2%,154,6.3%,4,0.9%,1324,2.5%,129,9.8%,17,5.6%,22
Multiple,4541,7.7%,87,4.6%,104,4.3%,16,3.5%,4301,8.1%,69,5.3%,5,1.6%,23
Other,7066,12.0%,56,2.9%,69,2.8%,18,3.9%,6782,12.8%,57,4.3%,1,0.3%,24
UI Race,9059,15.4%,0,0.0%,0,0.0%,0,0.0%,9059,17.1%,64,4.9%,1,0.3%,25
Unknown Race,554,0.9%,101,5.3%,182,7.5%,42,9.1%,0,0.0%,9,0.7%,1,0.3%,26
