Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,29583,52.0%,953,52.0%,1168,51.1%,239,53.3%,26803,52.0%,694,55.4%,179,59.5%,1
Female,27291,48.0%,879,48.0%,1119,48.9%,209,46.7%,24720,48.0%,559,44.6%,122,40.5%,2
Unknown Sex,12,0.0%,0,0.0%,0,0.0%,0,0.0%,12,0.0%,0,0.0%,0,0.0%,3
<10 Years,3885,6.8%,42,2.3%,165,7.2%,14,3.1%,3634,7.1%,12,1.0%,0,0.0%,4
10-19 Years,7031,12.4%,153,8.4%,272,11.9%,65,14.5%,6454,12.5%,9,0.7%,0,0.0%,5
20-29 Years,11631,20.4%,476,26.0%,542,23.7%,78,17.4%,10378,20.1%,49,3.9%,3,1.0%,6
30-39 Years,10800,19.0%,318,17.4%,388,17.0%,85,19.0%,9871,19.2%,99,7.9%,6,2.0%,7
40-49 Years,7823,13.8%,273,14.9%,272,11.9%,69,15.4%,7116,13.8%,119,9.5%,12,4.0%,8
50-59 Years,7326,12.9%,231,12.6%,288,12.6%,61,13.6%,6652,12.9%,204,16.3%,20,6.6%,9
60-69 Years,5176,9.1%,191,10.4%,166,7.3%,52,11.6%,4660,9.0%,275,21.9%,59,19.6%,10
70-79 Years,2261,4.0%,95,5.2%,108,4.7%,22,4.9%,1985,3.9%,279,22.3%,93,30.9%,11
80+ Years,953,1.7%,53,2.9%,86,3.8%,2,0.4%,785,1.5%,207,16.5%,108,35.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2862,5.0%,136,7.4%,200,8.7%,48,10.7%,2452,4.8%,66,5.3%,13,4.3%,14
Non-Hispanic,28541,50.2%,1445,78.9%,1762,77.0%,343,76.6%,24699,47.9%,939,74.9%,280,93.0%,15
UI Ethnicity,24384,42.9%,0,0.0%,0,0.0%,0,0.0%,24384,47.3%,229,18.3%,6,2.0%,16
Unknown Ethnicity,1099,1.9%,251,13.7%,325,14.2%,57,12.7%,0,0.0%,19,1.5%,2,0.7%,17
White,17431,30.6%,815,44.5%,959,41.9%,278,62.1%,15167,29.4%,423,33.8%,127,42.2%,18
Black,1380,2.4%,95,5.2%,120,5.2%,21,4.7%,1127,2.2%,45,3.6%,9,3.0%,19
AI/AN,12202,21.4%,512,27.9%,577,25.2%,52,11.6%,10936,21.2%,336,26.8%,111,36.9%,20
Asian,2233,3.9%,89,4.9%,135,5.9%,19,4.2%,1963,3.8%,116,9.3%,29,9.6%,21
NHOPI,1479,2.6%,80,4.4%,150,6.6%,4,0.9%,1236,2.4%,126,10.1%,17,5.6%,22
Multiple,4342,7.6%,85,4.6%,101,4.4%,15,3.3%,4110,8.0%,67,5.3%,4,1.3%,23
Other,6859,12.1%,55,3.0%,64,2.8%,18,4.0%,6584,12.8%,54,4.3%,1,0.3%,24
UI Race,10412,18.3%,0,0.0%,0,0.0%,0,0.0%,10412,20.2%,77,6.1%,2,0.7%,25
Unknown Race,548,1.0%,101,5.5%,181,7.9%,41,9.2%,0,0.0%,9,0.7%,1,0.3%,26
