,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=729,134",,"N=118,421",,"N=8,951",,"N=2,466",,"N=127,740",,"N=55,341",,"N=183,081",
0-4,22639,3%,2674,2%,74,1%,<5,--,0,0%,0,0%,0,0%
5-9,29491,4%,3315,3%,22,<1%,0,0%,0,0%,0,0%,0,0%
10-14,30805,4%,4288,4%,33,<1%,<5,--,0,0%,0,0%,0,0%
15-18,37195,5%,5652,5%,54,1%,0,0%,471,<1%,211,<1%,682,<1%
19-24,79892,11%,13397,11%,218,2%,<5,--,5327,4%,3015,5%,8342,5%
25-29,61647,8%,10598,9%,276,3%,<5,--,6980,5%,4242,8%,11222,6%
30-39,109338,15%,18624,16%,545,6%,11,<1%,14641,11%,8833,16%,23474,13%
40-49,89210,12%,15967,13%,764,9%,31,1%,14873,12%,8728,16%,23601,13%
50-59,104468,14%,17758,15%,1258,14%,105,4%,19669,15%,11559,21%,31228,17%
60-69,87154,12%,12750,11%,1739,19%,295,12%,20206,16%,9610,17%,29816,16%
70-79,46990,6%,6720,6%,1842,21%,552,22%,22716,18%,4177,8%,26893,15%
80-89,20716,3%,4254,4%,1468,16%,786,32%,16701,13%,2986,5%,19687,11%
90+,8524,1%,2417,2%,657,7%,676,28%,6156,5%,1980,4%,8136,4%
Pending further information,1065,--,7,--,<5,--,0,--,0,--,0,--,0,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,53422,17%,30571,30%,1875,26%,200,10%,9394,9%,4059,10%,13453,9%
American Indian or Alaska Native*,4690,1%,290,<1%,19,<1%,<5,--,238,<1%,87,<1%,325,<1%
Asian*,8506,3%,2290,2%,164,2%,37,2%,1872,2%,875,2%,2747,2%
Black or African American*,18003,6%,7679,8%,602,8%,103,5%,4172,4%,1754,4%,5926,4%
Native Hawaiian or Other Pacific Islander*,511,<1%,0,0%,0,0%,0,0%,149,<1%,51,<1%,200,<1%
White*,215231,66%,58055,57%,4271,60%,1754,84%,80376,79%,31662,76%,112038,78%
Other race*,19969,6%,2291,2%,204,3%,<5,--,5936,6%,3055,7%,8991,6%
Multiple race*,3360,1%,1160,1%,40,<1%,<5,--,--,--,--,--,--,--
Declined,8839,--,2415,--,96,--,0,--,0,--,0,--,0,--
Unknown or pending further information,396603,--,13670,--,1680,--,364,--,25603,--,13798,--,39401,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,347253,54%,60628,53%,4274,50%,1279,52%,80529,63%,36010,65%,116539,64%
Male,293481,46%,53310,47%,4320,50%,1184,48%,47094,37%,19275,35%,66369,36%
Other,185,<1%,161,<1%,26,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,88215,--,4322,--,331,--,0,--,117,--,56,--,173,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2802,5%,89,3%,--,--,--,--,--,--,--,--
No,--,--,58679,95%,3072,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,56940,--,5790,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,37939,53%,4453,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,32996,46%,4485,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,469,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,213,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,21098,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,25706,--,10,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,38,<1%,<5,--,--,--,--,--,--,--,--,--
Bisexual,--,--,574,1%,5,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1043,2%,38,1%,--,--,--,--,--,--,--,--
Queer,--,--,121,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,61688,96%,3232,98%,--,--,--,--,--,--,--,--
Other,--,--,581,1%,14,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26068,--,1961,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,28308,--,3697,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,2/24/2021,,,,,,,,,,,,,
