Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3041,50.5%,403,50.9%,522,49.4%,136,51.5%,1948,50.6%,136,56.0%,27,64.3%,1,1033,48.1%
Female,2975,49.4%,389,49.1%,535,50.6%,128,48.5%,1897,49.3%,107,44.0%,15,35.7%,2,1115,51.9%
Unknown Sex,4,0.1%,0,0.0%,0,0.0%,0,0.0%,4,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,291,4.8%,15,1.9%,66,6.2%,8,3.0%,201,5.2%,1,0.4%,0,0.0%,4,99,4.6%
10-19 Years,619,10.3%,56,7.1%,98,9.3%,37,14.0%,416,10.8%,1,0.4%,0,0.0%,5,235,10.9%
20-29 Years,1477,24.5%,200,25.3%,280,26.5%,51,19.3%,931,24.2%,14,5.8%,0,0.0%,6,556,25.9%
30-39 Years,1131,18.8%,166,21.0%,193,18.3%,51,19.3%,710,18.4%,23,9.5%,2,4.8%,7,424,19.7%
40-49 Years,817,13.6%,128,16.2%,124,11.7%,40,15.2%,514,13.4%,30,12.3%,2,4.8%,8,285,13.3%
50-59 Years,794,13.2%,100,12.6%,143,13.5%,35,13.3%,515,13.4%,45,18.5%,4,9.5%,9,266,12.4%
60-69 Years,549,9.1%,81,10.2%,87,8.2%,26,9.8%,351,9.1%,47,19.3%,5,11.9%,10,183,8.5%
70-79 Years,242,4.0%,36,4.5%,39,3.7%,15,5.7%,151,3.9%,52,21.4%,17,40.5%,11,77,3.6%
80+ Years,100,1.7%,10,1.3%,27,2.6%,1,0.4%,60,1.6%,30,12.3%,12,28.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,287,4.8%,57,7.2%,97,9.2%,26,9.8%,104,2.7%,13,5.3%,1,2.4%,14,155,7.2%
Non-Hispanic,2140,35.5%,567,71.6%,695,65.8%,181,68.6%,672,17.5%,179,73.7%,39,92.9%,15,1231,57.3%
UI Ethnicity,3073,51.0%,0,0.0%,0,0.0%,0,0.0%,3073,79.8%,36,14.8%,1,2.4%,16,453,21.1%
Unknown Ethnicity,520,8.6%,168,21.2%,265,25.1%,57,21.6%,0,0.0%,15,6.2%,1,2.4%,17,309,14.4%
White,1353,22.5%,336,42.4%,429,40.6%,171,64.8%,408,10.6%,72,29.6%,18,42.9%,18,815,37.9%
Black,199,3.3%,49,6.2%,56,5.3%,15,5.7%,75,1.9%,8,3.3%,0,0.0%,19,98,4.6%
AI/AN,1005,16.7%,179,22.6%,183,17.3%,12,4.5%,617,16.0%,67,27.6%,14,33.3%,20,301,14.0%
Asian,141,2.3%,28,3.5%,53,5.0%,8,3.0%,51,1.3%,13,5.3%,3,7.1%,21,84,3.9%
NHOPI,230,3.8%,50,6.3%,68,6.4%,2,0.8%,109,2.8%,42,17.3%,5,11.9%,22,107,5.0%
Multiple,199,3.3%,33,4.2%,38,3.6%,10,3.8%,116,3.0%,4,1.6%,0,0.0%,23,72,3.4%
Other,175,2.9%,15,1.9%,29,2.7%,10,3.8%,120,3.1%,7,2.9%,0,0.0%,24,56,2.6%
UI Race,2353,39.1%,0,0.0%,0,0.0%,0,0.0%,2353,61.1%,21,8.6%,1,2.4%,25,389,18.1%
Unknown Race,365,6.1%,102,12.9%,201,19.0%,36,13.6%,0,0.0%,9,3.7%,1,2.4%,26,226,10.5%
