Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,All Ages,231197,2512880,235070,105255,6809,366793,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,Under 1 year,27,14251,133,4,15,171,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,0-17 years,117,25213,396,18,123,618,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,1-4 years,16,2643,89,2,42,145,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,5-14 years,40,4258,119,7,53,205,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,15-24 years,418,27290,552,146,55,875,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,18-29 years,1015,48251,1265,413,102,1959,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,25-34 years,1769,55812,1958,781,153,3084,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,30-49 years,10395,167234,9817,4684,573,16021,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,35-44 years,4554,78868,4398,2013,250,7160,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,45-54 years,12033,143604,11488,5691,590,18311,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,50-64 years,36346,415061,38095,17835,1615,57931,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,55-64 years,29016,329033,30836,14306,1255,46578,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,65-74 years,49862,498849,52603,24515,1481,79182,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,75-84 years,61860,607229,64519,29106,1505,98562,
11/18/2020,02/01/2020,11/14/2020,United States,All Sexes,85 years and over,71602,751043,68375,28684,1410,112520,
11/18/2020,02/01/2020,11/14/2020,United States,Male,All Ages,125091,1311803,129300,59663,3515,197612,
11/18/2020,02/01/2020,11/14/2020,United States,Male,Under 1 year,19,7884,79,3,7,102,
11/18/2020,02/01/2020,11/14/2020,United States,Male,0-17 years,69,14848,220,11,64,342,
11/18/2020,02/01/2020,11/14/2020,United States,Male,1-4 years,8,1542,44,1,25,76,
