,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,"N=447,563",,"N=41,869",,"N=3,864",,"N=1,265",
Female,230480,55%,22341,54%,1863,48%,664,52%
Male,188645,45%,18983,46%,1980,51%,601,48%
Other,82,<1%,35,<1%,7,<1%,0,0%
Pending further information,28356,--,510,--,14,--,0,--
Age Group,,,,,,,,
0-4,10958,2%,737,2%,30,1%,0,0%
5-9,13820,3%,862,2%,12,<1%,0,0%
10-14,13771,3%,1160,3%,17,<1%,<5,--
15-18,21644,5%,1807,4%,24,1%,0,0%
19-24,55186,12%,4895,12%,106,3%,<5,--
25-29,39449,9%,3896,9%,135,3%,<5,--
30-39,68998,16%,6754,16%,269,7%,7,1%
40-49,55079,12%,5931,14%,415,11%,17,1%
50-59,64902,15%,6175,15%,598,15%,54,4%
60-69,52813,12%,4270,10%,751,19%,137,11%
70-79,28182,6%,2449,6%,737,19%,289,23%
80-89,13752,3%,1793,4%,538,14%,411,32%
90+,6386,1%,1135,3%,231,6%,344,27%
Pending further information,2623,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,28812,16%,13966,41%,1062,35%,122,12%
American Indian or Alaska Native*,4065,2%,106,<1%,6,<1%,<5,--
Asian*,4235,2%,640,2%,61,2%,15,1%
Black or African American*,12439,7%,3565,10%,362,12%,67,6%
Native Hawaiian or Other Pacific Islander*,531,<1%,0,0%,0,0%,0,0%
White*,109539,62%,15009,44%,1483,49%,846,81%
Other race*,15836,9%,575,2%,64,2%,0,0%
Multiple race*,141,<1%,300,1%,14,<1%,0,0%
Declined,3540,--,411,--,14,--,0,--
Unknown or pending further information,268425,--,7297,--,798,--,214,--
† Includes people who identify as any race.,,,,,,,,
* Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity.,,,,,,,,
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,11/18/2020,,,,,,,
