Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,12217,50.0%,740,52.4%,932,51.0%,195,52.8%,10270,49.7%,308,53.8%,61,61.6%,1
Female,12185,49.9%,672,47.6%,897,49.0%,174,47.2%,10366,50.2%,265,46.2%,38,38.4%,2
Unknown Sex,17,0.1%,0,0.0%,0,0.0%,0,0.0%,17,0.1%,0,0.0%,0,0.0%,3
<10 Years,1411,5.8%,30,2.1%,121,6.6%,9,2.4%,1247,6.0%,5,0.9%,0,0.0%,4
10-19 Years,2895,11.9%,121,8.6%,211,11.5%,54,14.6%,2489,12.1%,4,0.7%,0,0.0%,5
20-29 Years,5213,21.3%,401,28.4%,474,25.9%,62,16.8%,4237,20.5%,28,4.9%,2,2.0%,6
30-39 Years,4654,19.1%,258,18.3%,328,17.9%,76,20.6%,3959,19.2%,45,7.9%,3,3.0%,7
40-49 Years,3467,14.2%,214,15.2%,231,12.6%,58,15.7%,2941,14.2%,63,11.0%,6,6.1%,8
50-59 Years,3096,12.7%,175,12.4%,239,13.1%,48,13.0%,2626,12.7%,95,16.6%,7,7.1%,9
60-69 Years,2273,9.3%,144,10.2%,131,7.2%,39,10.6%,1944,9.4%,132,23.0%,18,18.2%,10
70-79 Years,988,4.0%,52,3.7%,61,3.3%,22,6.0%,844,4.1%,117,20.4%,28,28.3%,11
80+ Years,422,1.7%,17,1.2%,33,1.8%,1,0.3%,366,1.8%,84,14.7%,35,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1539,6.3%,112,7.9%,174,9.5%,39,10.6%,1204,5.8%,32,5.6%,1,1.0%,14
Non-Hispanic,13846,56.7%,1102,78.0%,1390,76.0%,286,77.5%,10986,53.2%,439,76.6%,85,85.9%,15
UI Ethnicity,8463,34.7%,0,0.0%,0,0.0%,0,0.0%,8463,41.0%,87,15.2%,10,10.1%,16
Unknown Ethnicity,571,2.3%,198,14.0%,265,14.5%,44,11.9%,0,0.0%,15,2.6%,3,3.0%,17
White,8235,33.7%,637,45.1%,781,42.7%,223,60.4%,6558,31.8%,175,30.5%,36,36.4%,18
Black,802,3.3%,91,6.4%,114,6.2%,21,5.7%,569,2.8%,30,5.2%,4,4.0%,19
AI/AN,5544,22.7%,348,24.6%,409,22.4%,43,11.7%,4695,22.7%,166,29.0%,31,31.3%,20
Asian,1040,4.3%,71,5.0%,95,5.2%,18,4.9%,853,4.1%,35,6.1%,8,8.1%,21
NHOPI,894,3.7%,73,5.2%,133,7.3%,4,1.1%,682,3.3%,72,12.6%,9,9.1%,22
Multiple,1491,6.1%,71,5.0%,89,4.9%,13,3.5%,1311,6.3%,36,6.3%,4,4.0%,23
Other,1736,7.1%,34,2.4%,49,2.7%,15,4.1%,1637,7.9%,22,3.8%,2,2.0%,24
UI Race,4348,17.8%,0,0.0%,0,0.0%,0,0.0%,4348,21.1%,30,5.2%,5,5.1%,25
Unknown Race,329,1.3%,87,6.2%,159,8.7%,32,8.7%,0,0.0%,7,1.2%,0,0.0%,26
