Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26375,52.0%,842,52.0%,1046,51.5%,221,53.5%,23906,52.0%,637,55.6%,153,61.0%,1
Female,24349,48.0%,778,48.0%,986,48.5%,192,46.5%,22072,48.0%,509,44.4%,98,39.0%,2
Unknown Sex,8,0.0%,0,0.0%,0,0.0%,0,0.0%,8,0.0%,0,0.0%,0,0.0%,3
<10 Years,3281,6.5%,35,2.2%,141,6.9%,14,3.4%,3067,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6040,11.9%,136,8.4%,247,12.2%,60,14.5%,5526,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10541,20.8%,429,26.5%,498,24.5%,67,16.2%,9406,20.5%,52,4.5%,3,1.2%,6
30-39 Years,9687,19.1%,286,17.7%,356,17.5%,81,19.6%,8837,19.2%,90,7.9%,6,2.4%,7
40-49 Years,7029,13.9%,237,14.6%,251,12.4%,65,15.7%,6393,13.9%,105,9.2%,9,3.6%,8
50-59 Years,6549,12.9%,202,12.5%,258,12.7%,54,13.1%,5955,12.9%,191,16.7%,18,7.2%,9
60-69 Years,4677,9.2%,172,10.6%,143,7.0%,47,11.4%,4222,9.2%,254,22.2%,49,19.5%,10
70-79 Years,2056,4.1%,80,4.9%,86,4.2%,23,5.6%,1826,4.0%,256,22.3%,80,31.9%,11
80+ Years,872,1.7%,43,2.7%,52,2.6%,2,0.5%,754,1.6%,180,15.7%,86,34.3%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2745,5.4%,123,7.6%,181,8.9%,44,10.7%,2371,5.2%,58,5.1%,11,4.4%,14
Non-Hispanic,26579,52.4%,1281,79.1%,1573,77.4%,317,76.8%,23173,50.4%,864,75.4%,232,92.4%,15
UI Ethnicity,20442,40.3%,0,0.0%,0,0.0%,0,0.0%,20442,44.5%,204,17.8%,7,2.8%,16
Unknown Ethnicity,966,1.9%,216,13.3%,278,13.7%,52,12.6%,0,0.0%,20,1.7%,1,0.4%,17
White,15843,31.2%,723,44.6%,863,42.5%,253,61.3%,13829,30.1%,376,32.8%,99,39.4%,18
Black,1290,2.5%,93,5.7%,116,5.7%,21,5.1%,1046,2.3%,45,3.9%,9,3.6%,19
AI/AN,10841,21.4%,439,27.1%,502,24.7%,51,12.3%,9742,21.2%,309,27.0%,95,37.8%,20
Asian,2026,4.0%,79,4.9%,101,5.0%,19,4.6%,1805,3.9%,110,9.6%,27,10.8%,21
NHOPI,1398,2.8%,76,4.7%,139,6.8%,4,1.0%,1174,2.6%,120,10.5%,16,6.4%,22
Multiple,3987,7.9%,74,4.6%,93,4.6%,13,3.1%,3777,8.2%,69,6.0%,2,0.8%,23
Other,6380,12.6%,42,2.6%,55,2.7%,16,3.9%,6143,13.4%,46,4.0%,0,0.0%,24
UI Race,8470,16.7%,0,0.0%,0,0.0%,0,0.0%,8470,18.4%,62,5.4%,2,0.8%,25
Unknown Race,497,1.0%,94,5.8%,163,8.0%,36,8.7%,0,0.0%,9,0.8%,1,0.4%,26
