Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,20832,51.9%,744,52.5%,938,51.1%,196,52.5%,18672,51.9%,476,54.6%,104,59.4%,1
Female,19292,48.0%,673,47.5%,897,48.9%,177,47.5%,17293,48.0%,396,45.4%,71,40.6%,2
Unknown Sex,36,0.1%,0,0.0%,0,0.0%,0,0.0%,36,0.1%,0,0.0%,0,0.0%,3
<10 Years,2461,6.1%,30,2.1%,122,6.6%,9,2.4%,2286,6.3%,8,0.9%,0,0.0%,4
10-19 Years,4718,11.7%,121,8.5%,211,11.5%,55,14.7%,4264,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8253,20.6%,403,28.4%,475,25.9%,62,16.6%,7203,20.0%,44,5.0%,3,1.7%,6
30-39 Years,7698,19.2%,260,18.3%,329,17.9%,77,20.6%,6927,19.2%,78,8.9%,5,2.9%,7
40-49 Years,5702,14.2%,215,15.2%,232,12.6%,58,15.5%,5126,14.2%,81,9.3%,7,4.0%,8
50-59 Years,5196,12.9%,175,12.4%,238,13.0%,50,13.4%,4673,13.0%,142,16.3%,12,6.9%,9
60-69 Years,3733,9.3%,144,10.2%,134,7.3%,39,10.5%,3346,9.3%,195,22.4%,33,18.9%,10
70-79 Years,1681,4.2%,52,3.7%,61,3.3%,22,5.9%,1515,4.2%,188,21.6%,52,29.7%,11
80+ Years,718,1.8%,17,1.2%,33,1.8%,1,0.3%,661,1.8%,129,14.8%,63,36.0%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1990,5.0%,113,8.0%,174,9.5%,40,10.7%,1640,4.6%,41,4.7%,4,2.3%,14
Non-Hispanic,18498,46.1%,1102,77.8%,1393,75.9%,286,76.7%,15580,43.3%,613,70.3%,140,80.0%,15
UI Ethnicity,18781,46.8%,0,0.0%,0,0.0%,0,0.0%,18781,52.2%,203,23.3%,28,16.0%,16
Unknown Ethnicity,891,2.2%,202,14.3%,268,14.6%,47,12.6%,0,0.0%,15,1.7%,3,1.7%,17
White,11567,28.8%,638,45.0%,784,42.7%,225,60.3%,9806,27.2%,268,30.7%,61,34.9%,18
Black,1034,2.6%,91,6.4%,115,6.3%,21,5.6%,797,2.2%,34,3.9%,7,4.0%,19
AI/AN,8081,20.1%,348,24.6%,409,22.3%,43,11.5%,7213,20.0%,234,26.8%,65,37.1%,20
Asian,1511,3.8%,72,5.1%,95,5.2%,18,4.8%,1314,3.6%,71,8.1%,18,10.3%,21
NHOPI,1130,2.8%,73,5.2%,133,7.2%,4,1.1%,917,2.5%,98,11.2%,11,6.3%,22
Multiple,3007,7.5%,71,5.0%,90,4.9%,13,3.5%,2805,7.8%,59,6.8%,6,3.4%,23
Other,4946,12.3%,36,2.5%,49,2.7%,16,4.3%,4729,13.1%,39,4.5%,3,1.7%,24
UI Race,8420,21.0%,0,0.0%,0,0.0%,0,0.0%,8420,23.4%,62,7.1%,4,2.3%,25
Unknown Race,464,1.2%,88,6.2%,160,8.7%,33,8.8%,0,0.0%,7,0.8%,0,0.0%,26
