Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28212,52.0%,900,52.2%,1105,51.4%,234,53.5%,25572,52.0%,661,55.3%,170,60.7%,1
Female,26063,48.0%,823,47.8%,1046,48.6%,203,46.5%,23642,48.0%,535,44.7%,110,39.3%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3624,6.7%,39,2.3%,159,7.4%,14,3.2%,3385,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6590,12.1%,145,8.4%,261,12.1%,64,14.6%,6039,12.3%,9,0.8%,0,0.0%,5
20-29 Years,11193,20.6%,456,26.5%,518,24.1%,76,17.4%,9995,20.3%,49,4.1%,3,1.1%,6
30-39 Years,10291,19.0%,302,17.5%,370,17.2%,83,19.0%,9404,19.1%,92,7.7%,6,2.1%,7
40-49 Years,7478,13.8%,253,14.7%,259,12.0%,68,15.6%,6808,13.8%,112,9.4%,11,3.9%,8
50-59 Years,7005,12.9%,216,12.5%,267,12.4%,59,13.5%,6373,12.9%,195,16.3%,21,7.5%,9
60-69 Years,4990,9.2%,180,10.4%,159,7.4%,49,11.2%,4497,9.1%,265,22.2%,56,20.0%,10
70-79 Years,2183,4.0%,86,5.0%,93,4.3%,22,5.0%,1931,3.9%,266,22.2%,86,30.7%,11
80+ Years,928,1.7%,46,2.7%,65,3.0%,2,0.5%,789,1.6%,197,16.5%,97,34.6%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2822,5.2%,129,7.5%,192,8.9%,46,10.5%,2428,4.9%,62,5.2%,12,4.3%,14
Non-Hispanic,27785,51.2%,1361,79.0%,1656,77.0%,335,76.7%,24156,49.1%,902,75.4%,261,93.2%,15
UI Ethnicity,22637,41.7%,0,0.0%,0,0.0%,0,0.0%,22637,46.0%,213,17.8%,7,2.5%,16
Unknown Ethnicity,1038,1.9%,233,13.5%,303,14.1%,56,12.8%,0,0.0%,19,1.6%,0,0.0%,17
White,16630,30.6%,762,44.2%,897,41.7%,270,61.8%,14500,29.5%,397,33.2%,117,41.8%,18
Black,1349,2.5%,95,5.5%,117,5.4%,21,4.8%,1100,2.2%,46,3.8%,9,3.2%,19
AI/AN,11805,21.7%,486,28.2%,549,25.5%,52,11.9%,10598,21.5%,323,27.0%,103,36.8%,20
Asian,2133,3.9%,82,4.8%,118,5.5%,19,4.3%,1889,3.8%,114,9.5%,29,10.4%,21
NHOPI,1445,2.7%,79,4.6%,146,6.8%,4,0.9%,1208,2.5%,122,10.2%,16,5.7%,22
Multiple,4233,7.8%,79,4.6%,95,4.4%,15,3.4%,4012,8.2%,67,5.6%,4,1.4%,23
Other,6642,12.2%,47,2.7%,58,2.7%,16,3.7%,6390,13.0%,51,4.3%,1,0.4%,24
UI Race,9524,17.5%,0,0.0%,0,0.0%,0,0.0%,9524,19.3%,68,5.7%,1,0.4%,25
Unknown Race,521,1.0%,93,5.4%,171,7.9%,40,9.2%,0,0.0%,8,0.7%,0,0.0%,26
