Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,32040,52.1%,1071,52.0%,1380,50.3%,263,52.0%,28855,52.2%,759,55.1%,184,59.5%,1
Female,29429,47.9%,989,48.0%,1365,49.7%,243,48.0%,26392,47.8%,619,44.9%,125,40.5%,2
Unknown Sex,11,0.0%,0,0.0%,0,0.0%,0,0.0%,11,0.0%,0,0.0%,0,0.0%,3
<10 Years,4315,7.0%,62,3.0%,245,8.9%,18,3.6%,3950,7.1%,15,1.1%,0,0.0%,4
10-19 Years,7835,12.7%,204,9.9%,357,13.0%,66,13.0%,7108,12.9%,14,1.0%,0,0.0%,5
20-29 Years,12533,20.4%,521,25.3%,599,21.8%,85,16.8%,11149,20.2%,56,4.1%,3,1.0%,6
30-39 Years,11654,19.0%,358,17.4%,446,16.2%,90,17.8%,10612,19.2%,116,8.4%,6,1.9%,7
40-49 Years,8442,13.7%,292,14.2%,323,11.8%,78,15.4%,7635,13.8%,136,9.9%,12,3.9%,8
50-59 Years,7888,12.8%,254,12.3%,350,12.8%,67,13.2%,7110,12.9%,231,16.8%,20,6.5%,9
60-69 Years,5458,8.9%,213,10.3%,201,7.3%,65,12.8%,4854,8.8%,308,22.4%,61,19.7%,10
70-79 Years,2368,3.9%,101,4.9%,125,4.6%,33,6.5%,2046,3.7%,289,21.0%,95,30.7%,11
80+ Years,987,1.6%,55,2.7%,99,3.6%,4,0.8%,794,1.4%,213,15.5%,112,36.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3221,5.2%,136,6.6%,219,8.0%,53,10.5%,2781,5.0%,72,5.2%,13,4.2%,14
Non-Hispanic,33034,53.7%,1650,80.1%,2149,78.3%,387,76.5%,28470,51.5%,1043,75.7%,290,93.9%,15
UI Ethnicity,24007,39.0%,0,0.0%,0,0.0%,0,0.0%,24007,43.4%,243,17.6%,4,1.3%,16
Unknown Ethnicity,1218,2.0%,274,13.3%,377,13.7%,66,13.0%,0,0.0%,20,1.5%,2,0.6%,17
White,20278,33.0%,851,41.3%,1081,39.4%,303,59.9%,17805,32.2%,486,35.3%,131,42.4%,18
Black,1508,2.5%,96,4.7%,132,4.8%,21,4.2%,1242,2.2%,50,3.6%,10,3.2%,19
AI/AN,13037,21.2%,695,33.7%,818,29.8%,73,14.4%,11245,20.3%,371,26.9%,113,36.6%,20
Asian,2456,4.0%,93,4.5%,166,6.0%,20,4.0%,2147,3.9%,120,8.7%,30,9.7%,21
NHOPI,1614,2.6%,80,3.9%,160,5.8%,4,0.8%,1361,2.5%,132,9.6%,17,5.5%,22
Multiple,4706,7.7%,87,4.2%,116,4.2%,19,3.8%,4449,8.1%,73,5.3%,5,1.6%,23
Other,7313,11.9%,55,2.7%,75,2.7%,19,3.8%,7023,12.7%,59,4.3%,1,0.3%,24
UI Race,9986,16.2%,0,0.0%,0,0.0%,0,0.0%,9986,18.1%,78,5.7%,1,0.3%,25
Unknown Race,582,0.9%,103,5.0%,197,7.2%,47,9.3%,0,0.0%,9,0.7%,1,0.3%,26
