Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27676,51.9%,891,52.0%,1099,51.5%,231,53.3%,25066,51.9%,655,55.2%,168,60.6%,1
Female,25596,48.0%,822,48.0%,1033,48.5%,202,46.7%,23198,48.1%,532,44.8%,109,39.4%,2
Unknown Sex,7,0.0%,0,0.0%,0,0.0%,0,0.0%,7,0.0%,0,0.0%,0,0.0%,3
<10 Years,3522,6.6%,38,2.2%,157,7.4%,14,3.2%,3287,6.8%,11,0.9%,0,0.0%,4
10-19 Years,6411,12.0%,145,8.5%,261,12.2%,63,14.5%,5865,12.2%,9,0.8%,0,0.0%,5
20-29 Years,11046,20.7%,456,26.6%,515,24.2%,75,17.3%,9854,20.4%,50,4.2%,3,1.1%,6
30-39 Years,10119,19.0%,298,17.4%,367,17.2%,82,18.9%,9241,19.1%,92,7.8%,6,2.2%,7
40-49 Years,7356,13.8%,252,14.7%,256,12.0%,68,15.7%,6691,13.9%,111,9.4%,11,4.0%,8
50-59 Years,6878,12.9%,213,12.4%,265,12.4%,59,13.6%,6253,13.0%,193,16.3%,21,7.6%,9
60-69 Years,4890,9.2%,179,10.4%,154,7.2%,49,11.3%,4410,9.1%,263,22.2%,54,19.5%,10
70-79 Years,2149,4.0%,86,5.0%,93,4.4%,21,4.8%,1899,3.9%,266,22.4%,86,31.0%,11
80+ Years,908,1.7%,46,2.7%,64,3.0%,2,0.5%,771,1.6%,192,16.2%,96,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2804,5.3%,128,7.5%,190,8.9%,46,10.6%,2413,5.0%,62,5.2%,12,4.3%,14
Non-Hispanic,27513,51.6%,1355,79.1%,1642,77.0%,331,76.4%,23919,49.6%,896,75.5%,258,93.1%,15
UI Ethnicity,21939,41.2%,0,0.0%,0,0.0%,0,0.0%,21939,45.4%,210,17.7%,7,2.5%,16
Unknown Ethnicity,1023,1.9%,230,13.4%,300,14.1%,56,12.9%,0,0.0%,19,1.6%,0,0.0%,17
White,16418,30.8%,755,44.1%,893,41.9%,268,61.9%,14306,29.6%,392,33.0%,114,41.2%,18
Black,1335,2.5%,95,5.5%,117,5.5%,21,4.8%,1087,2.3%,46,3.9%,9,3.2%,19
AI/AN,11596,21.8%,484,28.3%,545,25.6%,51,11.8%,10401,21.5%,321,27.0%,103,37.2%,20
Asian,2105,4.0%,81,4.7%,111,5.2%,19,4.4%,1870,3.9%,113,9.5%,29,10.5%,21
NHOPI,1422,2.7%,79,4.6%,145,6.8%,4,0.9%,1187,2.5%,122,10.3%,16,5.8%,22
Multiple,4149,7.8%,79,4.6%,95,4.5%,14,3.2%,3930,8.1%,67,5.6%,4,1.4%,23
Other,6550,12.3%,47,2.7%,56,2.6%,16,3.7%,6300,13.1%,50,4.2%,1,0.4%,24
UI Race,9190,17.2%,0,0.0%,0,0.0%,0,0.0%,9190,19.0%,68,5.7%,1,0.4%,25
Unknown Race,514,1.0%,93,5.4%,170,8.0%,40,9.2%,0,0.0%,8,0.7%,0,0.0%,26
