Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26913,52.0%,869,52.1%,1070,51.3%,224,52.8%,24373,52.0%,648,55.4%,157,60.9%,1
Female,24859,48.0%,800,47.9%,1015,48.7%,200,47.2%,22511,48.0%,522,44.6%,101,39.1%,2
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,5,0.0%,0,0.0%,0,0.0%,3
<10 Years,3383,6.5%,38,2.3%,148,7.1%,14,3.3%,3159,6.7%,10,0.9%,0,0.0%,4
10-19 Years,6180,11.9%,142,8.5%,254,12.2%,62,14.6%,5649,12.0%,9,0.8%,0,0.0%,5
20-29 Years,10754,20.8%,434,26.0%,503,24.1%,69,16.3%,9604,20.5%,52,4.4%,3,1.2%,6
30-39 Years,9863,19.0%,289,17.3%,362,17.4%,81,19.1%,9000,19.2%,92,7.9%,6,2.3%,7
40-49 Years,7146,13.8%,245,14.7%,253,12.1%,68,16.0%,6496,13.9%,107,9.1%,9,3.5%,8
50-59 Years,6691,12.9%,210,12.6%,262,12.6%,59,13.9%,6077,13.0%,192,16.4%,18,7.0%,9
60-69 Years,4772,9.2%,179,10.7%,150,7.2%,48,11.3%,4298,9.2%,258,22.1%,51,19.8%,10
70-79 Years,2099,4.1%,86,5.2%,91,4.4%,21,5.0%,1851,3.9%,262,22.4%,83,32.2%,11
80+ Years,890,1.7%,46,2.8%,62,3.0%,2,0.5%,755,1.6%,188,16.1%,88,34.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2766,5.3%,126,7.5%,185,8.9%,44,10.4%,2384,5.1%,59,5.0%,11,4.3%,14
Non-Hispanic,26972,52.1%,1320,79.1%,1608,77.1%,327,77.1%,23459,50.0%,882,75.4%,241,93.4%,15
UI Ethnicity,21046,40.6%,0,0.0%,0,0.0%,0,0.0%,21046,44.9%,210,17.9%,6,2.3%,16
Unknown Ethnicity,994,1.9%,223,13.4%,292,14.0%,53,12.5%,0,0.0%,19,1.6%,0,0.0%,17
White,16089,31.1%,737,44.2%,877,42.1%,261,61.6%,14026,29.9%,386,33.0%,105,40.7%,18
Black,1304,2.5%,94,5.6%,116,5.6%,21,5.0%,1058,2.3%,46,3.9%,9,3.5%,19
AI/AN,11170,21.6%,466,27.9%,533,25.6%,51,12.0%,10005,21.3%,318,27.2%,98,38.0%,20
Asian,2050,4.0%,80,4.8%,104,5.0%,19,4.5%,1823,3.9%,112,9.6%,27,10.5%,21
NHOPI,1412,2.7%,77,4.6%,139,6.7%,4,0.9%,1187,2.5%,120,10.3%,16,6.2%,22
Multiple,4043,7.8%,77,4.6%,94,4.5%,14,3.3%,3828,8.2%,67,5.7%,2,0.8%,23
Other,6447,12.5%,44,2.6%,56,2.7%,16,3.8%,6203,13.2%,47,4.0%,0,0.0%,24
UI Race,8759,16.9%,0,0.0%,0,0.0%,0,0.0%,8759,18.7%,65,5.6%,1,0.4%,25
Unknown Race,504,1.0%,94,5.6%,166,8.0%,38,9.0%,0,0.0%,9,0.8%,0,0.0%,26
