Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3836,50.5%,496,52.7%,649,51.1%,143,50.2%,2513,49.9%,153,53.5%,37,66.1%,1,1656,48.8%
Female,3761,49.5%,446,47.3%,622,48.9%,142,49.8%,2523,50.1%,133,46.5%,19,33.9%,2,1737,51.2%
Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,383,5.0%,16,1.7%,77,6.1%,8,2.8%,281,5.6%,3,1.0%,0,0.0%,4,168,5.0%
10-19 Years,772,10.2%,75,8.0%,126,9.9%,42,14.7%,516,10.2%,1,0.3%,0,0.0%,5,378,11.1%
20-29 Years,1886,24.8%,262,27.8%,344,27.1%,53,18.6%,1213,24.1%,17,5.9%,0,0.0%,6,836,24.6%
30-39 Years,1440,19.0%,188,20.0%,237,18.6%,56,19.6%,947,18.8%,24,8.4%,2,3.6%,7,656,19.3%
40-49 Years,1029,13.5%,146,15.5%,150,11.8%,43,15.1%,678,13.5%,40,14.0%,4,7.1%,8,449,13.2%
50-59 Years,988,13.0%,113,12.0%,173,13.6%,37,13.0%,664,13.2%,52,18.2%,6,10.7%,9,439,12.9%
60-69 Years,680,9.0%,96,10.2%,92,7.2%,28,9.8%,460,9.1%,56,19.6%,9,16.1%,10,306,9.0%
70-79 Years,297,3.9%,36,3.8%,44,3.5%,17,6.0%,197,3.9%,58,20.3%,21,37.5%,11,122,3.6%
80+ Years,122,1.6%,10,1.1%,28,2.2%,1,0.4%,80,1.6%,35,12.2%,14,25.0%,12,39,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,496,6.5%,78,8.3%,121,9.5%,28,9.8%,264,5.2%,15,5.2%,1,1.8%,14,326,9.6%
Non-Hispanic,3503,46.1%,707,75.1%,892,70.2%,206,72.3%,1668,33.1%,216,75.5%,50,89.3%,15,2287,67.4%
UI Ethnicity,3104,40.9%,0,0.0%,0,0.0%,0,0.0%,3104,61.6%,39,13.6%,1,1.8%,16,493,14.5%
Unknown Ethnicity,494,6.5%,157,16.7%,258,20.3%,51,17.9%,0,0.0%,16,5.6%,4,7.1%,17,287,8.5%
White,2126,28.0%,399,42.4%,520,40.9%,182,63.9%,1011,20.1%,78,27.3%,23,41.1%,18,1424,42.0%
Black,300,3.9%,65,6.9%,88,6.9%,18,6.3%,125,2.5%,8,2.8%,2,3.6%,19,163,4.8%
AI/AN,1526,20.1%,230,24.4%,248,19.5%,18,6.3%,1014,20.1%,91,31.8%,19,33.9%,20,633,18.7%
Asian,248,3.3%,33,3.5%,59,4.6%,9,3.2%,146,2.9%,17,5.9%,4,7.1%,21,149,4.4%
NHOPI,333,4.4%,60,6.4%,94,7.4%,2,0.7%,176,3.5%,48,16.8%,7,12.5%,22,195,5.7%
Multiple,333,4.4%,50,5.3%,51,4.0%,10,3.5%,220,4.4%,10,3.5%,0,0.0%,23,156,4.6%
Other,251,3.3%,22,2.3%,33,2.6%,11,3.9%,184,3.7%,11,3.8%,0,0.0%,24,115,3.4%
UI Race,2160,28.4%,0,0.0%,0,0.0%,0,0.0%,2160,42.9%,14,4.9%,0,0.0%,25,359,10.6%
Unknown Race,320,4.2%,83,8.8%,178,14.0%,35,12.3%,0,0.0%,9,3.1%,1,1.8%,26,199,5.9%
