Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,7982,50.0%,738,52.6%,924,50.9%,192,53.0%,6066,49.4%,236,53.2%,51,60.7%,1,3211,49.7%
Female,7984,50.0%,665,47.4%,892,49.1%,170,47.0%,6206,50.5%,208,46.8%,33,39.3%,2,3252,50.3%
Unknown Sex,6,0.0%,0,0.0%,0,0.0%,0,0.0%,6,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,858,5.4%,30,2.1%,119,6.6%,8,2.2%,698,5.7%,4,0.9%,0,0.0%,4,324,5.0%
10-19 Years,1900,11.9%,120,8.6%,210,11.6%,54,14.9%,1499,12.2%,3,0.7%,0,0.0%,5,689,10.7%
20-29 Years,3483,21.8%,399,28.4%,472,26.0%,62,17.1%,2521,20.5%,23,5.2%,1,1.2%,6,1553,24.0%
30-39 Years,3007,18.8%,256,18.2%,327,18.0%,74,20.4%,2328,19.0%,38,8.6%,2,2.4%,7,1242,19.2%
40-49 Years,2228,13.9%,214,15.3%,227,12.5%,57,15.7%,1713,14.0%,53,11.9%,5,6.0%,8,861,13.3%
50-59 Years,2070,13.0%,173,12.3%,238,13.1%,47,13.0%,1605,13.1%,74,16.7%,7,8.3%,9,851,13.2%
60-69 Years,1504,9.4%,142,10.1%,131,7.2%,39,10.8%,1182,9.6%,99,22.3%,14,16.7%,10,617,9.5%
70-79 Years,643,4.0%,52,3.7%,59,3.2%,20,5.5%,507,4.1%,91,20.5%,27,32.1%,11,238,3.7%
80+ Years,279,1.7%,17,1.2%,33,1.8%,1,0.3%,225,1.8%,59,13.3%,28,33.3%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,923,5.8%,110,7.8%,171,9.4%,38,10.5%,597,4.9%,20,4.5%,1,1.2%,14,597,9.2%
Non-Hispanic,7476,46.8%,1075,76.6%,1355,74.6%,275,76.0%,4715,38.4%,325,73.2%,70,83.3%,15,4928,76.2%
UI Ethnicity,6966,43.6%,0,0.0%,0,0.0%,0,0.0%,6966,56.7%,83,18.7%,10,11.9%,16,569,8.8%
Unknown Ethnicity,607,3.8%,218,15.5%,290,16.0%,49,13.5%,0,0.0%,16,3.6%,3,3.6%,17,369,5.7%
White,4655,29.1%,628,44.8%,767,42.2%,217,59.9%,3016,24.6%,116,26.1%,31,36.9%,18,2795,43.2%
Black,531,3.3%,89,6.3%,114,6.3%,21,5.8%,302,2.5%,21,4.7%,3,3.6%,19,290,4.5%
AI/AN,3630,22.7%,341,24.3%,404,22.2%,41,11.3%,2812,22.9%,138,31.1%,27,32.1%,20,1444,22.3%
Asian,653,4.1%,70,5.0%,94,5.2%,18,5.0%,469,3.8%,29,6.5%,8,9.5%,21,417,6.5%
NHOPI,618,3.9%,73,5.2%,130,7.2%,4,1.1%,409,3.3%,61,13.7%,7,8.3%,22,389,6.0%
Multiple,833,5.2%,71,5.1%,88,4.8%,13,3.6%,657,5.4%,23,5.2%,3,3.6%,23,351,5.4%
Other,728,4.6%,33,2.4%,47,2.6%,14,3.9%,633,5.2%,15,3.4%,1,1.2%,24,196,3.0%
UI Race,3980,24.9%,0,0.0%,0,0.0%,0,0.0%,3980,32.4%,33,7.4%,4,4.8%,25,363,5.6%
Unknown Race,344,2.2%,98,7.0%,172,9.5%,34,9.4%,0,0.0%,8,1.8%,0,0.0%,26,218,3.4%
