Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,24373,52.1%,793,52.2%,993,51.2%,215,53.8%,22054,52.1%,555,54.8%,132,60.8%,1
Female,22417,47.9%,727,47.8%,946,48.8%,185,46.3%,20282,47.9%,457,45.1%,85,39.2%,2
Unknown Sex,22,0.0%,0,0.0%,0,0.0%,0,0.0%,22,0.1%,1,0.1%,0,0.0%,3
<10 Years,2961,6.3%,32,2.1%,133,6.9%,13,3.3%,2761,6.5%,11,1.1%,0,0.0%,4
10-19 Years,5499,11.7%,131,8.6%,227,11.7%,59,14.8%,5013,11.8%,8,0.8%,0,0.0%,5
20-29 Years,9670,20.7%,415,27.3%,484,25.0%,64,16.0%,8582,20.3%,46,4.5%,3,1.4%,6
30-39 Years,8996,19.2%,272,17.9%,338,17.4%,80,20.0%,8195,19.3%,85,8.4%,5,2.3%,7
40-49 Years,6551,14.0%,226,14.9%,246,12.7%,63,15.8%,5942,14.0%,92,9.1%,8,3.7%,8
50-59 Years,6075,13.0%,190,12.5%,252,13.0%,51,12.8%,5515,13.0%,161,15.9%,15,6.9%,9
60-69 Years,4328,9.2%,158,10.4%,140,7.2%,45,11.3%,3907,9.2%,225,22.2%,40,18.4%,10
70-79 Years,1915,4.1%,62,4.1%,76,3.9%,23,5.8%,1721,4.1%,228,22.5%,67,30.9%,11
80+ Years,817,1.7%,34,2.2%,43,2.2%,2,0.5%,722,1.7%,157,15.5%,79,36.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2487,5.3%,119,7.8%,180,9.3%,42,10.5%,2121,5.0%,51,5.0%,9,4.1%,14
Non-Hispanic,23519,50.2%,1191,78.4%,1488,76.7%,306,76.5%,20348,48.0%,762,75.2%,203,93.5%,15
UI Ethnicity,19889,42.5%,0,0.0%,0,0.0%,0,0.0%,19889,47.0%,183,18.1%,3,1.4%,16
Unknown Ethnicity,917,2.0%,210,13.8%,271,14.0%,52,13.0%,0,0.0%,17,1.7%,2,0.9%,17
White,14229,30.4%,682,44.9%,828,42.7%,243,60.8%,12340,29.1%,329,32.5%,81,37.3%,18
Black,1205,2.6%,91,6.0%,116,6.0%,21,5.3%,965,2.3%,38,3.8%,9,4.1%,19
AI/AN,9672,20.7%,394,25.9%,453,23.4%,46,11.5%,8692,20.5%,264,26.1%,80,36.9%,20
Asian,1839,3.9%,75,4.9%,98,5.1%,19,4.8%,1631,3.9%,97,9.6%,20,9.2%,21
NHOPI,1311,2.8%,73,4.8%,137,7.1%,4,1.0%,1093,2.6%,113,11.2%,14,6.5%,22
Multiple,3736,8.0%,75,4.9%,91,4.7%,13,3.3%,3527,8.3%,66,6.5%,7,3.2%,23
Other,5951,12.7%,38,2.5%,53,2.7%,16,4.0%,5719,13.5%,46,4.5%,4,1.8%,24
UI Race,8391,17.9%,0,0.0%,0,0.0%,0,0.0%,8391,19.8%,52,5.1%,1,0.5%,25
Unknown Race,478,1.0%,92,6.1%,163,8.4%,38,9.5%,0,0.0%,8,0.8%,1,0.5%,26
