Last updated: 6/8/2020,Cases,,Hospitalizations,,Deaths,
Sex,N=15142,,N=1807,,N=799,
Female,"8,369",56%,814,46%,428,54%
Male,"6,611",44%,973,54%,371,46%
Pending further information,162,--,20,--,0,--
Age Group,,,,,,
0-9,376,2%,8,<1%,0,0%
10-19,744,5%,13,1%,0,0%
20-29,"2,261",15%,69,4%,<5,--
30-39,"2,393",16%,127,7%,7,1%
40-49,"2,350",16%,207,11%,9,1%
50-59,"2,395",16%,300,17%,35,4%
60-69,"1,700",11%,379,21%,81,10%
70-79,1145,8%,352,19%,207,26%
80-89,1051,7%,247,14%,250,31%
90-99,677,4%,100,6%,196,25%
100+,49,<1%,5,<1%,13,2%
Pending further information,<5,--,0,--,0,--
Race and Ethnicity,,,,,,
Hispanic/Latinx (any race),"5,350",45%,465,33%,69,10%
Black (non-Hispanic or ethnicity unknown),1468,12%,165,12%,40,6%
White (non-Hispanic or ethnicity unknown),"4,209",36%,693,49%,561,83%
Other race (non-Hispanic or ethnicity unknown),431,4%,44,3%,9,1%
Multiple races (non-Hispanic or ethnicity unknown),308,3%,55,4%,0,0%
"Unknown, declined, or pending further information","3,376",--,385,--,120,--
Source: RIDOH,,,,,,
"-- Percentages for counts of less than five are not shown. Percentages do not include cases with unknown or declined demographics or those that are pending further information. COVID-19 cases and COVID-19 involved deaths exclude out of state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,
