Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3186,50.7%,410,51.1%,532,49.6%,137,51.1%,2075,50.9%,136,55.3%,27,61.4%,1,1045,48.2%
Female,3089,49.2%,393,48.9%,540,50.4%,131,48.9%,1999,49.0%,110,44.7%,17,38.6%,2,1123,51.8%
Unknown Sex,3,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,301,4.8%,15,1.9%,66,6.2%,8,3.0%,211,5.2%,1,0.4%,0,0.0%,4,99,4.6%
10-19 Years,642,10.2%,56,7.0%,101,9.4%,38,14.2%,435,10.7%,1,0.4%,0,0.0%,5,237,10.9%
20-29 Years,1549,24.7%,204,25.4%,285,26.6%,51,19.0%,994,24.4%,14,5.7%,0,0.0%,6,561,25.9%
30-39 Years,1190,19.0%,168,20.9%,197,18.4%,52,19.4%,762,18.7%,23,9.3%,2,4.5%,7,429,19.8%
40-49 Years,852,13.6%,131,16.3%,126,11.8%,41,15.3%,543,13.3%,33,13.4%,3,6.8%,8,289,13.3%
50-59 Years,819,13.0%,102,12.7%,144,13.4%,36,13.4%,536,13.1%,45,18.3%,4,9.1%,9,270,12.5%
60-69 Years,570,9.1%,81,10.1%,87,8.1%,26,9.7%,372,9.1%,47,19.1%,5,11.4%,10,183,8.4%
70-79 Years,253,4.0%,36,4.5%,39,3.6%,15,5.6%,162,4.0%,52,21.1%,17,38.6%,11,77,3.6%
80+ Years,102,1.6%,10,1.2%,27,2.5%,1,0.4%,62,1.5%,30,12.2%,13,29.5%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,295,4.7%,57,7.1%,97,9.0%,26,9.7%,112,2.7%,13,5.3%,1,2.3%,14,155,7.1%
Non-Hispanic,2193,34.9%,575,71.6%,708,66.0%,184,68.7%,701,17.2%,182,74.0%,40,90.9%,15,1247,57.5%
UI Ethnicity,3264,52.0%,0,0.0%,0,0.0%,0,0.0%,3264,80.1%,36,14.6%,1,2.3%,16,453,20.9%
Unknown Ethnicity,526,8.4%,171,21.3%,267,24.9%,58,21.6%,0,0.0%,15,6.1%,2,4.5%,17,313,14.4%
White,1388,22.1%,337,42.0%,434,40.5%,171,63.8%,436,10.7%,72,29.3%,18,40.9%,18,823,38.0%
Black,208,3.3%,50,6.2%,56,5.2%,15,5.6%,83,2.0%,8,3.3%,0,0.0%,19,99,4.6%
AI/AN,1067,17.0%,185,23.0%,188,17.5%,14,5.2%,666,16.3%,69,28.0%,16,36.4%,20,310,14.3%
Asian,146,2.3%,28,3.5%,54,5.0%,9,3.4%,54,1.3%,13,5.3%,3,6.8%,21,85,3.9%
NHOPI,235,3.7%,51,6.4%,69,6.4%,2,0.7%,112,2.7%,43,17.5%,5,11.4%,22,108,5.0%
Multiple,209,3.3%,33,4.1%,41,3.8%,10,3.7%,124,3.0%,4,1.6%,0,0.0%,23,71,3.3%
Other,182,2.9%,16,2.0%,29,2.7%,10,3.7%,126,3.1%,7,2.8%,0,0.0%,24,56,2.6%
UI Race,2476,39.4%,0,0.0%,0,0.0%,0,0.0%,2476,60.7%,21,8.5%,1,2.3%,25,389,17.9%
Unknown Race,367,5.8%,103,12.8%,201,18.8%,37,13.8%,0,0.0%,9,3.7%,1,2.3%,26,227,10.5%
