Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,All Ages,276061,2777572,267901,126586,6897,423212,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,Under 1 year,30,15507,149,5,16,190,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,0-17 years,135,27490,425,22,124,662,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,1-4 years,18,2880,92,2,42,150,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,5-14 years,47,4636,125,7,53,218,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,15-24 years,458,29860,603,162,55,950,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,18-29 years,1114,52734,1390,457,103,2140,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,25-34 years,1969,61151,2180,879,155,3409,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,30-49 years,11659,183463,10970,5310,579,17814,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,35-44 years,5101,86536,4895,2275,253,7943,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,45-54 years,13580,157591,12826,6492,595,20399,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,50-64 years,41673,456162,42660,20678,1632,64995,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,55-64 years,33378,361688,34575,16645,1269,52352,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,65-74 years,59056,551869,60107,29461,1508,90948,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,75-84 years,75165,673051,74311,35765,1523,115012,
12/16/2020,02/01/2020,12/12/2020,United States,All Sexes,85 years and over,87259,832803,78038,34893,1428,131641,
12/16/2020,02/01/2020,12/12/2020,United States,Male,All Ages,149562,1451205,148124,72104,3568,228500,
12/16/2020,02/01/2020,12/12/2020,United States,Male,Under 1 year,20,8565,91,3,7,115,
12/16/2020,02/01/2020,12/12/2020,United States,Male,0-17 years,78,16195,235,11,64,366,
12/16/2020,02/01/2020,12/12/2020,United States,Male,1-4 years,10,1683,45,1,25,79,
12/16/2020,02/01/2020,12/12/2020,United States,Male,5-14 years,29,2791,65,6,24,112,
12/16/2020,02/01/2020,12/12/2020,United States,Male,15-24 years,275,22074,366,95,27,570,
12/16/2020,02/01/2020,12/12/2020,United States,Male,18-29 years,700,38635,839,267,54,1319,
12/16/2020,02/01/2020,12/12/2020,United States,Male,25-34 years,1267,43250,1334,550,79,2120,
12/16/2020,02/01/2020,12/12/2020,United States,Male,30-49 years,7847,120328,6840,3574,313,11367,
12/16/2020,02/01/2020,12/12/2020,United States,Male,35-44 years,3422,56922,3068,1531,134,5070,
