Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,21324,52.0%,744,52.5%,939,51.1%,197,52.7%,19161,52.0%,493,54.6%,109,60.6%,1
Female,19677,47.9%,673,47.5%,897,48.9%,177,47.3%,17678,47.9%,409,45.3%,71,39.4%,2
Unknown Sex,40,0.1%,0,0.0%,0,0.0%,0,0.0%,40,0.1%,1,0.1%,0,0.0%,3
<10 Years,2521,6.1%,30,2.1%,122,6.6%,9,2.4%,2346,6.4%,8,0.9%,0,0.0%,4
10-19 Years,4798,11.7%,121,8.5%,211,11.5%,55,14.7%,4344,11.8%,7,0.8%,0,0.0%,5
20-29 Years,8433,20.5%,403,28.4%,476,25.9%,62,16.6%,7382,20.0%,44,4.9%,3,1.7%,6
30-39 Years,7894,19.2%,260,18.3%,329,17.9%,78,20.9%,7122,19.3%,80,8.9%,5,2.8%,7
40-49 Years,5810,14.2%,215,15.2%,232,12.6%,58,15.5%,5234,14.2%,82,9.1%,7,3.9%,8
50-59 Years,5318,13.0%,175,12.4%,238,13.0%,50,13.4%,4794,13.0%,150,16.6%,12,6.7%,9
60-69 Years,3820,9.3%,144,10.2%,134,7.3%,39,10.4%,3433,9.3%,200,22.1%,35,19.4%,10
70-79 Years,1718,4.2%,52,3.7%,61,3.3%,22,5.9%,1552,4.2%,193,21.4%,53,29.4%,11
80+ Years,729,1.8%,17,1.2%,33,1.8%,1,0.3%,672,1.8%,139,15.4%,65,36.1%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2337,5.7%,113,8.0%,174,9.5%,40,10.7%,1987,5.4%,44,4.9%,4,2.2%,14
Non-Hispanic,21810,53.1%,1102,77.8%,1396,76.0%,286,76.5%,18875,51.2%,669,74.1%,145,80.6%,15
UI Ethnicity,16017,39.0%,0,0.0%,0,0.0%,0,0.0%,16017,43.4%,175,19.4%,28,15.6%,16
Unknown Ethnicity,877,2.1%,202,14.3%,266,14.5%,48,12.8%,0,0.0%,15,1.7%,3,1.7%,17
White,13004,31.7%,638,45.0%,785,42.8%,225,60.2%,11237,30.5%,289,32.0%,62,34.4%,18
Black,1115,2.7%,91,6.4%,115,6.3%,21,5.6%,878,2.4%,36,4.0%,7,3.9%,19
AI/AN,8375,20.4%,348,24.6%,409,22.3%,43,11.5%,7506,20.4%,241,26.7%,67,37.2%,20
Asian,1687,4.1%,72,5.1%,95,5.2%,18,4.8%,1489,4.0%,77,8.5%,19,10.6%,21
NHOPI,1205,2.9%,73,5.2%,133,7.2%,4,1.1%,992,2.7%,102,11.3%,11,6.1%,22
Multiple,3267,8.0%,71,5.0%,90,4.9%,13,3.5%,3065,8.3%,63,7.0%,7,3.9%,23
Other,5256,12.8%,36,2.5%,49,2.7%,16,4.3%,5038,13.7%,40,4.4%,3,1.7%,24
UI Race,6674,16.3%,0,0.0%,0,0.0%,0,0.0%,6674,18.1%,48,5.3%,4,2.2%,25
Unknown Race,458,1.1%,88,6.2%,160,8.7%,34,9.1%,0,0.0%,7,0.8%,0,0.0%,26
