,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=542,370",,"N=71,054",,"N=5,552",,"N=1,535",
0-4,14629,3%,1391,2%,41,1%,<5,--
5-9,18599,3%,1696,2%,13,<1%,0,0%
10-14,18969,4%,2265,3%,20,<1%,<5,--
15-18,26562,5%,3139,4%,36,1%,0,0%
19-24,63586,12%,7971,11%,141,3%,<5,--
25-29,47867,9%,6494,9%,169,3%,<5,--
30-39,83816,15%,11399,16%,357,6%,9,1%
40-49,67140,12%,9974,14%,533,10%,22,1%
50-59,79182,15%,10836,15%,823,15%,60,4%
60-69,64263,12%,7497,10%,1095,20%,179,12%
70-79,33899,6%,4024,6%,1101,20%,340,22%
80-89,15826,3%,2706,4%,854,15%,501,33%
90+,7060,1%,1657,2%,368,7%,417,27%
Pending further information,972,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,40497,18%,20859,37%,1326,32%,140,11%
American Indian or Alaska Native*,4430,2%,160,<1%,10,<1%,<5,--
Asian*,5356,2%,1147,2%,85,2%,17,1%
Black or African American*,14004,6%,5041,9%,447,11%,80,6%
Native Hawaiian or Other Pacific Islander*,458,<1%,0,0%,0,0%,0,0%
White*,142838,64%,28275,50%,2200,53%,1070,82%
Other race*,15755,7%,1014,2%,85,2%,0,0%
Multiple race*,171,<1%,555,1%,18,<1%,0,0%
Declined,4419,--,967,--,30,--,0,--
Unknown or pending further information,314442,--,13036,--,1351,--,227,--
Sex Assigned at Birth,,,,,,,,
Female,277515,55%,37593,54%,2701,49%,791,52%
Male,230269,45%,32483,46%,2823,51%,743,48%
Other,93,<1%,59,<1%,<5,--,<5,--
Pending further information,34493,--,919,--,24,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,1301,4%,39,3%,--,--
No,--,--,29903,96%,1487,97%,--,--
Unknown or pending,--,--,39850,--,4026,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,19604,54%,2729,49%,--,--
Cisgender man,--,--,16208,45%,2818,51%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,208,1%,0,0%,--,--
Other,--,--,113,<1%,<5,--,--,--
Declined,--,--,7646,--,0,--,--,--
Unknown or pending,--,--,27275,--,<5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,13,<1%,<5,--,--,--
Bisexual,--,--,278,1%,<5,--,--,--
Lesbian or gay,--,--,494,2%,15,1%,--,--
Queer,--,--,41,<1%,<5,--,--,--
Straight,--,--,30849,97%,1543,99%,--,--
Other,--,--,257,1%,8,1%,--,--
Declined,--,--,10242,--,557,--,--,--
Unknown or pending,--,--,28880,--,3424,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,12/16/2020,,,,,,,
