ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,376,50.6%,91,48.9%,151,47.8%,67,58.3%,67,53.2%,36,59.0%,6,50.0%
2,Female,367,49.4%,95,51.1%,165,52.2%,48,41.7%,59,46.8%,25,41.0%,6,50.0%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,23,3.1%,2,1.1%,13,4.1%,2,1.7%,6,4.8%,0,0.0%,0,0.0%
5,10-19 Years,56,7.5%,16,8.6%,25,7.9%,3,2.6%,12,9.5%,1,1.6%,0,0.0%
6,20-29 Years,136,18.3%,28,15.1%,67,21.2%,15,13.0%,26,20.6%,3,4.9%,0,0.0%
7,30-39 Years,143,19.2%,39,21.0%,54,17.1%,22,19.1%,28,22.2%,6,9.8%,2,16.7%
8,40-49 Years,116,15.6%,30,16.1%,39,12.3%,21,18.3%,26,20.6%,3,4.9%,0,0.0%
9,50-59 Years,124,16.7%,31,16.7%,64,20.3%,19,16.5%,10,7.9%,10,16.4%,1,8.3%
10,60-69 Years,83,11.2%,21,11.3%,32,10.1%,20,17.4%,10,7.9%,11,18.0%,1,8.3%
11,70-79 Years,45,6.1%,14,7.5%,14,4.4%,12,10.4%,5,4.0%,20,32.8%,6,50.0%
12,80+ Years,17,2.3%,5,2.7%,8,2.5%,1,0.9%,3,2.4%,7,11.5%,2,16.7%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,51,6.9%,11,5.9%,28,8.9%,10,8.7%,2,1.6%,5,8.2%,0,0.0%
15,Non-Hispanic,575,77.4%,163,87.6%,273,86.4%,98,85.2%,41,32.5%,54,88.5%,12,100.0%
16,Unknown Ethnicity,117,15.7%,12,6.5%,15,4.7%,7,6.1%,83,65.9%,2,3.3%,0,0.0%
17,White,424,57.1%,116,62.4%,192,60.8%,93,80.9%,23,18.3%,37,60.7%,7,58.3%
18,Black,19,2.6%,7,3.8%,6,1.9%,5,4.3%,1,0.8%,0,0.0%,0,0.0%
19,AI/AN,83,11.2%,29,15.6%,34,10.8%,1,0.9%,19,15.1%,7,11.5%,2,16.7%
20,Asian,58,7.8%,12,6.5%,40,12.7%,4,3.5%,2,1.6%,8,13.1%,2,16.7%
21,NHOPI,18,2.4%,4,2.2%,12,3.8%,1,0.9%,1,0.8%,5,8.2%,1,8.3%
22,Multiple,25,3.4%,10,5.4%,11,3.5%,3,2.6%,1,0.8%,0,0.0%,0,0.0%
23,Other,16,2.2%,2,1.1%,9,2.8%,4,3.5%,1,0.8%,4,6.6%,0,0.0%
24,Unknown Race,100,13.5%,6,3.2%,12,3.8%,4,3.5%,78,61.9%,0,0.0%,0,0.0%
25,Grand Total,743,100.0%,186,100.0%,316,100.0%,115,100.0%,126,100.0%,61,100.0%,12,100.0%
