Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27096,52.0%,870,52.0%,1073,51.3%,224,52.7%,24546,52.0%,650,55.2%,158,60.8%,1
Female,25053,48.0%,803,48.0%,1017,48.7%,201,47.3%,22695,48.0%,527,44.8%,102,39.2%,2
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3
<10 Years,3420,6.6%,38,2.3%,149,7.1%,14,3.3%,3194,6.8%,10,0.8%,0,0.0%,4
10-19 Years,6235,12.0%,143,8.5%,256,12.2%,62,14.6%,5700,12.1%,9,0.8%,0,0.0%,5
20-29 Years,10829,20.8%,435,26.0%,505,24.2%,70,16.5%,9673,20.5%,52,4.4%,3,1.2%,6
30-39 Years,9921,19.0%,289,17.3%,362,17.3%,81,19.1%,9058,19.2%,92,7.8%,6,2.3%,7
40-49 Years,7194,13.8%,247,14.8%,253,12.1%,68,16.0%,6540,13.8%,107,9.1%,10,3.8%,8
50-59 Years,6743,12.9%,210,12.6%,262,12.5%,59,13.9%,6127,13.0%,193,16.4%,18,6.9%,9
60-69 Years,4805,9.2%,179,10.7%,150,7.2%,48,11.3%,4330,9.2%,261,22.2%,52,20.0%,10
70-79 Years,2108,4.0%,86,5.1%,91,4.4%,21,4.9%,1860,3.9%,263,22.3%,83,31.9%,11
80+ Years,895,1.7%,46,2.7%,62,3.0%,2,0.5%,760,1.6%,190,16.1%,88,33.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2782,5.3%,126,7.5%,185,8.9%,44,10.4%,2400,5.1%,61,5.2%,11,4.2%,14
Non-Hispanic,27126,52.0%,1322,79.0%,1612,77.1%,327,76.9%,23603,50.0%,888,75.4%,242,93.1%,15
UI Ethnicity,21239,40.7%,0,0.0%,0,0.0%,0,0.0%,21239,45.0%,209,17.8%,7,2.7%,16
Unknown Ethnicity,1003,1.9%,225,13.4%,293,14.0%,54,12.7%,0,0.0%,19,1.6%,0,0.0%,17
White,16169,31.0%,739,44.2%,877,42.0%,261,61.4%,14100,29.8%,390,33.1%,105,40.4%,18
Black,1311,2.5%,94,5.6%,116,5.6%,21,4.9%,1065,2.3%,46,3.9%,9,3.5%,19
AI/AN,11284,21.6%,468,28.0%,537,25.7%,51,12.0%,10112,21.4%,319,27.1%,100,38.5%,20
Asian,2064,4.0%,80,4.8%,104,5.0%,19,4.5%,1837,3.9%,111,9.4%,27,10.4%,21
NHOPI,1414,2.7%,77,4.6%,139,6.7%,4,0.9%,1188,2.5%,120,10.2%,16,6.2%,22
Multiple,4069,7.8%,77,4.6%,94,4.5%,14,3.3%,3854,8.2%,67,5.7%,2,0.8%,23
Other,6474,12.4%,44,2.6%,56,2.7%,16,3.8%,6230,13.2%,49,4.2%,0,0.0%,24
UI Race,8856,17.0%,0,0.0%,0,0.0%,0,0.0%,8856,18.7%,66,5.6%,1,0.4%,25
Unknown Race,509,1.0%,94,5.6%,167,8.0%,39,9.2%,0,0.0%,9,0.8%,0,0.0%,26
