,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Sex,N=175386,,N=17292,,N=2116,,N=994,
Female,97505,56%,"9,562",55%,973,46%,526,53%
Male,76085,44%,"7,717",45%,1135,54%,468,47%
Other,6,<1%,<5,--,0,0%,0,0%
Pending further information,1790,--,11,--,8,--,0,--
Age Group,,,,,,,,
0-9,4753,3%,474,3%,17,1%,0,0%
10-19,8692,5%,944,5%,26,1%,<5,--
20-29,29342,17%,2762,16%,102,5%,<5,--
30-39,28961,17%,2757,16%,150,7%,6,1%
40-49,24619,14%,2610,15%,243,11%,14,1%
50-59,29171,17%,2656,15%,340,16%,45,5%
60-69,23714,14%,1898,11%,427,20%,100,10%
70-79,13517,8%,1252,7%,404,19%,242,24%
80-89,8131,5%,1149,7%,280,13%,317,32%
90-99,4142,2%,736,4%,115,5%,246,25%
100+,241,<1%,54,<1%,6,<1%,22,2%
Pending further information,103,--,0,--,6,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic/Latinx (any race),16153,27%,6171,45%,577,34%,85,10%
Black (non-Hispanic or ethnicity unknown),5633,9%,1671,12%,200,12%,51,6%
White (non-Hispanic or ethnicity unknown),34868,58%,4939,36%,810,47%,662,82%
Other race (non-Hispanic or ethnicity unknown),3763,6%,493,4%,50,3%,13,2%
Multiple races (non-Hispanic or ethnicity unknown),,,,,,,,
"Unknown, declined, or pending further information",114907,--,3590,--,406,--,183,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,7/22/2020,,,,,,,
