Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,5726,50.3%,669,52.7%,843,50.8%,178,52.4%,3980,49.6%,193,52.7%,42,62.7%,1,2968,49.1%
Female,5666,49.7%,601,47.3%,817,49.2%,162,47.6%,4040,50.4%,173,47.3%,25,37.3%,2,3074,50.9%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,598,5.2%,26,2.0%,105,6.3%,8,2.4%,456,5.7%,3,0.8%,0,0.0%,4,307,5.1%
10-19 Years,1219,10.7%,109,8.6%,174,10.5%,49,14.4%,872,10.9%,3,0.8%,0,0.0%,5,633,10.5%
20-29 Years,2685,23.6%,362,28.5%,450,27.1%,60,17.6%,1787,22.3%,20,5.5%,1,1.5%,6,1467,24.3%
30-39 Years,2180,19.1%,237,18.7%,302,18.2%,68,20.0%,1552,19.3%,32,8.7%,2,3.0%,7,1175,19.4%
40-49 Years,1548,13.6%,195,15.4%,208,12.5%,54,15.9%,1075,13.4%,50,13.7%,4,6.0%,8,798,13.2%
50-59 Years,1478,13.0%,152,12.0%,216,13.0%,47,13.8%,1058,13.2%,66,18.0%,7,10.4%,9,776,12.8%
60-69 Years,1051,9.2%,128,10.1%,118,7.1%,34,10.0%,762,9.5%,72,19.7%,12,17.9%,10,579,9.6%
70-79 Years,439,3.9%,48,3.8%,57,3.4%,19,5.6%,311,3.9%,74,20.2%,23,34.3%,11,222,3.7%
80+ Years,195,1.7%,13,1.0%,30,1.8%,1,0.3%,148,1.8%,46,12.6%,18,26.9%,12,85,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,802,7.0%,103,8.1%,165,9.9%,37,10.9%,490,6.1%,19,5.2%,1,1.5%,14,583,9.6%
Non-Hispanic,6449,56.6%,961,75.7%,1225,73.8%,258,75.9%,3956,49.3%,281,76.8%,61,91.0%,15,4579,75.8%
UI Ethnicity,3575,31.4%,0,0.0%,0,0.0%,0,0.0%,3575,44.6%,51,13.9%,2,3.0%,16,543,9.0%
Unknown Ethnicity,567,5.0%,206,16.2%,270,16.3%,45,13.2%,0,0.0%,15,4.1%,3,4.5%,17,337,5.6%
White,3772,33.1%,551,43.4%,701,42.2%,208,61.2%,2287,28.5%,92,25.1%,25,37.3%,18,2641,43.7%
Black,457,4.0%,87,6.9%,110,6.6%,19,5.6%,236,2.9%,16,4.4%,3,4.5%,19,280,4.6%
AI/AN,2615,23.0%,310,24.4%,365,22.0%,35,10.3%,1878,23.4%,118,32.2%,24,35.8%,20,1322,21.9%
Asian,538,4.7%,65,5.1%,87,5.2%,18,5.3%,366,4.6%,26,7.1%,7,10.4%,21,388,6.4%
NHOPI,526,4.6%,69,5.4%,119,7.2%,4,1.2%,332,4.1%,55,15.0%,7,10.4%,22,363,6.0%
Multiple,535,4.7%,62,4.9%,71,4.3%,11,3.2%,387,4.8%,15,4.1%,0,0.0%,23,308,5.1%
Other,403,3.5%,32,2.5%,43,2.6%,13,3.8%,314,3.9%,13,3.6%,0,0.0%,24,187,3.1%
UI Race,2221,19.5%,0,0.0%,0,0.0%,0,0.0%,2221,27.7%,23,6.3%,1,1.5%,25,346,5.7%
Unknown Race,326,2.9%,94,7.4%,164,9.9%,32,9.4%,0,0.0%,8,2.2%,0,0.0%,26,207,3.4%
