Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22791,52.2%,754,52.3%,955,51.2%,199,52.8%,20583,52.3%,523,54.3%,121,61.1%,1
Female,20817,47.7%,687,47.7%,909,48.8%,178,47.2%,18783,47.7%,440,45.6%,77,38.9%,2
Unknown Sex,21,0.0%,0,0.0%,0,0.0%,0,0.0%,21,0.1%,1,0.1%,0,0.0%,3
<10 Years,2697,6.2%,30,2.1%,122,6.5%,9,2.4%,2522,6.4%,9,0.9%,0,0.0%,4
10-19 Years,5079,11.6%,122,8.5%,211,11.3%,56,14.9%,4623,11.7%,7,0.7%,0,0.0%,5
20-29 Years,8956,20.5%,404,28.0%,476,25.5%,62,16.4%,7899,20.1%,46,4.8%,3,1.5%,6
30-39 Years,8436,19.3%,260,18.0%,331,17.8%,78,20.7%,7659,19.4%,84,8.7%,5,2.5%,7
40-49 Years,6151,14.1%,216,15.0%,235,12.6%,58,15.4%,5570,14.1%,89,9.2%,8,4.0%,8
50-59 Years,5656,13.0%,177,12.3%,239,12.8%,50,13.3%,5128,13.0%,153,15.9%,13,6.6%,9
60-69 Years,4081,9.4%,150,10.4%,137,7.3%,40,10.6%,3679,9.3%,218,22.6%,39,19.7%,10
70-79 Years,1813,4.2%,56,3.9%,72,3.9%,22,5.8%,1630,4.1%,208,21.6%,60,30.3%,11
80+ Years,760,1.7%,26,1.8%,41,2.2%,2,0.5%,677,1.7%,150,15.6%,70,35.4%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2406,5.5%,114,7.9%,175,9.4%,41,10.9%,2052,5.2%,47,4.9%,6,3.0%,14
Non-Hispanic,22712,52.1%,1123,77.9%,1419,76.1%,288,76.4%,19720,50.1%,714,74.1%,163,82.3%,15
UI Ethnicity,17615,40.4%,0,0.0%,0,0.0%,0,0.0%,17615,44.7%,182,18.9%,17,8.6%,16
Unknown Ethnicity,896,2.1%,204,14.2%,270,14.5%,48,12.7%,0,0.0%,21,2.2%,12,6.1%,17
White,13679,31.4%,653,45.3%,795,42.7%,226,59.9%,11880,30.2%,309,32.1%,73,36.9%,18
Black,1159,2.7%,91,6.3%,116,6.2%,21,5.6%,919,2.3%,38,3.9%,8,4.0%,19
AI/AN,8796,20.2%,354,24.6%,421,22.6%,44,11.7%,7904,20.1%,253,26.2%,74,37.4%,20
Asian,1775,4.1%,74,5.1%,97,5.2%,18,4.8%,1570,4.0%,88,9.1%,19,9.6%,21
NHOPI,1269,2.9%,73,5.1%,134,7.2%,4,1.1%,1054,2.7%,108,11.2%,11,5.6%,22
Multiple,3491,8.0%,72,5.0%,91,4.9%,13,3.4%,3285,8.3%,64,6.6%,5,2.5%,23
Other,5621,12.9%,36,2.5%,50,2.7%,16,4.2%,5396,13.7%,44,4.6%,3,1.5%,24
UI Race,7379,16.9%,0,0.0%,0,0.0%,0,0.0%,7379,18.7%,52,5.4%,4,2.0%,25
Unknown Race,460,1.1%,88,6.1%,160,8.6%,35,9.3%,0,0.0%,8,0.8%,1,0.5%,26
