Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,22628,52.2%,754,52.5%,954,51.3%,198,52.8%,20424,52.2%,514,54.5%,119,60.7%,1
Female,20714,47.8%,683,47.5%,905,48.7%,177,47.2%,18690,47.8%,428,45.4%,77,39.3%,2
Unknown Sex,19,0.0%,0,0.0%,0,0.0%,0,0.0%,19,0.0%,1,0.1%,0,0.0%,3
<10 Years,2681,6.2%,30,2.1%,122,6.6%,9,2.4%,2506,6.4%,9,1.0%,0,0.0%,4
10-19 Years,5049,11.6%,121,8.4%,211,11.4%,56,14.9%,4594,11.7%,7,0.7%,0,0.0%,5
20-29 Years,8902,20.5%,404,28.1%,476,25.6%,62,16.5%,7847,20.1%,44,4.7%,3,1.5%,6
30-39 Years,8381,19.3%,260,18.1%,331,17.8%,78,20.8%,7604,19.4%,82,8.7%,5,2.6%,7
40-49 Years,6111,14.1%,215,15.0%,234,12.6%,58,15.5%,5532,14.1%,88,9.3%,8,4.1%,8
50-59 Years,5621,13.0%,176,12.2%,238,12.8%,50,13.3%,5094,13.0%,152,16.1%,13,6.6%,9
60-69 Years,4055,9.4%,148,10.3%,136,7.3%,39,10.4%,3658,9.3%,211,22.4%,39,19.9%,10
70-79 Years,1803,4.2%,56,3.9%,71,3.8%,22,5.9%,1622,4.1%,202,21.4%,59,30.1%,11
80+ Years,758,1.7%,27,1.9%,40,2.2%,1,0.3%,676,1.7%,148,15.7%,69,35.2%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2402,5.5%,113,7.9%,175,9.4%,40,10.7%,2050,5.2%,45,4.8%,5,2.6%,14
Non-Hispanic,22622,52.2%,1120,77.9%,1415,76.1%,287,76.5%,19640,50.2%,698,74.0%,161,82.1%,15
UI Ethnicity,17443,40.2%,0,0.0%,0,0.0%,0,0.0%,17443,44.6%,180,19.1%,19,9.7%,16
Unknown Ethnicity,894,2.1%,204,14.2%,269,14.5%,48,12.8%,0,0.0%,20,2.1%,11,5.6%,17
White,13594,31.4%,647,45.0%,793,42.7%,225,60.0%,11805,30.2%,303,32.1%,72,36.7%,18
Black,1151,2.7%,91,6.3%,116,6.2%,21,5.6%,911,2.3%,38,4.0%,8,4.1%,19
AI/AN,8746,20.2%,355,24.7%,419,22.5%,43,11.5%,7856,20.1%,250,26.5%,74,37.8%,20
Asian,1763,4.1%,74,5.1%,97,5.2%,18,4.8%,1559,4.0%,81,8.6%,19,9.7%,21
NHOPI,1260,2.9%,73,5.1%,134,7.2%,4,1.1%,1046,2.7%,106,11.2%,11,5.6%,22
Multiple,3514,8.1%,73,5.1%,90,4.8%,13,3.5%,3308,8.5%,64,6.8%,5,2.6%,23
Other,5595,12.9%,36,2.5%,50,2.7%,16,4.3%,5370,13.7%,42,4.5%,3,1.5%,24
UI Race,7278,16.8%,0,0.0%,0,0.0%,0,0.0%,7278,18.6%,51,5.4%,3,1.5%,25
Unknown Race,460,1.1%,88,6.1%,160,8.6%,35,9.3%,0,0.0%,8,0.8%,1,0.5%,26
