,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=563,346",,"N=77,097",,"N=6,605",,"N=1,653",
0-4,15572,3%,1552,2%,44,1%,<5,--
5-9,19713,4%,1872,2%,15,<1%,0,0%
10-14,20150,4%,2504,3%,25,<1%,<5,--
15-18,27526,5%,3428,4%,39,1%,0,0%
19-24,65387,12%,8523,11%,150,2%,<5,--
25-29,49533,9%,7014,9%,180,3%,<5,--
30-39,86838,15%,12319,16%,380,6%,9,1%
40-49,69766,12%,10761,14%,563,9%,25,2%
50-59,82195,15%,11771,15%,879,15%,71,4%
60-69,66957,12%,8220,11%,1177,20%,189,11%
70-79,35415,6%,4391,6%,1209,20%,364,22%
80-89,16376,3%,2936,4%,934,16%,539,33%
90+,7253,1%,1799,2%,409,7%,449,27%
Pending further information,665,--,7,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,42026,18%,22246,36%,1404,31%,147,10%
American Indian or Alaska Native*,4474,2%,172,<1%,11,<1%,<5,--
Asian*,5672,2%,1265,2%,91,2%,18,1%
Black or African American*,14413,6%,5343,9%,466,10%,86,6%
Native Hawaiian or Other Pacific Islander*,464,<1%,0,0%,0,0%,0,0%
White*,151038,64%,31617,51%,2415,54%,1167,82%
Other race*,16105,7%,1114,2%,88,2%,0,0%
Multiple race*,196,<1%,606,1%,20,<1%,0,0%
Declined,4640,--,1109,--,41,--,0,--
Unknown or pending further information,324318,--,13625,--,1469,--,234,--
Sex Assigned at Birth,,,,,,,,
Female,287480,55%,40493,54%,2903,49%,847,51%
Male,239141,45%,35058,46%,3029,51%,805,49%
Other,101,<1%,73,<1%,11,<1%,<5,--
Pending further information,36624,--,1473,--,62,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,1487,4%,48,3%,--,--
No,--,--,33710,96%,1687,97%,--,--
Unknown or pending,--,--,41900,--,4270,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,22014,54%,2949,49%,--,--
Cisgender man,--,--,18382,45%,3050,51%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,243,1%,0,0%,--,--
Other,--,--,126,<1%,<5,--,--,--
Declined,--,--,8988,--,0,--,--,--
Unknown or pending,--,--,27344,--,<5,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,15,<1%,<5,--,--,--
Bisexual,--,--,313,1%,<5,--,--,--
Lesbian or gay,--,--,552,2%,18,1%,--,--
Queer,--,--,52,<1%,<5,--,--,--
Straight,--,--,34765,97%,1747,98%,--,--
Other,--,--,304,1%,10,1%,--,--
Declined,--,--,12058,--,700,--,--,--
Unknown or pending,--,--,29038,--,3524,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,12/23/2020,,,,,,,
