Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,All Ages,188470,2022937,192312,84930,6699,301553,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,Under 1 year,20,11313,105,3,16,138,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,0-17 years,94,20056,317,17,123,517,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,1-4 years,15,2158,73,2,42,128,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,5-14 years,31,3356,102,8,52,177,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,15-24 years,353,21615,438,128,53,712,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,18-29 years,840,38363,1035,351,100,1614,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,25-34 years,1457,44521,1610,651,151,2553,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,30-49 years,8668,133601,8080,3906,568,13331,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,35-44 years,3809,62852,3643,1693,250,5979,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,45-54 years,10057,115528,9425,4698,577,15256,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,50-64 years,30131,333896,31169,14570,1590,48037,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,55-64 years,23991,264573,25205,11661,1240,38556,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,65-74 years,40613,401024,42712,19609,1453,64930,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,75-84 years,49871,489060,52492,23175,1478,80458,
09/23/2020,02/01/2020,09/19/2020,United States,All Sexes,85 years and over,58253,606937,56507,23302,1387,92666,
09/23/2020,02/01/2020,09/19/2020,United States,Male,All Ages,101819,1055478,105296,47857,3452,162096,
09/23/2020,02/01/2020,09/19/2020,United States,Male,Under 1 year,13,6246,65,2,8,84,
09/23/2020,02/01/2020,09/19/2020,United States,Male,0-17 years,56,11770,177,11,64,286,
09/23/2020,02/01/2020,09/19/2020,United States,Male,1-4 years,7,1256,36,1,25,67,
09/23/2020,02/01/2020,09/19/2020,United States,Male,5-14 years,22,1984,53,7,23,91,
09/23/2020,02/01/2020,09/19/2020,United States,Male,15-24 years,218,16029,273,80,27,435,
09/23/2020,02/01/2020,09/19/2020,United States,Male,18-29 years,545,28161,640,216,53,1015,
09/23/2020,02/01/2020,09/19/2020,United States,Male,25-34 years,969,31445,998,422,76,1612,
09/23/2020,02/01/2020,09/19/2020,United States,Male,30-49 years,5946,87679,5116,2689,305,8622,
09/23/2020,02/01/2020,09/19/2020,United States,Male,35-44 years,2601,41436,2312,1158,133,3865,
09/23/2020,02/01/2020,09/19/2020,United States,Male,45-54 years,6861,72586,5904,3217,342,9818,
09/23/2020,02/01/2020,09/19/2020,United States,Male,50-64 years,19714,206393,19065,9478,917,30025,
09/23/2020,02/01/2020,09/19/2020,United States,Male,55-64 years,15570,163021,15357,7507,705,23976,
09/23/2020,02/01/2020,09/19/2020,United States,Male,65-74 years,24966,233035,25664,12137,812,39150,
09/23/2020,02/01/2020,09/19/2020,United States,Male,75-84 years,27407,254170,29385,13075,735,44334,
09/23/2020,02/01/2020,09/19/2020,United States,Male,85 years and over,23185,234270,25249,10251,566,38664,
09/23/2020,02/01/2020,09/19/2020,United States,Female,All Ages,86647,967377,87010,37069,3246,139450,
09/23/2020,02/01/2020,09/19/2020,United States,Female,Under 1 year,7,5047,40,1,8,54,
09/23/2020,02/01/2020,09/19/2020,United States,Female,0-17 years,38,8265,140,6,59,231,
09/23/2020,02/01/2020,09/19/2020,United States,Female,1-4 years,8,902,37,1,17,61,
09/23/2020,02/01/2020,09/19/2020,United States,Female,5-14 years,9,1372,49,1,29,86,
09/23/2020,02/01/2020,09/19/2020,United States,Female,15-24 years,135,5585,165,48,26,277,
09/23/2020,02/01/2020,09/19/2020,United States,Female,18-29 years,295,10202,395,135,47,599,
