Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3536,50.5%,485,52.3%,635,51.1%,143,50.2%,2239,49.9%,147,54.4%,27,60.0%,1,1221,49.3%
Female,3466,49.5%,442,47.7%,607,48.9%,142,49.8%,2247,50.1%,123,45.6%,18,40.0%,2,1256,50.7%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,348,5.0%,16,1.7%,77,6.2%,8,2.8%,246,5.5%,3,1.1%,0,0.0%,4,116,4.7%
10-19 Years,710,10.1%,75,8.1%,121,9.7%,42,14.7%,459,10.2%,1,0.4%,0,0.0%,5,288,11.6%
20-29 Years,1737,24.8%,254,27.4%,335,27.0%,53,18.6%,1081,24.1%,15,5.6%,0,0.0%,6,616,24.9%
30-39 Years,1338,19.1%,188,20.3%,232,18.7%,57,20.0%,849,18.9%,24,8.9%,2,4.4%,7,480,19.4%
40-49 Years,951,13.6%,145,15.6%,147,11.8%,42,14.7%,605,13.5%,37,13.7%,4,8.9%,8,329,13.3%
50-59 Years,906,12.9%,110,11.9%,169,13.6%,37,13.0%,589,13.1%,50,18.5%,4,8.9%,9,314,12.7%
60-69 Years,626,8.9%,93,10.0%,91,7.3%,28,9.8%,410,9.1%,51,18.9%,5,11.1%,10,217,8.8%
70-79 Years,277,4.0%,36,3.9%,42,3.4%,17,6.0%,180,4.0%,57,21.1%,17,37.8%,11,89,3.6%
80+ Years,111,1.6%,10,1.1%,28,2.3%,1,0.4%,69,1.5%,32,11.9%,13,28.9%,12,28,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,340,4.9%,75,8.1%,114,9.2%,27,9.5%,120,2.7%,14,5.2%,1,2.2%,14,179,7.2%
Non-Hispanic,2634,37.6%,679,73.2%,851,68.5%,197,69.1%,878,19.6%,198,73.3%,40,88.9%,15,1514,61.1%
UI Ethnicity,3490,49.8%,0,0.0%,0,0.0%,0,0.0%,3490,77.8%,41,15.2%,1,2.2%,16,489,19.7%
Unknown Ethnicity,540,7.7%,173,18.7%,277,22.3%,61,21.4%,0,0.0%,17,6.3%,3,6.7%,17,295,11.9%
White,1628,23.2%,384,41.4%,497,40.0%,177,62.1%,557,12.4%,75,27.8%,18,40.0%,18,951,38.4%
Black,241,3.4%,62,6.7%,80,6.4%,17,6.0%,78,1.7%,8,3.0%,1,2.2%,19,114,4.6%
AI/AN,1300,18.6%,218,23.5%,237,19.1%,18,6.3%,811,18.1%,84,31.1%,16,35.6%,20,387,15.6%
Asian,178,2.5%,33,3.6%,58,4.7%,9,3.2%,77,1.7%,16,5.9%,3,6.7%,21,98,4.0%
NHOPI,262,3.7%,58,6.3%,89,7.2%,2,0.7%,112,2.5%,43,15.9%,5,11.1%,22,137,5.5%
Multiple,267,3.8%,48,5.2%,49,3.9%,11,3.9%,157,3.5%,6,2.2%,0,0.0%,23,101,4.1%
Other,206,2.9%,22,2.4%,32,2.6%,11,3.9%,140,3.1%,8,3.0%,0,0.0%,24,63,2.5%
UI Race,2556,36.5%,0,0.0%,0,0.0%,0,0.0%,2556,57.0%,20,7.4%,1,2.2%,25,411,16.6%
Unknown Race,366,5.2%,102,11.0%,200,16.1%,40,14.0%,0,0.0%,10,3.7%,1,2.2%,26,215,8.7%
