Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,26017,52.0%,833,52.0%,1035,51.5%,221,53.5%,23571,52.0%,630,55.8%,140,61.4%,1
Female,23996,48.0%,770,48.0%,976,48.5%,192,46.5%,21744,48.0%,499,44.2%,88,38.6%,2
Unknown Sex,4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,0,0.0%,3
<10 Years,3215,6.4%,35,2.2%,141,7.0%,14,3.4%,3001,6.6%,11,1.0%,0,0.0%,4
10-19 Years,5931,11.9%,136,8.5%,244,12.1%,60,14.5%,5420,12.0%,8,0.7%,0,0.0%,5
20-29 Years,10397,20.8%,428,26.7%,493,24.5%,67,16.2%,9269,20.5%,52,4.6%,3,1.3%,6
30-39 Years,9581,19.2%,285,17.8%,353,17.6%,81,19.6%,8736,19.3%,89,7.9%,6,2.6%,7
40-49 Years,6928,13.9%,237,14.8%,251,12.5%,65,15.7%,6292,13.9%,104,9.2%,8,3.5%,8
50-59 Years,6454,12.9%,200,12.5%,255,12.7%,54,13.1%,5868,12.9%,189,16.7%,18,7.9%,9
60-69 Years,4620,9.2%,168,10.5%,142,7.1%,47,11.4%,4172,9.2%,250,22.1%,41,18.0%,10
70-79 Years,2031,4.1%,74,4.6%,84,4.2%,23,5.6%,1810,4.0%,249,22.1%,71,31.1%,11
80+ Years,860,1.7%,40,2.5%,48,2.4%,2,0.5%,751,1.7%,177,15.7%,81,35.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2720,5.4%,122,7.6%,181,9.0%,44,10.7%,2348,5.2%,58,5.1%,10,4.4%,14
Non-Hispanic,26332,52.6%,1265,78.9%,1559,77.5%,317,76.8%,22964,50.7%,849,75.2%,212,93.0%,15
UI Ethnicity,20007,40.0%,0,0.0%,0,0.0%,0,0.0%,20007,44.1%,202,17.9%,5,2.2%,16
Unknown Ethnicity,958,1.9%,216,13.5%,271,13.5%,52,12.6%,0,0.0%,20,1.8%,1,0.4%,17
White,15691,31.4%,715,44.6%,854,42.5%,253,61.3%,13700,30.2%,369,32.7%,87,38.2%,18
Black,1281,2.6%,93,5.8%,116,5.8%,21,5.1%,1037,2.3%,45,4.0%,9,3.9%,19
AI/AN,10630,21.3%,432,26.9%,491,24.4%,51,12.3%,9553,21.1%,302,26.7%,90,39.5%,20
Asian,2001,4.0%,78,4.9%,101,5.0%,19,4.6%,1781,3.9%,109,9.7%,23,10.1%,21
NHOPI,1390,2.8%,76,4.7%,139,6.9%,4,1.0%,1166,2.6%,121,10.7%,16,7.0%,22
Multiple,3942,7.9%,73,4.6%,92,4.6%,13,3.1%,3734,8.2%,67,5.9%,2,0.9%,23
Other,6294,12.6%,42,2.6%,55,2.7%,16,3.9%,6057,13.4%,46,4.1%,0,0.0%,24
UI Race,8291,16.6%,0,0.0%,0,0.0%,0,0.0%,8291,18.3%,61,5.4%,0,0.0%,25
Unknown Race,497,1.0%,94,5.9%,163,8.1%,36,8.7%,0,0.0%,9,0.8%,1,0.4%,26
