ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,1660,48.9%,259,48.1%,362,48.8%,111,54.7%,912,48.5%,60.3%,64.0%,82,16,,
2,Female,1734,51.1%,280,51.9%,380,51.2%,92,45.3%,968,51.5%,39.7%,36.0%,54,9,,
3,Unknown Sex,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,,
4,<10 Years,161,4.7%,9,1.7%,47,6.3%,3,1.5%,102,5.4%,0.0%,0.0%,0,0,,
5,10-19 Years,347,10.2%,45,8.3%,60,8.1%,21,10.3%,213,11.3%,0.7%,0.0%,1,0,,
6,20-29 Years,840,24.7%,136,25.2%,190,25.6%,33,16.3%,473,25.2%,6.6%,0.0%,9,0,,
7,30-39 Years,641,18.9%,110,20.4%,140,18.9%,41,20.2%,345,18.4%,11.0%,8.0%,15,2,,
8,40-49 Years,465,13.7%,86,16.0%,91,12.3%,37,18.2%,246,13.1%,8.8%,4.0%,12,1,,
9,50-59 Years,433,12.8%,68,12.6%,112,15.1%,28,13.8%,224,11.9%,19.1%,12.0%,26,3,,
10,60-69 Years,314,9.3%,50,9.3%,67,9.0%,25,12.3%,170,9.0%,19.1%,12.0%,26,3,,
11,70-79 Years,143,4.2%,27,5.0%,24,3.2%,14,6.9%,78,4.1%,24.3%,48.0%,33,12,,
12,80+ Years,50,1.5%,8,1.5%,11,1.5%,1,0.5%,29,1.5%,10.3%,16.0%,14,4,,
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,,
14,Hispanic,177,5.2%,43,8.0%,68,9.2%,25,12.3%,39,2.1%,5.1%,0.0%,7,0,,
15,Non-Hispanic,1369,40.3%,427,79.2%,531,71.6%,149,73.4%,249,13.2%,80.1%,100.0%,109,25,,
16,UI Ethnicity,1592,46.9%,0,0.0%,0,0.0%,0,0.0%,1592,84.7%,11.0%,0.0%,15,0,,
17,Unknown Ethnicity,256,7.5%,69,12.8%,143,19.3%,29,14.3%,0,0.0%,3.7%,0.0%,5,0,,
18,White,925,27.3%,260,48.2%,349,47.0%,141,69.5%,171,9.1%,36.0%,44.0%,49,11,,
19,Black,103,3.0%,34,6.3%,26,3.5%,12,5.9%,29,1.5%,2.9%,0.0%,4,0,,
20,AI/AN,437,12.9%,118,21.9%,121,16.3%,9,4.4%,183,9.7%,25.7%,36.0%,35,9,,
21,Asian,97,2.9%,21,3.9%,47,6.3%,8,3.9%,20,1.1%,8.1%,8.0%,11,2,,
22,NHOPI,133,3.9%,31,5.8%,49,6.6%,1,0.5%,52,2.8%,15.4%,12.0%,21,3,,
23,Multiple,95,2.8%,22,4.1%,32,4.3%,8,3.9%,32,1.7%,0.0%,0.0%,0,0,,
24,Other,70,2.1%,9,1.7%,19,2.6%,9,4.4%,32,1.7%,2.9%,0.0%,4,0,,
25,UI Race,1361,40.1%,0,0.0%,0,0.0%,0,0.0%,1361,72.4%,5.9%,0.0%,8,0,,
26,Unknown Race,173,5.1%,44,8.2%,99,13.3%,15,7.4%,0,0.0%,2.9%,0.0%,4,0,,
