Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,21552,52.0%,744,52.5%,939,51.1%,197,52.7%,19389,52.0%,494,54.7%,110,60.4%,1
Female,19839,47.9%,673,47.5%,897,48.9%,177,47.3%,17840,47.9%,408,45.2%,72,39.6%,2
Unknown Sex,27,0.1%,0,0.0%,0,0.0%,0,0.0%,27,0.1%,1,0.1%,0,0.0%,3
<10 Years,2542,6.1%,30,2.1%,122,6.6%,9,2.4%,2367,6.4%,8,0.9%,0,0.0%,4
10-19 Years,4829,11.7%,121,8.5%,211,11.5%,55,14.7%,4375,11.7%,7,0.8%,0,0.0%,5
20-29 Years,8515,20.6%,403,28.4%,476,25.9%,62,16.6%,7464,20.0%,44,4.9%,3,1.6%,6
30-39 Years,7981,19.3%,260,18.3%,329,17.9%,78,20.9%,7209,19.3%,80,8.9%,5,2.7%,7
40-49 Years,5866,14.2%,215,15.2%,232,12.6%,58,15.5%,5290,14.2%,82,9.1%,7,3.8%,8
50-59 Years,5362,12.9%,175,12.4%,238,13.0%,50,13.4%,4838,13.0%,150,16.6%,12,6.6%,9
60-69 Years,3857,9.3%,144,10.2%,134,7.3%,39,10.4%,3470,9.3%,200,22.1%,36,19.8%,10
70-79 Years,1732,4.2%,52,3.7%,61,3.3%,22,5.9%,1566,4.2%,193,21.4%,54,29.7%,11
80+ Years,734,1.8%,17,1.2%,33,1.8%,1,0.3%,677,1.8%,139,15.4%,65,35.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2344,5.7%,113,8.0%,174,9.5%,40,10.7%,1994,5.4%,44,4.9%,4,2.2%,14
Non-Hispanic,21958,53.0%,1102,77.8%,1396,76.0%,286,76.5%,19023,51.1%,669,74.1%,147,80.8%,15
UI Ethnicity,16239,39.2%,0,0.0%,0,0.0%,0,0.0%,16239,43.6%,175,19.4%,28,15.4%,16
Unknown Ethnicity,877,2.1%,202,14.3%,266,14.5%,48,12.8%,0,0.0%,15,1.7%,3,1.6%,17
White,13100,31.6%,638,45.0%,785,42.8%,225,60.2%,11333,30.4%,290,32.1%,64,35.2%,18
Black,1125,2.7%,91,6.4%,115,6.3%,21,5.6%,888,2.4%,36,4.0%,7,3.8%,19
AI/AN,8446,20.4%,348,24.6%,409,22.3%,43,11.5%,7577,20.3%,240,26.6%,67,36.8%,20
Asian,1702,4.1%,72,5.1%,95,5.2%,18,4.8%,1504,4.0%,77,8.5%,19,10.4%,21
NHOPI,1221,2.9%,73,5.2%,133,7.2%,4,1.1%,1008,2.7%,102,11.3%,11,6.0%,22
Multiple,3324,8.0%,71,5.0%,90,4.9%,13,3.5%,3122,8.4%,63,7.0%,7,3.8%,23
Other,5313,12.8%,36,2.5%,49,2.7%,16,4.3%,5095,13.7%,40,4.4%,3,1.6%,24
UI Race,6729,16.2%,0,0.0%,0,0.0%,0,0.0%,6729,18.1%,48,5.3%,4,2.2%,25
Unknown Race,458,1.1%,88,6.2%,160,8.7%,34,9.1%,0,0.0%,7,0.8%,0,0.0%,26
