Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34269,52.1%,1115,51.9%,1442,49.9%,283,52.5%,30914,52.2%,827,55.0%,206,60.2%,1
Female,31475,47.9%,1034,48.1%,1449,50.1%,256,47.5%,28260,47.7%,676,45.0%,136,39.8%,2
Unknown Sex,18,0.0%,0,0.0%,0,0.0%,0,0.0%,18,0.0%,0,0.0%,0,0.0%,3
<10 Years,4780,7.3%,67,3.1%,270,9.3%,18,3.3%,4379,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8562,13.0%,216,10.1%,386,13.4%,72,13.4%,7783,13.1%,15,1.0%,0,0.0%,5
20-29 Years,13491,20.5%,536,24.9%,620,21.4%,90,16.7%,12048,20.4%,61,4.1%,5,1.5%,6
30-39 Years,12407,18.9%,375,17.4%,469,16.2%,94,17.4%,11307,19.1%,121,8.1%,7,2.0%,7
40-49 Years,8952,13.6%,298,13.9%,340,11.8%,82,15.2%,8105,13.7%,154,10.2%,16,4.7%,8
50-59 Years,8331,12.7%,266,12.4%,357,12.3%,73,13.5%,7517,12.7%,263,17.5%,23,6.7%,9
60-69 Years,5742,8.7%,225,10.5%,215,7.4%,69,12.8%,5098,8.6%,337,22.4%,67,19.6%,10
70-79 Years,2476,3.8%,107,5.0%,132,4.6%,36,6.7%,2136,3.6%,312,20.8%,105,30.7%,11
80+ Years,1021,1.6%,59,2.7%,102,3.5%,5,0.9%,819,1.4%,224,14.9%,119,34.8%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3343,5.1%,138,6.4%,221,7.6%,57,10.6%,2892,4.9%,76,5.1%,16,4.7%,14
Non-Hispanic,34559,52.6%,1724,80.2%,2268,78.5%,409,75.9%,29745,50.3%,1121,74.6%,320,93.6%,15
UI Ethnicity,26555,40.4%,0,0.0%,0,0.0%,0,0.0%,26555,44.9%,284,18.9%,4,1.2%,16
Unknown Ethnicity,1305,2.0%,287,13.4%,402,13.9%,73,13.5%,0,0.0%,22,1.5%,2,0.6%,17
White,21728,33.0%,885,41.2%,1129,39.1%,320,59.4%,19126,32.3%,547,36.4%,152,44.4%,18
Black,1592,2.4%,98,4.6%,132,4.6%,22,4.1%,1323,2.2%,53,3.5%,10,2.9%,19
AI/AN,13704,20.8%,737,34.3%,893,30.9%,77,14.3%,11776,19.9%,387,25.7%,120,35.1%,20
Asian,2524,3.8%,94,4.4%,171,5.9%,23,4.3%,2205,3.7%,123,8.2%,32,9.4%,21
NHOPI,1686,2.6%,81,3.8%,161,5.6%,4,0.7%,1431,2.4%,137,9.1%,20,5.8%,22
Multiple,4960,7.5%,89,4.1%,125,4.3%,22,4.1%,4683,7.9%,79,5.3%,6,1.8%,23
Other,7636,11.6%,56,2.6%,75,2.6%,21,3.9%,7342,12.4%,70,4.7%,1,0.3%,24
UI Race,11306,17.2%,0,0.0%,0,0.0%,0,0.0%,11306,19.1%,98,6.5%,0,0.0%,25
Unknown Race,626,1.0%,109,5.1%,205,7.1%,50,9.3%,0,0.0%,9,0.6%,1,0.3%,26
