Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,28057,52.0%,894,52.1%,1103,51.4%,233,53.6%,25429,52.0%,658,55.2%,169,60.8%,1
Female,25929,48.0%,823,47.9%,1045,48.6%,202,46.4%,23511,48.0%,534,44.8%,109,39.2%,2
Unknown Sex,5,0.0%,0,0.0%,0,0.0%,0,0.0%,5,0.0%,0,0.0%,0,0.0%,3
<10 Years,3600,6.7%,39,2.3%,158,7.4%,14,3.2%,3362,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6541,12.1%,145,8.4%,260,12.1%,64,14.7%,5992,12.2%,9,0.8%,0,0.0%,5
20-29 Years,11152,20.7%,456,26.6%,518,24.1%,75,17.2%,9955,20.3%,50,4.2%,3,1.1%,6
30-39 Years,10230,18.9%,301,17.5%,370,17.2%,83,19.1%,9344,19.1%,92,7.7%,6,2.2%,7
40-49 Years,7442,13.8%,252,14.7%,259,12.1%,68,15.6%,6774,13.8%,112,9.4%,11,4.0%,8
50-59 Years,6971,12.9%,213,12.4%,266,12.4%,59,13.6%,6343,13.0%,195,16.4%,21,7.6%,9
60-69 Years,4962,9.2%,179,10.4%,159,7.4%,49,11.3%,4470,9.1%,264,22.1%,55,19.8%,10
70-79 Years,2171,4.0%,86,5.0%,93,4.3%,21,4.8%,1921,3.9%,266,22.3%,86,30.9%,11
80+ Years,922,1.7%,46,2.7%,65,3.0%,2,0.5%,784,1.6%,193,16.2%,96,34.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2815,5.2%,129,7.5%,192,8.9%,46,10.6%,2421,4.9%,62,5.2%,12,4.3%,14
Non-Hispanic,27678,51.3%,1357,79.0%,1653,77.0%,333,76.6%,24060,49.2%,899,75.4%,259,93.2%,15
UI Ethnicity,22464,41.6%,0,0.0%,0,0.0%,0,0.0%,22464,45.9%,212,17.8%,7,2.5%,16
Unknown Ethnicity,1034,1.9%,231,13.5%,303,14.1%,56,12.9%,0,0.0%,19,1.6%,0,0.0%,17
White,16561,30.7%,758,44.1%,895,41.7%,268,61.6%,14439,29.5%,394,33.1%,115,41.4%,18
Black,1342,2.5%,95,5.5%,117,5.4%,21,4.8%,1093,2.2%,46,3.9%,9,3.2%,19
AI/AN,11735,21.7%,485,28.2%,548,25.5%,52,12.0%,10530,21.5%,322,27.0%,103,37.1%,20
Asian,2122,3.9%,81,4.7%,118,5.5%,19,4.4%,1881,3.8%,114,9.6%,29,10.4%,21
NHOPI,1435,2.7%,79,4.6%,146,6.8%,4,0.9%,1198,2.4%,122,10.2%,16,5.8%,22
Multiple,4213,7.8%,79,4.6%,95,4.4%,15,3.4%,3992,8.2%,67,5.6%,4,1.4%,23
Other,6622,12.3%,47,2.7%,58,2.7%,16,3.7%,6370,13.0%,51,4.3%,1,0.4%,24
UI Race,9442,17.5%,0,0.0%,0,0.0%,0,0.0%,9442,19.3%,68,5.7%,1,0.4%,25
Unknown Race,519,1.0%,93,5.4%,171,8.0%,40,9.2%,0,0.0%,8,0.7%,0,0.0%,26
