Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,All Ages,443107,3587923,389232,210828,8844,629180,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,Under 1 year,45,19453,212,7,21,271,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,0-17 years,191,34175,575,32,176,910,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,1-4 years,23,3528,124,3,59,203,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,5-14 years,69,5717,163,13,75,294,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,15-24 years,626,36865,778,236,81,1244,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,18-29 years,1542,65118,1798,652,148,2825,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,25-34 years,2804,76018,2898,1249,234,4670,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,30-49 years,17104,230997,15267,8090,806,24998,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,35-44 years,7395,108776,6746,3414,356,11048,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,45-54 years,20403,200228,18116,10155,767,29018,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,50-64 years,64314,584175,60645,33107,2089,93632,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,55-64 years,51786,463880,49248,26804,1626,75617,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,65-74 years,94964,715472,88319,49677,1896,135212,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,75-84 years,123412,875861,109882,61358,1919,173595,
02/10/2021,01/01/2020,02/06/2021,United States,All Sexes,85 years and over,141580,1082125,112746,57912,1810,198008,
02/10/2021,01/01/2020,02/06/2021,United States,Male,All Ages,240895,1876505,216774,121123,4569,340392,
02/10/2021,01/01/2020,02/06/2021,United States,Male,Under 1 year,30,10772,125,5,10,160,
02/10/2021,01/01/2020,02/06/2021,United States,Male,0-17 years,111,20115,316,18,97,506,
02/10/2021,01/01/2020,02/06/2021,United States,Male,1-4 years,14,2032,59,2,38,109,
02/10/2021,01/01/2020,02/06/2021,United States,Male,5-14 years,39,3406,89,10,37,155,
02/10/2021,01/01/2020,02/06/2021,United States,Male,15-24 years,377,27269,471,139,38,743,
02/10/2021,01/01/2020,02/06/2021,United States,Male,18-29 years,968,47664,1083,381,76,1738,
02/10/2021,01/01/2020,02/06/2021,United States,Male,25-34 years,1791,53607,1761,773,115,2883,
02/10/2021,01/01/2020,02/06/2021,United States,Male,30-49 years,11310,151076,9443,5339,429,15780,
02/10/2021,01/01/2020,02/06/2021,United States,Male,35-44 years,4877,71311,4170,2250,187,6958,
02/10/2021,01/01/2020,02/06/2021,United States,Male,45-54 years,13622,125730,11263,6774,446,18479,
