,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=706,454",,"N=113,907",,"N=8,549",,"N=2,236",
0-4,21529,3%,2533,2%,72,1%,<5,--
5-9,28013,4%,3144,3%,19,<1%,0,0%
10-14,29406,4%,4093,4%,33,<1%,<5,--
15-18,36018,5%,5396,5%,51,1%,0,0%
19-24,77961,11%,12661,11%,205,2%,<5,--
25-29,59986,9%,10215,9%,257,3%,<5,--
30-39,106020,15%,17940,16%,521,6%,11,<1%
40-49,86413,12%,15434,14%,727,9%,30,1%
50-59,101490,14%,17148,15%,1208,14%,93,4%
60-69,84585,12%,12305,11%,1666,19%,277,12%
70-79,45571,6%,6486,6%,1750,20%,497,22%
80-89,20145,3%,4169,4%,1407,16%,712,32%
90+,8310,1%,2378,2%,632,7%,607,27%
Pending further information,1007,--,5,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,51704,17%,29599,30%,1819,27%,188,9%
American Indian or Alaska Native*,4625,1%,264,<1%,16,<1%,<5,--
Asian*,8084,3%,2164,2%,153,2%,35,2%
Black or African American*,17419,6%,7408,8%,580,9%,100,5%
Native Hawaiian or Other Pacific Islander*,505,<1%,0,0%,0,0%,0,0%
White*,206662,66%,55408,56%,3998,59%,1658,84%
Other race*,19420,6%,2199,2%,195,3%,<5,--
Multiple race*,2775,1%,1103,1%,30,<1%,<5,--
Declined,8340,--,2296,--,90,--,0,--
Unknown or pending further information,386920,--,13466,--,1668,--,250,--
Sex Assigned at Birth,,,,,,,,
Female,340944,54%,58249,53%,4065,50%,1156,52%
Male,287766,46%,51072,47%,4106,50%,1079,48%
Other,180,<1%,158,<1%,25,<1%,<5,--
Pending further information,77564,--,4428,--,353,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,2666,5%,84,3%,--,--
No,--,--,56089,95%,2868,97%,--,--
Unknown or pending,--,--,55152,--,5597,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,36179,53%,4257,50%,--,--
Cisgender man,--,--,31385,46%,4282,50%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,448,1%,0,0%,--,--
Other,--,--,208,<1%,<5,--,--,--
Declined,--,--,19791,--,0,--,--,--
Unknown or pending,--,--,25896,--,7,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,36,<1%,<5,--,--,--
Bisexual,--,--,547,1%,5,<1%,--,--
Lesbian or gay,--,--,986,2%,35,1%,--,--
Queer,--,--,114,<1%,<5,--,--,--
Straight,--,--,58804,96%,3011,98%,--,--
Other,--,--,555,1%,12,<1%,--,--
Declined,--,--,24500,--,1797,--,--,--
Unknown or pending,--,--,28365,--,3685,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,2/10/2021,,,,,,,
