Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3361,50.5%,441,51.8%,569,50.1%,138,51.3%,2182,50.2%,142,55.3%,27,60.0%,1,1076,48.6%
Female,3296,49.5%,410,48.2%,566,49.9%,131,48.7%,2163,49.8%,115,44.7%,18,40.0%,2,1137,51.4%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,324,4.9%,15,1.8%,71,6.3%,8,3.0%,229,5.3%,2,0.8%,0,0.0%,4,103,4.7%
10-19 Years,678,10.2%,70,8.2%,106,9.3%,39,14.5%,451,10.4%,1,0.4%,0,0.0%,5,254,11.5%
20-29 Years,1653,24.8%,222,26.1%,310,27.3%,51,19.0%,1056,24.3%,15,5.8%,0,0.0%,6,572,25.8%
30-39 Years,1273,19.1%,173,20.3%,215,18.9%,52,19.3%,822,18.9%,23,8.9%,2,4.4%,7,438,19.8%
40-49 Years,901,13.5%,136,16.0%,131,11.5%,41,15.2%,582,13.4%,35,13.6%,4,8.9%,8,290,13.1%
50-59 Years,861,12.9%,107,12.6%,149,13.1%,36,13.4%,568,13.1%,49,19.1%,4,8.9%,9,273,12.3%
60-69 Years,597,9.0%,82,9.6%,87,7.7%,26,9.7%,398,9.2%,48,18.7%,5,11.1%,10,183,8.3%
70-79 Years,264,4.0%,36,4.2%,39,3.4%,15,5.6%,173,4.0%,54,21.0%,17,37.8%,11,77,3.5%
80+ Years,107,1.6%,10,1.2%,27,2.4%,1,0.4%,67,1.5%,30,11.7%,13,28.9%,12,23,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,312,4.7%,63,7.4%,105,9.3%,26,9.7%,115,2.6%,13,5.1%,1,2.2%,14,160,7.2%
Non-Hispanic,2304,34.6%,608,71.4%,755,66.5%,185,68.8%,732,16.8%,186,72.4%,40,88.9%,15,1290,58.3%
UI Ethnicity,3499,52.6%,0,0.0%,0,0.0%,0,0.0%,3499,80.5%,40,15.6%,1,2.2%,16,451,20.4%
Unknown Ethnicity,543,8.2%,180,21.2%,275,24.2%,58,21.6%,0,0.0%,18,7.0%,3,6.7%,17,312,14.1%
White,1453,21.8%,345,40.5%,450,39.6%,171,63.6%,477,11.0%,73,28.4%,18,40.0%,18,832,37.6%
Black,220,3.3%,56,6.6%,70,6.2%,15,5.6%,75,1.7%,8,3.1%,1,2.2%,19,103,4.7%
AI/AN,1169,17.6%,199,23.4%,198,17.4%,15,5.6%,744,17.1%,74,28.8%,16,35.6%,20,320,14.5%
Asian,156,2.3%,31,3.6%,56,4.9%,9,3.3%,59,1.4%,15,5.8%,3,6.7%,21,86,3.9%
NHOPI,253,3.8%,57,6.7%,87,7.7%,2,0.7%,106,2.4%,43,16.7%,5,11.1%,22,126,5.7%
Multiple,228,3.4%,39,4.6%,41,3.6%,10,3.7%,137,3.2%,5,1.9%,0,0.0%,23,78,3.5%
Other,191,2.9%,17,2.0%,30,2.6%,10,3.7%,133,3.1%,7,2.7%,0,0.0%,24,56,2.5%
UI Race,2615,39.3%,0,0.0%,0,0.0%,0,0.0%,2615,60.2%,22,8.6%,1,2.2%,25,386,17.4%
Unknown Race,373,5.6%,107,12.6%,203,17.9%,37,13.8%,0,0.0%,10,3.9%,1,2.2%,26,226,10.2%
