Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3726,50.6%,496,52.7%,649,51.1%,143,50.2%,2403,50.0%,152,54.3%,34,65.4%,1,1433,48.3%
Female,3640,49.4%,446,47.3%,622,48.9%,142,49.8%,2402,50.0%,128,45.7%,18,34.6%,2,1532,51.7%
Unknown Sex,1,0.0%,0,0.0%,0,0.0%,0,0.0%,1,0.0%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,367,5.0%,16,1.7%,77,6.1%,8,2.8%,265,5.5%,3,1.1%,0,0.0%,4,144,4.9%
10-19 Years,750,10.2%,75,8.0%,126,9.9%,42,14.7%,494,10.3%,1,0.4%,0,0.0%,5,344,11.6%
20-29 Years,1825,24.8%,262,27.8%,344,27.1%,53,18.6%,1152,24.0%,16,5.7%,0,0.0%,6,743,25.1%
30-39 Years,1396,18.9%,188,20.0%,237,18.6%,56,19.6%,903,18.8%,24,8.6%,2,3.8%,7,573,19.3%
40-49 Years,998,13.5%,146,15.5%,150,11.8%,43,15.1%,647,13.5%,39,13.9%,4,7.7%,8,383,12.9%
50-59 Years,957,13.0%,113,12.0%,173,13.6%,37,13.0%,633,13.2%,52,18.6%,6,11.5%,9,376,12.7%
60-69 Years,663,9.0%,96,10.2%,92,7.2%,28,9.8%,443,9.2%,54,19.3%,8,15.4%,10,262,8.8%
70-79 Years,292,4.0%,36,3.8%,44,3.5%,17,6.0%,192,4.0%,58,20.7%,19,36.5%,11,107,3.6%
80+ Years,119,1.6%,10,1.1%,28,2.2%,1,0.4%,77,1.6%,33,11.8%,13,25.0%,12,33,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,444,6.0%,76,8.1%,120,9.4%,28,9.8%,215,4.5%,14,5.0%,1,1.9%,14,277,9.3%
Non-Hispanic,3086,41.9%,699,74.2%,876,68.9%,203,71.2%,1278,26.6%,210,75.0%,46,88.5%,15,1879,63.4%
UI Ethnicity,3313,45.0%,0,0.0%,0,0.0%,0,0.0%,3313,68.9%,40,14.3%,1,1.9%,16,518,17.5%
Unknown Ethnicity,524,7.1%,167,17.7%,275,21.6%,54,18.9%,0,0.0%,16,5.7%,4,7.7%,17,291,9.8%
White,1894,25.7%,393,41.7%,517,40.7%,180,63.2%,790,16.4%,76,27.1%,22,42.3%,18,1184,39.9%
Black,281,3.8%,65,6.9%,86,6.8%,17,6.0%,109,2.3%,8,2.9%,1,1.9%,19,147,5.0%
AI/AN,1430,19.4%,228,24.2%,243,19.1%,18,6.3%,925,19.2%,89,31.8%,19,36.5%,20,511,17.2%
Asian,218,3.0%,33,3.5%,58,4.6%,9,3.2%,117,2.4%,17,6.1%,3,5.8%,21,123,4.1%
NHOPI,301,4.1%,60,6.4%,92,7.2%,2,0.7%,146,3.0%,45,16.1%,6,11.5%,22,171,5.8%
Multiple,307,4.2%,50,5.3%,51,4.0%,10,3.5%,194,4.0%,9,3.2%,0,0.0%,23,131,4.4%
Other,246,3.3%,22,2.3%,32,2.5%,11,3.9%,180,3.7%,8,2.9%,0,0.0%,24,98,3.3%
UI Race,2345,31.8%,0,0.0%,0,0.0%,0,0.0%,2345,48.8%,18,6.4%,0,0.0%,25,395,13.3%
Unknown Race,345,4.7%,91,9.7%,192,15.1%,38,13.3%,0,0.0%,10,3.6%,1,1.9%,26,205,6.9%
