DateUpdated,AgeGroups,Total cases,Confirmed cases,Probable cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
05/21/2020,0-9,421,,,111,1,,
05/21/2020,10-19,966,,,210,1,,
05/21/2020,20-29,4417,,,948,4,,
05/21/2020,30-39,5505,,,1250,20,,
05/21/2020,40-49,5619,,,1276,51,,
05/21/2020,50-59,6922,,,1307,153,,
05/21/2020,60-69,5845,,,1351,457,,
05/21/2020,70-79,3881,,,1489,787,,
05/21/2020,80 and older,5947,,,3623,2162,,
05/22/2020,0-9,436,,,115,1,,
05/22/2020,10-19,981,,,213,1,,
05/22/2020,20-29,4479,,,961,4,,
05/22/2020,30-39,5563,,,1263,19,,
05/22/2020,40-49,5674,,,1288,52,,
05/22/2020,50-59,6974,,,1317,154,,
05/22/2020,60-69,5882,,,1360,462,,
05/22/2020,70-79,3905,,,1498,796,,
05/22/2020,80 and older,5992,,,3650,2185,,
05/23/2020,0-9,446,,,118,1,,
05/23/2020,10-19,992,,,216,1,,
05/23/2020,20-29,4532,,,972,4,,
05/23/2020,30-39,5636,,,1280,19,,
05/23/2020,40-49,5723,,,1299,51,,
05/23/2020,50-59,7027,,,1327,155,,
05/23/2020,60-69,5916,,,1367,461,,
05/23/2020,70-79,3961,,,1520,800,,
05/23/2020,80 and older,6100,,,3716,2200,,
05/24/2020,0-9,459,,,121,1,,
05/24/2020,10-19,1016,,,221,1,,
05/24/2020,20-29,4590,,,985,4,,
05/24/2020,30-39,5705,,,1296,19,,
05/24/2020,40-49,5788,,,1314,52,,
05/24/2020,50-59,7087,,,1339,153,,
05/24/2020,60-69,5971,,,1380,467,,
05/24/2020,70-79,3995,,,1533,805,,
05/24/2020,80 and older,6147,,,3744,2239,,
05/25/2020,0-9,465,,,123,1,,
05/25/2020,10-19,1040,,,226,1,,
05/25/2020,20-29,4650,,,998,4,,
05/25/2020,30-39,5747,,,1305,19,,
05/25/2020,40-49,5882,,,1335,53,,
05/25/2020,50-59,7184,,,1357,153,,
05/25/2020,60-69,6021,,,1392,472,,
05/25/2020,70-79,4016,,,1541,808,,
05/25/2020,80 and older,6165,,,3755,2257,,
05/26/2020,0-9,477,,,126,1,,
05/26/2020,10-19,1040,,,226,1,,
05/26/2020,20-29,4641,,,996,4,,
05/26/2020,30-39,5753,,,1306,19,,
05/26/2020,40-49,5846,,,1327,53,,
05/26/2020,50-59,7150,,,1350,154,,
05/26/2020,60-69,6025,,,1393,478,,
05/26/2020,70-79,4022,,,1543,816,,
05/26/2020,80 and older,6222,,,3790,2276,,
05/27/2020,0-9,481,,,127,1,,
05/27/2020,10-19,1050,,,228,1,,
05/27/2020,20-29,4682,,,1005,4,,
05/27/2020,30-39,5791,,,1315,19,,
05/27/2020,40-49,5871,,,1333,52,,
05/27/2020,50-59,7200,,,1360,154,,
05/27/2020,60-69,6067,,,1402,483,,
05/27/2020,70-79,4039,,,1550,815,,
05/27/2020,80 and older,6265,,,3816,2296,,
05/28/2020,0-9,488,,,129,1,,
05/28/2020,10-19,1059,,,230,1,,
05/28/2020,20-29,4702,,,1009,4,,
05/28/2020,30-39,5829,,,1324,19,,
05/28/2020,40-49,5896,,,1339,52,,
05/28/2020,50-59,7219,,,1364,157,,
05/28/2020,60-69,6096,,,1409,490,,
05/28/2020,70-79,4055,,,1556,822,,
05/28/2020,80 and older,6299,,,3837,2321,,
05/29/2020,0-9,501,,,132,1,,
05/29/2020,10-19,1072,,,233,1,,
05/29/2020,20-29,4751,,,1019,4,,
05/29/2020,30-39,5855,,,1330,19,,
05/29/2020,40-49,5933,,,1347,52,,
05/29/2020,50-59,7257,,,1371,157,,
05/29/2020,60-69,6122,,,1415,492,,
05/29/2020,70-79,4076,,,1564,837,,
04/11/2020,20-29,1266,,,272,1,,
05/29/2020,80 and older,6333,,,3858,2348,,
05/30/2020,0-9,508,,,134,1,,
05/30/2020,10-19,1078,,,234,1,,
05/30/2020,20-29,4763,,,1022,4,,
05/30/2020,30-39,5867,,,1332,19,,
05/30/2020,40-49,5949,,,1351,52,,
05/30/2020,50-59,7286,,,1376,157,,
05/30/2020,60-69,6147,,,1421,497,,
05/30/2020,70-79,4099,,,1573,843,,
05/30/2020,80 and older,6378,,,3885,2369,,
05/18/2020,40-49,5475,,,1243,51,,
05/18/2020,50-59,6739,,,1273,143,,
05/18/2020,60-69,5686,,,1314,433,,
05/18/2020,70-79,3772,,,1447,749,,
05/18/2020,80 and older,5748,,,3501,2068,,
05/19/2020,0-9,407,,,107,1,,
05/19/2020,10-19,935,,,203,1,,
05/19/2020,20-29,4338,,,931,4,,
05/19/2020,30-39,5423,,,1232,20,,
05/19/2020,40-49,5549,,,1260,51,,
05/19/2020,50-59,6833,,,1291,148,,
05/19/2020,60-69,5764,,,1332,436,,
05/19/2020,70-79,3829,,,1469,765,,
05/19/2020,80 and older,5817,,,3543,2101,,
04/05/2020,0 - 9,49,,,13,1,,
04/05/2020,10 -19,113,,,25,0,,
04/05/2020,20 -29,639,,,137,0,,
04/05/2020,30 - 39,856,,,194,1,,
04/05/2020,40 -49,963,,,219,7,,
04/05/2020,50 -59,1152,,,218,9,,
04/05/2020,60 - 69,896,,,207,27,,
04/05/2020,70 - 79,475,,,182,47,,
04/05/2020,80 and older,463,,,282,97,,
04/06/2020,0 - 9,60,,,16,1,,
04/06/2020,10 -19,149,,,32,0,,
04/06/2020,20 -29,792,,,170,0,,
04/06/2020,30 - 39,1062,,,241,1,,
04/06/2020,40 -49,1189,,,270,7,,
04/06/2020,50 -59,1390,,,263,10,,
04/06/2020,60 - 69,1092,,,252,28,,
04/06/2020,70 - 79,569,,,218,49,,
04/06/2020,80 and older,546,,,333,110,,
04/07/2020,0-9,67,,,18,1,,
04/07/2020,10-19,168,,,37,0,,
04/07/2020,20-29,870,,,187,1,,
04/07/2020,30-39,1189,,,270,2,,
04/07/2020,40-49,1302,,,296,9,,
04/07/2020,50-59,1550,,,293,13,,
04/07/2020,60-69,1247,,,288,39,,
04/07/2020,70-79,646,,,248,63,,
04/07/2020,80 and older,635,,,387,149,,
04/08/2020,0-9,73,,,19,1,,
04/08/2020,10-19,184,,,40,0,,
04/08/2020,20-29,973,,,209,1,,
04/08/2020,30-39,1328,,,302,2,,
04/08/2020,40-49,1438,,,326,9,,
04/08/2020,50-59,1761,,,333,16,,
04/08/2020,60-69,1417,,,328,47,,
04/08/2020,70-79,748,,,287,80,,
04/08/2020,80 and older,752,,,458,179,,
04/09/2020,0-9,77,,,20,1,,
04/09/2020,10-19,203,,,44,0,,
04/09/2020,20-29,1097,,,235,1,,
04/09/2020,30-39,1478,,,336,3,,
04/09/2020,40-49,1626,,,369,10,,
04/09/2020,50-59,1968,,,372,17,,
04/09/2020,60-69,1561,,,361,53,,
04/09/2020,70-79,836,,,321,91,,
04/09/2020,80 and older,839,,,511,204,,
04/10/2020,0-9,81,,,21,1,,
04/10/2020,10-19,215,,,47,0,,
04/10/2020,20-29,1178,,,253,1,,
04/10/2020,30-39,1575,,,358,5,,
04/10/2020,40-49,1747,,,397,11,,
04/10/2020,50-59,2115,,,399,19,,
04/10/2020,60-69,1675,,,387,61,,
04/10/2020,70-79,916,,,351,101,,
04/10/2020,80 and older,940,,,573,249,,
04/11/2020,0-9,88,,,23,1,,
04/11/2020,19-Oct,238,,,52,0,,
04/11/2020,30-39,1701,,,386,6,,
04/11/2020,40-49,1887,,,428,13,,
04/11/2020,50-59,2273,,,429,21,,
04/11/2020,60-69,1854,,,429,67,,
04/11/2020,70-79,1027,,,394,110,,
04/11/2020,80 and older,1090,,,664,275,,
04/12/2020,0-9,89,,,23,1,,
04/12/2020,10-19,245,,,53,0,,
04/12/2020,20-29,1305,,,280,1,,
04/12/2020,30-39,1772,,,402,6,,
04/12/2020,40-49,1972,,,448,13,,
04/12/2020,50-59,2372,,,448,27,,
04/12/2020,60-69,1947,,,450,75,,
05/05/2020,0-9,243,,,64,1,,
05/05/2020,10-19,638,,,139,1,,
05/05/2020,20-29,3332,,,715,4,,
05/05/2020,30-39,4303,,,977,19,,
05/05/2020,40-49,4531,,,1029,38,,
05/05/2020,50-59,5539,,,1046,120,,
05/05/2020,60-69,4716,,,1090,340,,
05/05/2020,70-79,3062,,,1175,596,,
05/05/2020,80 and older,4485,,,2732,1596,,
05/06/2020,0-9,256,,,68,1,,
05/06/2020,10-19,663,,,144,1,,
05/06/2020,20-29,3411,,,732,4,,
05/06/2020,30-39,4393,,,998,19,,
05/06/2020,40-49,4638,,,1053,41,,
05/06/2020,50-59,5672,,,1071,120,,
05/06/2020,60-69,4824,,,1115,343,,
05/06/2020,70-79,3159,,,1212,615,,
05/06/2020,80 and older,4626,,,2818,1650,,
05/07/2020,0-9,267,,,70,1,,
05/07/2020,10-19,684,,,149,1,,
05/07/2020,20-29,3506,,,752,4,,
05/07/2020,30-39,4505,,,1023,19,,
05/07/2020,40-49,4728,,,1073,41,,
05/07/2020,50-59,5768,,,1089,120,,
05/07/2020,60-69,4894,,,1131,356,,
05/07/2020,70-79,3216,,,1234,630,,
