Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,10340,50.0%,738,52.4%,929,50.9%,195,52.8%,8406,49.6%,277,53.3%,58,60.4%,1,3236,49.7%
Female,10338,50.0%,670,47.6%,896,49.1%,174,47.2%,8537,50.4%,242,46.5%,38,39.6%,2,3276,50.3%
Unknown Sex,10,0.0%,0,0.0%,0,0.0%,0,0.0%,10,0.1%,1,0.2%,0,0.0%,3,0,0.0%
<10 Years,1156,5.6%,30,2.1%,121,6.6%,9,2.4%,993,5.9%,5,1.0%,0,0.0%,4,329,5.1%
10-19 Years,2459,11.9%,120,8.5%,211,11.6%,54,14.6%,2054,12.1%,4,0.8%,0,0.0%,5,693,10.6%
20-29 Years,4463,21.6%,399,28.3%,473,25.9%,62,16.8%,3495,20.6%,27,5.2%,2,2.1%,6,1559,23.9%
30-39 Years,3933,19.0%,258,18.3%,328,18.0%,76,20.6%,3246,19.1%,43,8.3%,2,2.1%,7,1255,19.3%
40-49 Years,2929,14.2%,214,15.2%,229,12.5%,58,15.7%,2408,14.2%,59,11.3%,6,6.3%,8,867,13.3%
50-59 Years,2642,12.8%,174,12.4%,238,13.0%,48,13.0%,2175,12.8%,89,17.1%,7,7.3%,9,856,13.1%
60-69 Years,1912,9.2%,144,10.2%,131,7.2%,39,10.6%,1586,9.4%,121,23.3%,17,17.7%,10,623,9.6%
70-79 Years,838,4.1%,52,3.7%,61,3.3%,22,6.0%,695,4.1%,99,19.0%,28,29.2%,11,242,3.7%
80+ Years,356,1.7%,17,1.2%,33,1.8%,1,0.3%,301,1.8%,73,14.0%,34,35.4%,12,88,1.4%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,1060,5.1%,110,7.8%,171,9.4%,38,10.3%,734,4.3%,26,5.0%,1,1.0%,14,597,9.2%
Non-Hispanic,8831,42.7%,1079,76.6%,1360,74.5%,281,76.2%,6041,35.6%,365,70.2%,80,83.3%,15,4968,76.3%
UI Ethnicity,10178,49.2%,0,0.0%,0,0.0%,0,0.0%,10178,60.0%,113,21.7%,12,12.5%,16,574,8.8%
Unknown Ethnicity,619,3.0%,219,15.6%,294,16.1%,50,13.6%,0,0.0%,16,3.1%,3,3.1%,17,373,5.7%
White,5612,27.1%,629,44.7%,767,42.0%,222,60.2%,3965,23.4%,140,26.9%,32,33.3%,18,2799,43.0%
Black,604,2.9%,89,6.3%,114,6.2%,21,5.7%,375,2.2%,29,5.6%,4,4.2%,19,292,4.5%
AI/AN,4719,22.8%,344,24.4%,407,22.3%,43,11.7%,3881,22.9%,151,29.0%,31,32.3%,20,1473,22.6%
Asian,747,3.6%,70,5.0%,94,5.2%,18,4.9%,563,3.3%,32,6.2%,8,8.3%,21,419,6.4%
NHOPI,683,3.3%,73,5.2%,132,7.2%,4,1.1%,472,2.8%,64,12.3%,9,9.4%,22,392,6.0%
Multiple,1185,5.7%,71,5.0%,88,4.8%,13,3.5%,1008,5.9%,28,5.4%,4,4.2%,23,353,5.4%
Other,1204,5.8%,33,2.3%,48,2.6%,14,3.8%,1108,6.5%,21,4.0%,1,1.0%,24,196,3.0%
UI Race,5581,27.0%,0,0.0%,0,0.0%,0,0.0%,5581,32.9%,47,9.0%,7,7.3%,25,367,5.6%
Unknown Race,353,1.7%,99,7.0%,175,9.6%,34,9.2%,0,0.0%,8,1.5%,0,0.0%,26,221,3.4%
