Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,27953,51.9%,892,52.0%,1103,51.4%,233,53.6%,25328,51.9%,657,55.2%,169,60.8%,1
Female,25845,48.0%,823,48.0%,1045,48.6%,202,46.4%,23427,48.0%,534,44.8%,109,39.2%,2
Unknown Sex,11,0.0%,0,0.0%,0,0.0%,0,0.0%,11,0.0%,0,0.0%,0,0.0%,3
<10 Years,3586,6.7%,38,2.2%,158,7.4%,14,3.2%,3349,6.9%,11,0.9%,0,0.0%,4
10-19 Years,6512,12.1%,145,8.5%,260,12.1%,64,14.7%,5963,12.2%,9,0.8%,0,0.0%,5
20-29 Years,11120,20.7%,456,26.6%,518,24.1%,75,17.2%,9923,20.3%,50,4.2%,3,1.1%,6
30-39 Years,10198,19.0%,300,17.5%,370,17.2%,83,19.1%,9313,19.1%,92,7.7%,6,2.2%,7
40-49 Years,7426,13.8%,252,14.7%,259,12.1%,68,15.6%,6758,13.9%,112,9.4%,11,4.0%,8
50-59 Years,6945,12.9%,213,12.4%,266,12.4%,59,13.6%,6318,13.0%,194,16.3%,21,7.6%,9
60-69 Years,4942,9.2%,179,10.4%,159,7.4%,49,11.3%,4450,9.1%,264,22.2%,55,19.8%,10
70-79 Years,2162,4.0%,86,5.0%,93,4.3%,21,4.8%,1912,3.9%,266,22.3%,86,30.9%,11
80+ Years,918,1.7%,46,2.7%,65,3.0%,2,0.5%,780,1.6%,193,16.2%,96,34.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,2814,5.2%,129,7.5%,192,8.9%,46,10.6%,2420,5.0%,62,5.2%,12,4.3%,14
Non-Hispanic,27633,51.4%,1355,79.0%,1653,77.0%,333,76.6%,24017,49.2%,898,75.4%,259,93.2%,15
UI Ethnicity,22329,41.5%,0,0.0%,0,0.0%,0,0.0%,22329,45.8%,212,17.8%,7,2.5%,16
Unknown Ethnicity,1033,1.9%,231,13.5%,303,14.1%,56,12.9%,0,0.0%,19,1.6%,0,0.0%,17
White,16517,30.7%,757,44.1%,895,41.7%,268,61.6%,14396,29.5%,393,33.0%,115,41.4%,18
Black,1341,2.5%,95,5.5%,117,5.4%,21,4.8%,1092,2.2%,46,3.9%,9,3.2%,19
AI/AN,11704,21.8%,484,28.2%,548,25.5%,52,12.0%,10500,21.5%,322,27.0%,103,37.1%,20
Asian,2117,3.9%,81,4.7%,118,5.5%,19,4.4%,1876,3.8%,114,9.6%,29,10.4%,21
NHOPI,1433,2.7%,79,4.6%,146,6.8%,4,0.9%,1196,2.5%,122,10.2%,16,5.8%,22
Multiple,4200,7.8%,79,4.6%,95,4.4%,15,3.4%,3979,8.2%,67,5.6%,4,1.4%,23
Other,6606,12.3%,47,2.7%,58,2.7%,16,3.7%,6354,13.0%,51,4.3%,1,0.4%,24
UI Race,9373,17.4%,0,0.0%,0,0.0%,0,0.0%,9373,19.2%,68,5.7%,1,0.4%,25
Unknown Race,518,1.0%,93,5.4%,171,8.0%,40,9.2%,0,0.0%,8,0.7%,0,0.0%,26
