Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34616,52.1%,1133,51.9%,1475,50.1%,294,52.7%,31191,52.2%,835,55.0%,209,60.6%,1
Female,31763,47.8%,1048,48.1%,1471,49.9%,264,47.3%,28495,47.7%,684,45.0%,136,39.4%,2
Unknown Sex,28,0.0%,0,0.0%,0,0.0%,0,0.0%,28,0.0%,0,0.0%,0,0.0%,3
<10 Years,4854,7.3%,71,3.3%,281,9.5%,18,3.2%,4437,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8663,13.0%,218,10.0%,395,13.4%,72,12.9%,7873,13.2%,15,1.0%,0,0.0%,5
20-29 Years,13613,20.5%,541,24.8%,628,21.3%,96,17.2%,12143,20.3%,63,4.1%,6,1.7%,6
30-39 Years,12528,18.9%,380,17.4%,475,16.1%,97,17.4%,11413,19.1%,124,8.2%,7,2.0%,7
40-49 Years,9036,13.6%,300,13.8%,345,11.7%,82,14.7%,8179,13.7%,154,10.1%,16,4.6%,8
50-59 Years,8402,12.7%,273,12.5%,365,12.4%,81,14.5%,7565,12.7%,265,17.4%,24,7.0%,9
60-69 Years,5794,8.7%,230,10.5%,220,7.5%,71,12.7%,5136,8.6%,339,22.3%,67,19.4%,10
70-79 Years,2492,3.8%,107,4.9%,135,4.6%,36,6.5%,2147,3.6%,319,21.0%,106,30.7%,11
80+ Years,1025,1.5%,61,2.8%,102,3.5%,5,0.9%,821,1.4%,224,14.7%,119,34.5%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3370,5.1%,139,6.4%,223,7.6%,58,10.4%,2914,4.9%,77,5.1%,16,4.6%,14
Non-Hispanic,34813,52.4%,1756,80.5%,2315,78.6%,420,75.3%,29902,50.1%,1131,74.5%,323,93.6%,15
UI Ethnicity,26898,40.5%,0,0.0%,0,0.0%,0,0.0%,26898,45.0%,289,19.0%,4,1.2%,16
Unknown Ethnicity,1326,2.0%,286,13.1%,408,13.8%,80,14.3%,0,0.0%,22,1.4%,2,0.6%,17
White,21973,33.1%,908,41.6%,1157,39.3%,328,58.8%,19308,32.3%,555,36.5%,154,44.6%,18
Black,1606,2.4%,98,4.5%,134,4.5%,22,3.9%,1334,2.2%,55,3.6%,10,2.9%,19
AI/AN,13794,20.8%,743,34.1%,905,30.7%,79,14.2%,11843,19.8%,390,25.7%,120,34.8%,20
Asian,2548,3.8%,95,4.4%,177,6.0%,25,4.5%,2220,3.7%,125,8.2%,33,9.6%,21
NHOPI,1707,2.6%,81,3.7%,161,5.5%,4,0.7%,1452,2.4%,137,9.0%,20,5.8%,22
Multiple,4984,7.5%,91,4.2%,127,4.3%,22,3.9%,4703,7.9%,79,5.2%,6,1.7%,23
Other,7680,11.6%,57,2.6%,77,2.6%,22,3.9%,7381,12.4%,71,4.7%,1,0.3%,24
UI Race,11473,17.3%,0,0.0%,0,0.0%,0,0.0%,11473,19.2%,98,6.5%,0,0.0%,25
Unknown Race,642,1.0%,108,5.0%,208,7.1%,56,10.0%,0,0.0%,9,0.6%,1,0.3%,26
