Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,13054,50.1%,740,52.4%,932,51.0%,196,53.0%,11106,49.9%,329,54.8%,63,62.4%,1
Female,12962,49.8%,672,47.6%,897,49.0%,174,47.0%,11142,50.0%,271,45.2%,38,37.6%,2
Unknown Sex,28,0.1%,0,0.0%,0,0.0%,0,0.0%,28,0.1%,0,0.0%,0,0.0%,3
<10 Years,1506,5.8%,30,2.1%,121,6.6%,9,2.4%,1342,6.0%,5,0.8%,0,0.0%,4
10-19 Years,3090,11.9%,121,8.6%,211,11.5%,54,14.6%,2684,12.0%,4,0.7%,0,0.0%,5
20-29 Years,5521,21.2%,401,28.4%,474,25.9%,62,16.8%,4545,20.4%,29,4.8%,2,2.0%,6
30-39 Years,4989,19.2%,258,18.3%,328,17.9%,76,20.5%,4293,19.3%,53,8.8%,3,3.0%,7
40-49 Years,3701,14.2%,214,15.2%,231,12.6%,58,15.7%,3175,14.3%,66,11.0%,7,6.9%,8
50-59 Years,3314,12.7%,175,12.4%,239,13.1%,48,13.0%,2844,12.8%,98,16.3%,7,6.9%,9
60-69 Years,2404,9.2%,144,10.2%,131,7.2%,39,10.5%,2075,9.3%,138,23.0%,18,17.8%,10
70-79 Years,1069,4.1%,52,3.7%,61,3.3%,23,6.2%,924,4.1%,121,20.2%,29,28.7%,11
80+ Years,450,1.7%,17,1.2%,33,1.8%,1,0.3%,394,1.8%,86,14.3%,35,34.7%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,1598,6.1%,112,7.9%,174,9.5%,39,10.5%,1263,5.7%,33,5.5%,1,1.0%,14
Non-Hispanic,14466,55.5%,1102,78.0%,1390,76.0%,287,77.6%,11605,52.1%,454,75.7%,86,85.1%,15
UI Ethnicity,9408,36.1%,0,0.0%,0,0.0%,0,0.0%,9408,42.2%,98,16.3%,11,10.9%,16
Unknown Ethnicity,572,2.2%,198,14.0%,265,14.5%,44,11.9%,0,0.0%,15,2.5%,3,3.0%,17
White,8713,33.5%,637,45.1%,781,42.7%,224,60.5%,7035,31.6%,185,30.8%,37,36.6%,18
Black,834,3.2%,91,6.4%,114,6.2%,21,5.7%,601,2.7%,30,5.0%,4,4.0%,19
AI/AN,5838,22.4%,348,24.6%,409,22.4%,43,11.6%,4989,22.4%,173,28.8%,31,30.7%,20
Asian,1080,4.1%,71,5.0%,95,5.2%,18,4.9%,893,4.0%,38,6.3%,8,7.9%,21
NHOPI,926,3.6%,73,5.2%,133,7.3%,4,1.1%,714,3.2%,73,12.2%,9,8.9%,22
Multiple,1583,6.1%,71,5.0%,89,4.9%,13,3.5%,1403,6.3%,38,6.3%,4,4.0%,23
Other,1864,7.2%,34,2.4%,49,2.7%,15,4.1%,1765,7.9%,23,3.8%,2,2.0%,24
UI Race,4876,18.7%,0,0.0%,0,0.0%,0,0.0%,4876,21.9%,33,5.5%,6,5.9%,25
Unknown Race,330,1.3%,87,6.2%,159,8.7%,32,8.6%,0,0.0%,7,1.2%,0,0.0%,26
