Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,2682,50.0%,356,49.2%,498,49.8%,134,52.3%,1666,49.9%,129,57.3%,25,64.1%,1,995,47.7%
Female,2680,50.0%,368,50.8%,503,50.2%,122,47.7%,1669,50.0%,96,42.7%,14,35.9%,2,1090,52.3%
Unknown Sex,2,0.0%,0,0.0%,0,0.0%,0,0.0%,2,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,251,4.7%,14,1.9%,65,6.5%,8,3.1%,164,4.9%,1,0.4%,0,0.0%,4,97,4.7%
10-19 Years,566,10.6%,53,7.3%,95,9.5%,37,14.5%,370,11.1%,1,0.4%,0,0.0%,5,229,11.0%
20-29 Years,1279,23.8%,189,26.1%,258,25.8%,45,17.6%,776,23.3%,14,6.2%,0,0.0%,6,537,25.8%
30-39 Years,991,18.5%,147,20.3%,183,18.3%,49,19.1%,604,18.1%,20,8.9%,2,5.1%,7,408,19.6%
40-49 Years,750,14.0%,118,16.3%,114,11.4%,40,15.6%,468,14.0%,27,12.0%,2,5.1%,8,277,13.3%
50-59 Years,707,13.2%,86,11.9%,138,13.8%,35,13.7%,447,13.4%,41,18.2%,4,10.3%,9,257,12.3%
60-69 Years,495,9.2%,71,9.8%,85,8.5%,26,10.2%,310,9.3%,43,19.1%,5,12.8%,10,181,8.7%
70-79 Years,232,4.3%,36,5.0%,37,3.7%,15,5.9%,144,4.3%,50,22.2%,16,41.0%,11,76,3.6%
80+ Years,93,1.7%,10,1.4%,26,2.6%,1,0.4%,54,1.6%,28,12.4%,10,25.6%,12,23,1.1%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,270,5.0%,55,7.6%,93,9.3%,26,10.2%,93,2.8%,13,5.8%,0,0.0%,14,153,7.3%
Non-Hispanic,1956,36.5%,531,73.3%,651,65.0%,176,68.8%,579,17.4%,171,76.0%,38,97.4%,15,1183,56.7%
UI Ethnicity,2665,49.7%,0,0.0%,0,0.0%,0,0.0%,2665,79.9%,29,12.9%,0,0.0%,16,460,22.1%
Unknown Ethnicity,473,8.8%,138,19.1%,257,25.7%,54,21.1%,0,0.0%,12,5.3%,1,2.6%,17,289,13.9%
White,1225,22.8%,311,43.0%,407,40.7%,165,64.5%,336,10.1%,70,31.1%,16,41.0%,18,780,37.4%
Black,177,3.3%,43,5.9%,50,5.0%,15,5.9%,66,2.0%,7,3.1%,0,0.0%,19,89,4.3%
AI/AN,839,15.6%,159,22.0%,165,16.5%,12,4.7%,492,14.7%,56,24.9%,14,35.9%,20,294,14.1%
Asian,128,2.4%,27,3.7%,50,5.0%,8,3.1%,42,1.3%,12,5.3%,3,7.7%,21,81,3.9%
NHOPI,216,4.0%,50,6.9%,68,6.8%,2,0.8%,95,2.8%,42,18.7%,5,12.8%,22,107,5.1%
Multiple,169,3.2%,29,4.0%,35,3.5%,10,3.9%,93,2.8%,4,1.8%,0,0.0%,23,70,3.4%
Other,149,2.8%,15,2.1%,29,2.9%,10,3.9%,94,2.8%,7,3.1%,0,0.0%,24,56,2.7%
UI Race,2119,39.5%,0,0.0%,0,0.0%,0,0.0%,2119,63.5%,18,8.0%,0,0.0%,25,394,18.9%
Unknown Race,342,6.4%,90,12.4%,197,19.7%,34,13.3%,0,0.0%,9,4.0%,1,2.6%,26,214,10.3%
